unit	verdict	sim	doc	page_start	page_end	quote
bor-sec-25	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	21	22	bad is stronger than good
bor-sec-25	EXACT(unrestricted)	1.000	Elpidorou - The Bored Mind is a Guiding Mind - Toward a Regulatory Theory of Boredom (2018).pdf	18	19	signifies a lack of interest and not a lack of importance
bor-sec-25	FAIL					Elpidorou thinks boredom is good
bor-sec-25	FAIL					Elpidorou (in press). The good of boredom. Philosophical Psychology
bor-sec-25	FAIL					Elpidorou 2014, 2018a, 2018b
bor-sec-25	FAIL					own fuller regulatory-theory account underlying the Sartrean functional reading
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	1	3	transitory and nonpathological experience of boredom
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	1	3	a regulatory psychological state
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	18	20	no other work on boredom has suggested
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	5	6	much better off having the capacity to be bored than lacking it
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	12	13	The limits of boredom
bor-sec-26	EXACT(doc-restricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	8	9	both an informative and motivational state
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Bored Mind is a Guiding Mind - Toward a Regulatory Theory of Boredom (2018).pdf	1	2	the perception that one's activities are meaningful and congruent with one's overall projects
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Bored Mind is a Guiding Mind - Toward a Regulatory Theory of Boredom (2018).pdf	6	7	an altered passage of time
bor-sec-26	EXACT(doc-restricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	10	10	a different mental activity, such as mind-wandering
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	6	7	difficulties in concentrating and maintaining attention
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	8	9	interesting, engaging, or meaningful
bor-sec-26	FAIL					Dante, Pascal, Novalis, Schopenhauer, Kierkegaard, Dostoevsky, Pessoa, ... Russell, and Brodsky
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	18	20	boredom is the root of all evil
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	5	6	protects us from certain situations
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	7	8	there is no agreement as to whether boredom is a state of low or high arousal
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	17	18	realize and practice our talents
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	17	18	can help one to establish or reestablish a sense of meaningfulness and coherence
bor-sec-26	EXACT(doc-restricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	20	20	a place for negative emotions in well-being
bor-sec-26	EXACT(doc-restricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	5	6	that our well-being is promoted by the chronic or frequent experience of boredom
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	20	20	the mere disposition to experience boredom
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	23	23	Elpidorou, A. (forthcoming). The bored mind is a guiding mind: Toward a regulatory theory of boredom
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	6	7	systematic and exhaustive review of the literature on the state of boredom
bor-sec-26	EXACT(doc-restricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	18	20	no other work on boredom has suggested that boredom can play a role in our well-being
bor-sec-26	EXACT(unrestricted)	1.000	Elpidorou - The Bored Mind is a Guiding Mind - Toward a Regulatory Theory of Boredom (2018).pdf	1	2	regulatory theory of boredom
bor-sec-26	FAIL					why this matters for a good life
bor-sec-26	EXACT(doc-restricted)	1.000	Elpidorou - The Good of Boredom (2018).pdf	14	16	will not by itself solve our problems
