subject,stimulus,round,window,baseline,n_samples,gaze_deg_median,gaze_deg_p90,gaze_deg_p95,gaze_deg_mean,gaze_horiz_range_deg,gaze_vert_median_deg,gaze_vert_p5_deg,gaze_pct_beyond_5deg,gaze_excursions_beyond_5deg,gaze_excursion_rate_5deg_per_min,gaze_pct_beyond_10deg,gaze_excursions_beyond_10deg,gaze_excursion_rate_10deg_per_min,gaze_pct_beyond_15deg,gaze_excursions_beyond_15deg,gaze_excursion_rate_15deg_per_min
R2-04,CLC,2,full,subject,121001,6.79783939273,16.6857868323,20.1775366681,8.32640607305,23.4369136336,3.81815250167,-13.2420792702,67.0184543929,1003,56.4939404865,29.03364435,635,35.7663531495,13.6817051099,310,17.4607393328
R2-04,CLC,2,r1matched,subject,94469,7.1224170465,16.9488269865,20.2811383868,8.59798039125,24.3746284189,4.34754997411,-13.3085757701,69.7265769723,747,54.3108487974,31.713048725,528,38.3883911179,14.3549735892,272,19.7758378486
R2-04,INT,2,full,subject,114702,6.25919515022,16.4562441261,21.4131460975,8.00520423226,23.7240108947,0.25047940568,-12.6277613302,62.4775505222,1019,59.6153939479,25.6054820317,541,31.6505673462,12.5908876916,259,15.1524897277
R2-04,INT,2,r1matched,subject,87357,6.11253767837,16.3102108736,21.2192302721,7.8896385039,24.6856068692,-0.0961698249051,-11.9226988658,61.1067229873,810,61.8733293199,24.8348729924,420,32.0824670547,12.0871824811,201,15.3537520905
S01,BOR,1,crop,subject,1970,10.7339611622,22.6476124067,25.6934757061,11.763593937,36.792386083,-12.3605298254,-22.3990305522,84.4162436548,112,9.16854153336,54.1116751269,178,14.5714320798,27.4111675127,173,14.1621221899
S01,CLC,1,crop,subject,2079,8.29118058993,16.4475526481,19.2848674105,9.36315053284,23.2764043027,-2.35043242601,-18.1860172034,80.6637806638,201,16.4532922956,37.1332371332,223,18.2541501588,14.1895141895,132,10.8051471792
S01,INT,1,crop,subject,1819,8.07988877677,17.5583828951,21.8690317779,9.44776267575,29.9767086849,-5.7383126617,-20.6786061446,74.9862561847,145,13.1601637306,38.2627817482,160,14.5215599786,16.162726773,117,10.6188907343
S02,BOR,1,crop,subject,2201,10.5333205939,19.9671250179,24.0772456908,11.6371022155,36.6897546064,-7.702116134,-22.7720601203,82.9168559746,137,8.99090737068,52.885052249,244,16.0130029084,24.3071331213,180,11.812870998
S02,CLC,1,crop,subject,2161,10.8068922716,19.2894172491,22.2127318592,11.7694584751,27.232640666,-4.18581670916,-25.1495201936,85.7936140676,140,9.24406646484,55.5761221657,251,16.5732905905,24.3405830634,187,12.3474316352
S02,INT,1,crop,subject,2481,9.26262392629,22.5847485518,27.5943245451,11.6485290126,36.3558717643,-10.3747435279,-27.3812618421,83.8774687626,158,10.7026371614,45.0221684805,239,16.1894321619,21.4832728738,177,11.9896631492
S03,BOR,1,crop,subject,1740,11.2137502109,21.6640736935,25.5374342279,12.5439649465,32.9365205427,0.22923772207,-16.1407606677,85.4022988506,150,12.7225384009,57.816091954,249,21.1194137454,30.7471264368,221,18.7445399106
S03,CLC,1,crop,subject,2252,11.0115119159,20.7376378329,23.9710521821,11.8953380518,32.7531216285,2.40789105751,-18.1445629808,86.8561278863,173,12.9129050678,56.3499111901,302,22.5416030663,28.9076376554,245,18.2870620902
S03,INT,1,crop,subject,1774,9.76451555384,20.8338637384,24.040011611,11.1049590546,31.7654047381,3.35351422145,-13.847629434,81.2852311161,193,16.9119730343,48.7034949267,288,25.2365193465,24.5208568207,201,17.6129874606
S04,BOR,1,crop,subject,2266,12.744219688,24.6472121149,32.1964164731,13.6653708052,44.4882382175,5.10625452097,-18.3457429194,83.4068843778,171,12.4089886553,61.253309797,263,19.0851696863,39.7175639894,294,21.334752425
S04,CLC,1,crop,subject,2415,16.0377217766,25.8711344722,29.000131004,16.71707724,29.1689786013,-4.70590101196,-21.9626914121,96.7287784679,57,4.02606820301,83.4368530021,196,13.8440239963,56.9772256729,323,22.8143864837
S04,INT,1,crop,subject,2512,11.2736350221,27.0841552126,31.8117269115,13.286817715,40.1267058031,2.46469051624,-23.4103398001,84.6337579618,209,14.1491551127,56.2898089172,327,22.1376733102,31.1305732484,310,20.9867850953
S05,BOR,1,crop,subject,503,9.53408217079,20.882283909,27.2837425508,10.8884032344,34.2727716508,-6.65969814874,-22.2314918015,84.2942345924,51,3.85744107948,46.9184890656,62,4.68943817505,16.6998011928,43,3.2523522827
S05,CLC,1,crop,subject,1905,12.9314704176,19.7203264558,21.3807100555,12.8902218189,20.227182649,4.81715232198,-18.4876307619,92.5459317585,72,5.86166471278,72.0209973753,186,15.1426338413,31.8635170604,220,17.9106421779
S05,INT,1,crop,subject,2077,8.78428934969,18.2854654707,23.4210993019,10.0010466784,25.9662850929,-9.32390089516,-25.3352660374,79.2970630717,169,12.4392909849,39.961482908,250,18.4013180251,16.3697640828,149,10.9671855429
S06,BOR,1,crop,subject,2020,17.5177205976,26.4666812018,29.3910463847,18.5563539854,37.6969808186,-16.0194205092,-27.452183641,95.9405940594,51,3.86139850768,83.9108910891,136,10.2970626872,63.3168316832,205,15.521307727
S06,CLC,1,crop,subject,77083,18.2109131392,27.6210119949,31.1150101493,18.5912785096,34.3760181392,-4.41539864402,-29.7516483958,96.2845244736,225,16.3925468554,83.7019835761,435,31.6922572537,64.4474138267,643,46.8462561244
S06,INT,1,crop,subject,84726,9.76493483232,21.302918258,24.5569306318,11.4839676094,31.4868662519,-2.06370041777,-20.3608466726,81.4720392796,677,50.6536212601,48.8232655855,625,46.7629442947,29.4632108208,417,31.2002364334
S07,BOR,1,crop,subject,1630,11.6988509166,29.1552993594,121.427483861,21.200252569,146.987485822,-10.4260927753,-35.2643896828,85.2147239264,118,7.27889582851,58.0981595092,178,10.9800293006,37.1779141104,155,9.56126146966
S07,CLC,1,crop,subject,2438,7.0444629104,17.552871598,31.7678832584,13.3781834107,28.1088339038,-2.52086567702,-27.7072119014,68.6628383921,231,15.7764614285,30.6398687449,231,15.7764614285,14.2739950779,135,9.22000992574
S07,INT,1,crop,subject,2291,10.6451286264,19.4101517796,21.8994803272,12.7032574188,37.1383367126,-3.72895610361,-16.4381904461,78.0881711043,230,14.2229917754,52.5098210388,273,16.8820728465,26.2330859887,210,12.9862098819
S08,BOR,1,crop,subject,971,13.4519568928,17.8240706479,19.7139985743,12.6511384446,17.195022963,-13.4750563484,-18.5704250347,92.1730175077,23,2.08805541518,73.3264675592,37,3.35904566789,32.8527291452,55,4.99317599281
S08,CLC,1,crop,subject,2349,7.48476223067,16.286648115,20.926581589,8.69762873478,17.8021207939,0.515750216559,-19.2412924744,69.1358024691,199,13.3953513419,31.502767135,232,15.6166910117,12.3882503193,120,8.07759879913
S08,INT,1,crop,subject,2033,10.2649770983,20.4990432441,26.9549488072,11.3403910414,32.5134118953,0.0572924089088,-20.8432759335,80.4230201672,170,13.3394014532,51.9429414658,255,20.0091021798,23.3644859813,196,15.3795452049
