source,relation,target,domain,provenance,book_page
socioanagogic,qualifies,medieval-fourfold-sense,rhetoric,burke-direct,220
sociology-of-knowledge,contests,mythic-ground,philosophy,burke-direct,201
sociology-of-knowledge,qualifies,ultimate-terms,philosophy,burke-direct,198
symbol-clothes,bridges-to-pipeline,rm-07-pure-persuasion,inter-unit,burke-direct,119
symbol-clothes,consubstantial-with,mystery,rhetoric,burke-direct,119
temporizing-of-essence,bridges-to-pipeline,Grammar-of-Motives-GM-09,grammar,burke-direct,14
terministic-reservation,qualifies,ideology-technical,rhetoric,burke-direct,111
terministic-reservation,qualifies,mystification,rhetoric,burke-direct,111
the Kill / victimage,extends,hierarchy,rhetoric,burke-direct,260
the Kill / victimage,maps-to-pim-dimension,Shared-involvement,game-behavior,anticipatory-projection,266
timely-topic,extends,topoi,rhetoric,burke-direct,62
topoi,extends,identification,rhetoric,burke-direct,57
topoi,identifies-with,opinion-moral-order,rhetoric,burke-direct,56
transcendence,extends,identification,rhetoric,burke-direct,192
transformation-imaging,defines,motivational-recipe,rhetoric,burke-direct,10-12
transformation-imaging,defines,suicidal-motive,rhetoric,burke-direct,10
transformation-imaging,extends,terministic-screen-implicit,rhetoric,burke-direct,10-12
transformation-imaging,maps-to-pentad-term,Act,game-behavior,anticipatory-projection,10-12
transformation-imaging,maps-to-pentad-term,Agent,game-behavior,anticipatory-projection,10-12
transformation-imaging,maps-to-pim-dimension,Narrative-PIM,game-behavior,anticipatory-projection,10-12
triplicate-vocabulary,defines,neutral-eulogistic-dyslogistic-system,rhetoric,burke-direct,92
triplicate-vocabulary,maps-to-pim-dimension,calleja-narrative-involvement,game-behavior,anticipatory-projection,92
ultimate identification,consubstantial-with,mystical union,rhetoric,burke-direct,326
ultimate identification,extends,identification,rhetoric,burke-direct,326
ultimate identification,maps-to-pim-dimension,Incorporation,game-behavior,anticipatory-projection,328
ultimate-identification-hero-worship,extends,identification,rhetoric,burke-direct,121
ultimate-identification-hero-worship,maps-to-pentad-term,Agent,pentad,anticipatory-projection,121
ultimate-terms,bridges-to-pipeline,Grammar-of-Motives-Purpose-term,cross-pipeline,burke-direct,188
ultimate-terms,bridges-to-pipeline,RM-07-pure-persuasion,cross-pipeline,burke-direct,207
ultimate-terms,cites,Plato-Republic-VIII-IX,philosophy,burke-direct,188
ultimate-terms,contests,parliamentary-jangle,terministic-order,burke-direct,187
ultimate-terms,defines,god-term,terministic-order,burke-direct,189
ultimate-terms,defines,guiding-idea,terministic-order,burke-direct,188
ultimate-terms,defines,principle-of-principles,terministic-order,burke-direct,188
ultimate-terms,extends,dialectical-terms,terministic-order,burke-direct,189
ultimate-terms,maps-to-pim-dimension,Calleja-Temporal-progressive-arc,game-behavior,anticipatory-projection,197
venus-and-adonis,cites,socioanagogic,rhetoric,burke-direct,212
venus-and-adonis,extends,hierarchy,rhetoric,burke-direct,215
venus-and-adonis,identifies-with,social-revolutionary-challenge,rhetoric,burke-direct,217
via-negativa-secularized,qualifies,triplicate-vocabulary,rhetoric,burke-direct,95
