source,relation,target,locus,provenance,note
STRUCTURAL-MOMENT:Leergelassenheit,bridges-to-pipeline,CLAIM:King-Salvo low-arousal 'zombie stare' (things abandon us to ourselves),p.103 / GA pp.155-56 / pdf 63,faithful,emptying component maps onto disengaged low-arousal boredom
STRUCTURAL-MOMENT:Hingehaltenheit,bridges-to-pipeline,CLAIM:King-Salvo high-arousal 'searching gaze' (looking for diversion),p.100 / GA pp.150-52 / pdf 63,faithful,holding component maps onto active passing-the-time
TEMPORAL-STRUCTURE:time as too-slow / dragging,interprets-experiment-finding,CLAIM:engaged gaze + reported dragging-time dissociation,p.97 / GA pp.146-47 / pdf 61,faithful,'to be slow and to drag are not the same'; duration decoupled from dragging
CLAIM:looking at the watch is a sign of failed passing-the-time,bridges-to-pipeline,CLAIM:clock-checks / off-task glances as graded boredom marker,p.97 / GA pp.146-47 / pdf 61,faithful,behavioral index of failing Zeitvertreib for eye-tracking protocol
CLAIM:methodological directive — avoid analysis of consciousness,bridges-to-pipeline,CLAIM:self-report may distort the attunement; read off comportment,p.90 / GA pp.135-36 / pdf 58,faithful,caution for introspective boredom instruments
second-form-of-boredom,defines,being-bored-with-something,(p.106 / GA pp.161-63 / pdf 65),faithful,Sichlangweilen bei etwas as the second form
fundamental-attunement,discloses,second-form-of-boredom,(p.106 / GA pp.161-63 / pdf 65),faithful,boredom analyzed as a Stimmung awakened not observed
structural-link-Fuge,grounds-question,unity-of-two-structural-moments,(p.107 / GA pp.161-63 / pdf 66),faithful,the Fuge demanded from the whole essence of boredom
need-for-more-original-grasp,deepens-into,second-form-of-boredom,(p.107 / GA pp.161-63 / pdf 66),faithful,unity reached only by grasping boredom more originally
depth-not-duration,qualifies,extent-of-boredom,(p.108 / GA pp.163-64 / pdf 66),faithful,five minutes can be more boring than four hours
evening-invitation-example,instances-in-text,second-form-of-boredom,(p.110 / GA pp.166-67 / pdf 68),faithful,dinner-party as the everyday inconspicuous case
I-was-bored-after-all,contests,nothing-was-boring,(p.110 / GA pp.166-67 / pdf 68),faithful,retrospective recognition despite a pleasant evening
passing-the-time,instances-in-text,cigar-smoking,(p.112 / GA pp.169-70 / pdf 68),faithful,socially ideal passing-the-time playing into our hands
passing-the-time,extends,whole-evening-as-comportment,(p.112 / GA pp.169-70 / pdf 68),faithful,not isolated occupation but entire comportment
passing-the-time,instances-in-text,boredom-and-passing-the-time-intertwined,(p.113 / GA pp.170-72 / pdf 68),faithful,the evening is both passing-the-time and what we are bored with
second-form-of-boredom,contests,determinate-boring-thing,(p.114 / GA pp.172-73 / pdf 69),faithful,form I determinate vs form II indeterminate I-know-not-what
I-know-not-what,defines,indeterminate-boring,(p.114 / GA pp.172-73 / pdf 69),faithful,what bores us has the character of I know not what
having-time-for-the-evening,qualifies,being-held-in-limbo-by-dragging,(p.115 / GA pp.173-75 / pdf 69),faithful,dragging-time interpretation fits only the first form
casualness-Lassigkeit,deepens-into,being-left-empty,(p.118 / GA pp.177-79 / pdf 71),faithful,obstructive casualness as a more profound leaving-empty
casualness-Lassigkeit,glosses-german,sich-uberlassen,(p.118 / GA pp.177-79 / pdf 71),faithful,translators note on the lassen cognates
self-forming-emptiness,defines,being-left-empty,(p.120 / GA pp.180-82 / pdf 72),faithful,emptiness first forms itself as leaving-behind of proper self
self-forming-emptiness,glosses-german,Sichzurucklassen,(p.120 / GA pp.180-82 / pdf 72),faithful,twofold casualness includes leaving ourselves behind
having-taken-time,deepens-into,being-held-in-limbo-to-standing-time,(p.121 / GA pp.182-83 / pdf 73),faithful,taking time gives time the possibility of a more profound holding
making-present-gegenwartigen,temporalizes-as,standing-now,(p.124 / GA pp.186-88 / pdf 74),faithful,being entirely present brings time to a stand as a stretched now
standing-now,temporalizes-as,sealing-off-of-having-been-and-unbinding-of-future,(p.125 / GA pp.188-89 / pdf 75),faithful,present cut off both sides stretches and stands into Dasein
standing-time,defines,being-held-in-limbo,(p.123 / GA pp.185-86 / pdf 72),faithful,not-being-released as the more originary holding-in-limbo
standing-now,discloses,relinquished-empty-self,(p.126 / GA pp.189-91 / pdf 75),faithful,standing now summons and sets us in place — then we are bored
making-present-gegenwartigen,grounds-question,unity-of-two-structural-moments,(p.127 / GA pp.191-92 / pdf 76),faithful,structural unity grounded in making-present that brings time to a stand
self-forming-emptiness,defines,standing-now,(p.127 / GA pp.191-92 / pdf 76),faithful,self-forming emptiness identical with indeterminate standing now
second-form-of-boredom,deepens-into,self-temporalizing-temporality,(p.127 / GA pp.191-92 / pdf 76),faithful,boredom springs from temporality of Dasein
self-temporalizing-temporality,grounds-question,essence-of-time,(p.127 / GA pp.191-92 / pdf 76),faithful,unitary essence of boredom sought in time after all
boring-arises-out-of-Dasein-itself,defines,second-form-of-boredom,(p.128 / GA pp.192-94 / pdf 76),faithful,what is boring does not come from outside but from Dasein
second-form-of-boredom,contests,first-form-of-boredom,(p.128 / GA pp.192-94 / pdf 76),faithful,form II less situation-bound; form I directed outward
having-time-vs-having-no-time,qualifies,more-profound-boredom,(p.130 / GA pp.195-97 / pdf 77),faithful,having-no-time may be the deepest lostness; ambiguous
second-form-of-boredom,deepens-into,profound-boredom,(p.131 / GA pp.197-98 / pdf 77),faithful,limits merge; the slide toward the third form is underway
seven-point-comparison,qualifies,second-form-of-boredom,(p.131 / GA pp.197-98 / pdf 77),faithful,seven distinctions of depth between forms I and II
second-form-of-boredom,bridges-to-pipeline,king-salvo-surface-depth-split,(p.128 / GA pp.192-94 / pdf 76),faithful,surface-occupied depth-hollow form predicts EEG-low gaze-engaged anomaly
standing-time,interprets-experiment-finding,reported-dragging-time-under-engagement,(p.122 / GA pp.183-85 / pdf 73),faithful,standing time explains engaged-yet-dragging self-reports
casualness-Lassigkeit,bridges-to-pipeline,flat-arousal-without-disengagement,(p.118 / GA pp.177-79 / pdf 71),faithful,casualness maps to engaged-yet-empty low-arousal participant
profound-boredom,instances-in-text,es-ist-einem-langweilig,(p.134 / GA p.203 / pdf 79),faithful,"the third form bores whenever we silently know 'it is boring for one'"
es-ist-einem-langweilig,glosses-german,it-is-boring-for-one,(p.134 / GA p.203 / pdf 79),faithful,"impersonal 'es'; 'for one' not for me-as-me"
es-ist-einem-langweilig,defines,undifferentiated-no-one,(p.135 / GA p.203 / pdf 79),faithful,"name/standing/vocation/age/fate disappear; not a universal ego"
profound-boredom,contests,man-as-consciousness,(p.133 / GA p.201 / pdf 79),faithful,"subject/person/rational-being must be put in question as chief obstacle to original time"
man-as-consciousness,contests,cartesian-method,(p.133 / GA p.201 / pdf 79),faithful,"not merely Cartesian access but the initial positing of man as consciousness"
profound-boredom,defines,no-longer-permitting-passing-the-time,(p.136 / GA p.205 / pdf 80),faithful,"passing-the-time not merely missing but no longer permitted; let boredom be overpowering"
no-longer-permitting-passing-the-time,discloses,being-compelled-to-listen,(p.136 / GA p.205 / pdf 80),faithful,"compelling force of what is authentic about Dasein; related to innermost freedom"
profound-boredom,defines,being-left-empty,(p.137 / GA p.207 / pdf 80),faithful,"being delivered over to beings' telling refusal of themselves as a whole"
being-left-empty,discloses,telling-refusal,(p.139 / GA p.210 / pdf 81),faithful,"beings as a whole refuse the possibilities of Dasein's doing and acting"
telling-refusal,glosses-german,versagen,(p.140 / GA p.212 / pdf 82),faithful,"Versagen; the refusal of beings as a whole"
telling-refusal,grounds-question,beings-as-a-whole,(p.138 / GA p.208 / pdf 80),faithful,"beings become indifferent all at once yet show themselves; not the Nothing"
being-left-empty,qualifies,emptiness-is-not-the-nothing,(p.140 / GA p.210 / pdf 81),faithful,"the emptiness concerns beings as a whole yet is not the Nothing"
telling-refusal,extends,telling-sagen,(p.140 / GA p.212 / pdf 82),faithful,"all telling refusal (Versagen) is in itself a telling (Sagen), a making-manifest"
telling-sagen,deepens-into,telling-announcement-ansagen,(p.141 / GA p.212 / pdf 82),faithful,"announcement (Ansagen) of unexploited possibilities of Dasein"
telling-announcement-ansagen,deepens-into,calling-anrufen,(p.143 / GA p.215 / pdf 83),faithful,"a calling (Anrufen) that properly makes possible the Dasein in me"
profound-boredom,defines,being-held-in-limbo,(p.144 / GA p.216 / pdf 84),faithful,"being impelled toward the originary making-possible of Dasein as such"
being-held-in-limbo,discloses,singular-extremity-spitze,(p.144 / GA p.216 / pdf 84),faithful,"Spitze: the utmost making-possible of all Dasein's possibilities"
being-left-empty,extends,being-held-in-limbo,(p.144 / GA p.217 / pdf 84),faithful,"structural unity: expanse of refusal + singular extremity oscillating as one"
being-left-empty,temporalizes-as,gebanntheit,(p.147 / GA p.222 / pdf 84),faithful,"being entranced by the single threefold horizon is the temporal character of being-left-empty"
gebanntheit,glosses-german,bannt,(p.147 / GA p.222 / pdf 84),faithful,"Time entrances (bannt) Dasein; the whole time Dasein itself is, as horizon"
gebanntheit,discloses,single-threefold-horizon,(p.145 / GA p.219 / pdf 85),faithful,"respect/retrospect/prospect (Hinsicht/Rucksicht/Absicht) -> present/having-been/future, one universal horizon"
single-threefold-horizon,glosses-greek,horizein,(p.147 / GA p.220 / pdf 86),faithful,"horizein (to delimit) invoked for the horizon-character of time; deferred as abyssal"
being-held-in-limbo,temporalizes-as,augenblick,(p.149 / GA p.224 / pdf 87),faithful,"impelled through entrancement toward the moment of vision as temporal character of being-held-in-limbo"
augenblick,defines,resolute-disclosedness,(p.149 / GA p.224 / pdf 87),faithful,"the look of resolute disclosedness (Blick der Entschlossenheit) for action; ruptures entrancement"
augenblick,cites,kierkegaard,(p.150 / GA p.225 / pdf 87),faithful,"first comprehended in philosophy by Kierkegaard; opens a new epoch"
augenblick,cites,being-and-time-65,(p.150 / GA p.225 / pdf 87),faithful,"self-citation B&T §65 as external aid; problem grasped 'in its nucleus' there"
profound-boredom,defines,langeweile-lengthening-of-the-while,(p.152 / GA p.229 / pdf 88),faithful,"the while (Weile) becomes long (lang); tarrying-while (Verweilen) allotted to Dasein"
langeweile-lengthening-of-the-while,temporalizes-as,expansion-of-temporal-horizon,(p.153 / GA p.229 / pdf 88),faithful,"horizon expands and oppresses Dasein rather than liberating it"
langeweile-lengthening-of-the-while,qualifies,vanishing-of-the-augenblick,(p.153 / GA p.229 / pdf 88),faithful,"vanishing of the possibility of the Augenblick, which still presses as what is refused"
profound-boredom,defines,entrancement-of-the-temporal-horizon,(p.153 / GA p.230 / pdf 88),faithful,"summary definition: entrancement that lets the Augenblick vanish and impels Dasein into it"
entrancement-of-the-temporal-horizon,grounds-question,essence-of-time,(p.150 / GA p.226 / pdf 87),faithful,"the path runs through boredom to time; straight into the dark"
profound-boredom,deepens-into,temporality-temporalizing,(p.157 / GA p.236 / pdf 90),faithful,"what properly bores is temporality as such in a particular way of its temporalizing"
temporality-temporalizing,grounds-question,subjectivity-of-subjects,(p.158 / GA p.236 / pdf 90),faithful,"temporality grounds the subjectivity of subjects; hence the legitimate illusion that things bore us"
profound-boredom,extends,first-form-of-boredom,(p.156 / GA p.235 / pdf 90),faithful,"third form is condition of possibility of first and second; first holds the third at bay"
ordinary-assessment-of-boredom,contests,profound-boredom,(p.159 / GA p.238 / pdf 91),faithful,"ordinary morality (unpleasant/worthless) suppresses profound boredom; hypocritical self-assuredness"
profound-boredom,bridges-to-pipeline,king-salvo-third-pole,(p.134 / GA p.203 / pdf 79),faithful,"silent/low-arousal 'zombie stare' pole; impersonal de-individuated attunement"
gebanntheit,bridges-to-pipeline,dragging-time-without-search,(p.153 / GA p.229 / pdf 88),faithful,"Langeweile as horizon-expansion explains reported dragging time decoupled from gaze-search and clock"
vanishing-of-the-augenblick,interprets-experiment-finding,refused-call-to-action-marker,(p.153 / GA p.229 / pdf 88),faithful,"third pole marker: not absence of stimulation but a refused possibility of situated action"
particular-profound-boredom,instances-in-text,contemporary-dasein,(p.160 / GA pp.240 / pdf 92),faithful,"Ch.5 names the particular profound boredom as the fundamental attunement of OUR contemporary Dasein — not boredom in general."
has-man-become-boring,grounds-question,particular-profound-boredom,(p.161 / GA pp.240-42 / pdf 92),faithful,"The reconsidered guiding question concerns whether the Da-sein in contemporary man is bored as such, not whether people are bored by particular things."
not-counteracting,discloses,particular-profound-boredom,(p.160 / GA pp.240 / pdf 92),faithful,"Profound boredom 'only becomes awake if we do not counteract it'; not-counteracting = Dasein's keeping-to-itself, a waiting."
question-provides-hold,qualifies,not-counteracting,(p.161 / GA pp.240-42 / pdf 92),faithful,"Against programmaticism: a question (not only an answer) can provide a hold; essential knowledge only in originary questioning."
being-left-empty,defines,telling-refusal,(p.162 / GA pp.242-43 / pdf 93),faithful,"Being-left-empty = being delivered over to beings' telling refusal of themselves as a whole; an emptiness as a whole."
telling-refusal,glosses-german,essential-need-not,(p.162 / GA pp.242-43 / pdf 93),faithful,"Emptiness 'in the sense of telling refusal … thus emptiness as lack, deprivation, need [Not]'."
bustling-self-defense,contests,being-left-empty,(p.163 / GA pp.243-44 / pdf 93),faithful,"Contemporary self-defense against particular needs precisely prevents any need 'as a whole' from emerging — so particular needs are no proof of emptiness as a whole."
absence-of-oppressiveness,deepens-into,being-left-empty,(p.164 / GA pp.244-46 / pdf 94),faithful,"Keystone diagnosis: the very absence of any essential oppressiveness IS the emptiness as a whole; 'the fundamental emptiness that bores us'."
oppressiveness,glosses-german,absence-of-oppressiveness,(p.164 / GA pp.244-46 / pdf 94),faithful,"Bedrängnis glossed against bedrängt; the need is not that this/that need oppresses but that essential oppressiveness is absent."
mystery-lacking,instances-in-text,absence-of-oppressiveness,(p.164 / GA pp.244-46 / pdf 94),faithful,"The mystery [Geheimnis] is lacking, so the inner terror that gives Dasein its greatness remains absent."
smug-contentment,instances-in-text,absence-of-oppressiveness,(p.164 / GA pp.244-46 / pdf 94),faithful,"Absence of oppressiveness attested by restless busyness: a universal smug contentment in not being endangered; learned competencies cannot replace strength."
being-held-in-limbo,temporalizes-as,moment-of-vision,(p.165 / GA pp.246-47 / pdf 94),faithful,"Being-held-in-limbo = being impelled toward the extremity of what makes Dasein possible — the moment of vision (Augenblick), simultaneously announced."
most-extreme-demand,extends,being-held-in-limbo,(p.165 / GA pp.246-47 / pdf 94),faithful,"Commensurate with emptiness as a whole, the demand pure and simple: that Dasein as such is demanded of man — 'given to him — to be there'."
disclosive-resolution,defines,moment-of-vision,(p.166 / GA pp.247-48 / pdf 95),faithful,"Moment of vision to be seized as the innermost necessity of the freedom of Dasein; man must resolutely open himself again to this demand."
disclosive-resolution,contests,smug-contentment,(p.166 / GA pp.247-48 / pdf 95),faithful,"Contemporary haste/abruptness of programs is confused with resolute disclosedness yet keeps the moment of vision blunt."
ownmost-burden,extends,disclosive-resolution,(p.167 / GA pp.248-49 / pdf 95),faithful,"Liberating the Dasein in man = loading Dasein upon him as his ownmost burden; only those who can give themselves a burden are free."
oscillation-emptiness-extremity,temporalizes-as,particular-profound-boredom,(p.166 / GA pp.247-48 / pdf 95),faithful,"The oscillation between expanse of emptiness and extremity of the moment of vision cannot be ascertained as a matter of fact — 'we can only ask'."
concealment-via-psychology,qualifies,particular-profound-boredom,(p.166 / GA pp.247-48 / pdf 95),faithful,"Contemporary man may conceal his Dasein from himself precisely through psychology, which today presents itself as depth psychology."
world-named,grounds-question,particular-profound-boredom,(p.168 / GA pp.249,252-53 / pdf 96),faithful,"Part One -> Part Two hinge: the expanse of the 'as a whole' that manifests in profound boredom is designated as world."
particular-profound-boredom,extends,first-naming-18c,(p.74 / GA pp.110-11 / pdf 49),faithful,"Ch.5 concretizes the first naming of profound boredom (§18c) as the concealed fundamental attunement of the contemporary situation."
absence-of-oppressiveness,bridges-to-pipeline,king-salvo-second-form,(p.164 / GA pp.244-46 / pdf 94),faithful,"ANTICIPATORY-APPLICATION: emptiness masked by surface busyness = template for the EEG-boring vs gaze-engaging split; second form predicts surface-occupied/depth-hollow."
disclosive-resolution,interprets-experiment-finding,king-salvo-high-arousal-boredom,(p.166 / GA pp.247-48 / pdf 95),faithful,"ANTICIPATORY-APPLICATION: 'haste to react' / restless self-defense maps onto high-arousal boredom (bored subject looks around screen, high gaze-variance, Zeitvertreib)."
oscillation-emptiness-extremity,bridges-to-pipeline,king-salvo-measurement-caution,(p.166 / GA pp.247-48 / pdf 95),faithful,"ANTICIPATORY-APPLICATION: boredom 'cannot be registered as a matter of fact' warrants instrumenting surface(gaze)-vs-depth(DMN/alpha) divergence + a Hingehaltenheit time-probe over a bipolar scale."
moment-of-vision,interprets-experiment-finding,king-salvo-depth-channel,(p.165 / GA pp.246-47 / pdf 94),faithful,"ANTICIPATORY-APPLICATION: the Augenblick announced only in refusal names the latent depth dimension the gaze instrument cannot see and the next study must triangulate."
profound boredom,grounds-question,What is world?,p.169 / GA pp.252-53 / pdf 96,faithful,"the expanse of the 'as a whole' that manifests itself in profound boredom is named world"
profound boredom,grounds-question,What is individuation?,p.169 / GA pp.252-53 / pdf 96,faithful,"the moment of vision announced in the telling refusal gives the individuation of Dasein to be questioned"
profound boredom,grounds-question,What is finitude?,p.169 / GA pp.253-54 / pdf 96,faithful,"the rupture of the entrancing horizon by the moment of vision is named the finitude of Dasein"
profound boredom,discloses,telling refusal of beings as a whole,p.170 / GA pp.252-53 / pdf 96,faithful,"being-left-empty as the telling refusal that announces / announcement that refuses"
telling refusal of beings as a whole,discloses,moment of vision,p.169 / GA pp.252-53 / pdf 96,faithful,"the Augenblick is simultaneously announced in this telling refusal"
moment of vision,discloses,rupture (of the entrancing horizon),p.169 / GA pp.253-54 / pdf 96,faithful,"the expanse of the entrancing horizon is ruptured by the moment of vision"
rupture (of the entrancing horizon),temporalizes-as,What is finitude?,p.169 / GA pp.253-54 / pdf 96,faithful,"the meaning of this rupture within Dasein is what we call finitude"
What is finitude?,grounds-question,What is world?,p.171 / GA pp.253-54 / pdf 97,faithful,"finitude is the unifying and original root holding the other two questions together"
What is finitude?,grounds-question,What is individuation?,p.171 / GA pp.253-54 / pdf 97,faithful,"placed in the middle as the most originary; engaged only in third place"
profound boredom,temporalizes-as,the essence of time as the root of the three questions,p.172 / GA pp.254-56 / pdf 97,faithful,"profound boredom and boredom as such is rooted in the temporality of Dasein"
the essence of time as the root of the three questions,grounds-question,What is world?,p.172 / GA pp.254-56 / pdf 97,faithful,"the three questions in their origin reach back into the question concerning the essence of time"
the essence of time as the root of the three questions,grounds-question,the question concerning being (Being and Time),p.172 / GA pp.254-56 / pdf 97,faithful,"the question of the essence of time is the origin of all the questions of metaphysics"
profound boredom,defines,as a whole,p.169 / GA pp.252-53 / pdf 96,faithful,"the expanse of the 'as a whole' that manifests itself in profound boredom is designated world"
moment of vision,glosses-german,Augenblick,p.169 / GA pp.252-53 / pdf 96,faithful,"the look of resolute disclosedness of Dasein for its Da-sein"
the ultimate demand upon man,glosses-german,Zumutung,p.171 / GA pp.254-56 / pdf 97,faithful,"the demand that man explicitly and properly take his Dasein upon himself"
What is world?,extends,Part Two — The Question: What Is World?,p.169 / GA pp.252-53 / pdf 96,faithful,"Part Two cashes out the boredom analysis as the world-question, not a new topic"
essential questions: neither new nor old,contests,philosophia perennis (ordinary understanding's construct),p.175 / GA pp.259-60 / pdf 99,faithful,"questions rooted in the need of Dasein are genuine, not culled from a trivialized tradition"
beleaguering of the questions by tradition and common sense,contests,What is world?,p.174 / GA pp.257-60 / pdf 98,faithful,"tradition and common sense level down the questioning and rob it of its edge"
historicity of philosophizing,qualifies,beleaguering of the questions by tradition and common sense,p.175 / GA pp.259-60 / pdf 99,faithful,"the self-same questions are necessarily transformed in every instance of philosophizing"
philosophizing leads only to the brink of possibility,concedes,moment of vision,p.173 / GA pp.256-57 / pdf 98,faithful,"only individual action can leap from possibility into actuality; philosophizing remains penultimate"
the essence of time as the root of the three questions,bridges-to-pipeline,Hingehaltenheit time-dilation self-reports (King & Salvo 2023 physiological pilot),p.172 / GA pp.254-56 / pdf 97,faithful,"time-as-root licenses reading the felt-longer-than-17-min reports as the long-while signature; mapping is anticipatory-application in the bridge"
telling refusal of beings as a whole,interprets-experiment-finding,engaged-yet-boring-like split (clinical video EEG vs gaze-variance),p.169 / GA pp.252-53 / pdf 96,faithful,"surface-occupied / depth-hollow structure warrants treating the cross-instrument divergence as disclosure not noise; mapping anticipatory-application in the bridge"
beleaguering of the questions by tradition and common sense,bridges-to-pipeline,bipolar engaged-vs-bored scale (King et al. 2024 eye-tracking),p.174 / GA pp.257-60 / pdf 98,faithful,"the warning against leveling-down underwrites the bridge's call to replace the bipolar scale with the three-form grid; mapping anticipatory-application"
§42,defines,comparative examination,(p.176 / GA pp.262 / pdf 100),faithful,"The chosen third path: set stone/animal/man in relief by their differing relation to world."
comparative examination,grounds-question,What is world?,(p.176 / GA pp.262 / pdf 100),faithful,"The comparative path is the route to asking the world-question for the first time."
§42,defines,The stone is worldless,(p.177 / GA pp.263 / pdf 100),faithful,"Guiding thesis [1]; weltlos; lower limit of the comparison."
§42,defines,The animal is poor in world,(p.177 / GA pp.263 / pdf 100),faithful,"Guiding thesis [2]; weltarm; the intermediate thesis from which Ch.3 will begin."
§42,defines,Man is world-forming,(p.177 / GA pp.263 / pdf 100),faithful,"Guiding thesis [3]; weltbildend; upper limit; man 'has' world as master and servant."
having-world,discloses,Man is world-forming,(p.177 / GA pp.262 / pdf 100),faithful,"Man's standing-over-against the world ('having' world) is what the world-forming thesis names."
The animal is poor in world,contests,The stone is worldless,(p.177 / GA pp.263 / pdf 100),faithful,"Poverty-in-world is set against worldlessness: deprivation presupposes a being-open the stone lacks."
kosmos,glosses-greek,What is world?,(p.176 / GA pp.262 / pdf 100),faithful,"kosmos / mundus / 'world' — conceptual history from On the Essence of Ground, §II (exterior only)."
§43,defines,the circle of philosophy,(p.180 / GA pp.266 / pdf 101),faithful,"Content+method difficulty of access to 'life' forces constant circling — the mark of philosophy."
the circle of philosophy,qualifies,comparative examination,(p.180 / GA pp.267 / pdf 101),faithful,"The comparison must presuppose a conception of life to open a path to a conception of life."
§43,concedes,man/animal distinction,(p.179 / GA pp.265 / pdf 101),faithful,"'Rational vs non-rational living being' is easy to state but its metaphysical adequacy is uncertain."
§44,defines,comprehensive questioning,(p.180 / GA pp.268 / pdf 102),faithful,"Metaphysics: beings-as-a-whole included AND the questioner caught up and affected."
fundamental attunement,grounds-question,comprehensive questioning,(p.181 / GA pp.268 / pdf 102),faithful,"Only an intrinsically attuned being can be affected; awakening attunement makes questioning possible."
profound boredom,deepens-into,fundamental attunement,(p.181 / GA pp.268 / pdf 102),faithful,"Part One's interpretation of 'a profound boredom in the ground of our Dasein' awakens the fundamental attunement."
fundamental attunement,grounds-question,What is finitude?,(p.181 / GA pp.268 / pdf 102),faithful,"The three questions are drawn from the attunement; finitude is 'the most originary and most central'."
fundamental attunement,grounds-question,What is individuation?,(p.181 / GA pp.268 / pdf 102),faithful,"Third question developed from the awakened fundamental attunement."
comprehensive questioning,extends,profound boredom,(p.181 / GA pp.268 / pdf 102),faithful,"Part Two's questioning derives its justification and import from Part One's boredom analysis."
guideline [5],qualifies,fundamental attunement,(p.182 / GA pp.269 / pdf 102),faithful,"Every genuine attunement liberates/deepens the others; known through Dasein, not a psychology of feelings."
philosophy,temporalizes-as,melancholy,(p.183 / GA pp.270 / pdf 103),faithful,"As creative human activity philosophy stands in the fundamental attunement of melancholy (Schwermut)."
melancholy,qualifies,comprehensive questioning,(p.183 / GA pp.270 / pdf 103),faithful,"Melancholy concerns the form not the content, yet prescribes an attunement delimiting questioning's content."
Aristotle,cites,melancholy,(p.183 / GA pp.270 / pdf 103),faithful,"Problemata XXX.1 (953a10ff. Bekker): why are exceptional men melancholics? Empedocles, Socrates, Plato."
Mut / Gemüt / Schwermut / Armut,glosses-german,melancholy,(p.183 / GA pp.270-72 / pdf 103),faithful,"Translator's note on the Mut word-family; Armut anchors the animal's weltarm in §46."
§44,marginal-note,Mut / Gemüt / Schwermut / Armut,(p.183 / GA pp.270-72 / pdf 103),faithful,"Translator footnote rendering :umute sein / Schwermut / Gemüt; flags the Armut cognate for §46."
profound boredom,bridges-to-pipeline,King-Salvo boredom stimulus,(p.181 / GA pp.268 / pdf 102),faithful,"FCM frames boredom as an attunement to awaken/interpret — the bridge's warrant for treating the lab's boring stimulus as more than a feeling-state."
guideline [5],interprets-experiment-finding,EEG/gaze/phenomenological triangulation,(p.182 / GA pp.269 / pdf 102),faithful,"'Not through a psychology of feelings' parallels the team's demotion of single physiological proxies toward triangulation."
melancholy,interprets-experiment-finding,clinical-video surface/depth split,(p.183 / GA pp.270 / pdf 103),faithful,"Form-not-content claim underwrites the second-form reading of gaze-engaged-surface vs EEG-bored-depth."
§45,defines,statement of essence,(p.187 / GA pp.275 / pdf 105),faithful,"The thesis holds for all animals because it is essential, not essential because universal; validity follows from essence."
statement of essence,grounds-question,zoology presupposition,(p.187 / GA pp.275 / pdf 105),faithful,"The thesis cannot be a zoological result; it must be zoology's presupposition, delimiting the field of inquiry."
§45,defines,circular movement of philosophy,(p.187 / GA pp.276 / pdf 105),faithful,"The thesis derives-from yet presupposes zoology; the circle's essential feature is the view of the centre it provides."
§45,contests,metaphysics-and-science-as-production-process,(p.189 / GA pp.279 / pdf 106),faithful,"Refuses the picture of science supplying facts and metaphysics concepts; their unity is a matter of fate."
The animal is poor in world,qualifies,Man is world-forming,(p.193 / GA pp.285 / pdf 108),faithful,"Initial self-evident reading: a difference of degree in completeness of accessibility — the reading §46 then dismantles."
§46,contests,hierarchical assessment,(p.194 / GA pp.286 / pdf 109),faithful,"No evaluative ranking: man can sink lower than any animal; amoeba as complete as ape; every species perfect as such."
poverty in world,glosses-german,deprivation,(p.195 / GA pp.287 / pdf 109),faithful,"Being poor means being deprived (Entbehren), heard through Mut/Ar-mut; not 'having less'."
deprivation,contests,sum total of accessible beings,(p.195 / GA pp.288 / pdf 109),faithful,"Because poverty is non-quantitative, 'world' cannot mean quantity, sum-total, or degree of accessible beings."
§47,defines,accessibility of beings,(p.196 / GA pp.289 / pdf 110),faithful,"Provisional definition of world: beings in each case accessible and to-be-dealt-with for a being's manner of being."
The stone is worldless,instances-in-text,having no access,(p.197 / GA pp.290 / pdf 110),faithful,"Worldlessness = having no access to the beings (as beings) amongst which the stone is; constitutive of its being."
having no access,discloses,presence-at-hand,(p.197 / GA pp.290 / pdf 110),faithful,"Not a lack: having-no-access makes possible the stone's kind of being — physical-material nature and its laws."
The animal is poor in world,contests,The stone is worldless,(p.196 / GA pp.290 / pdf 110),faithful,"Both are a not-having of world, but the animal's is deprivation while the stone cannot even be deprived."
lizard / beetle,instances-in-text,accessibility of beings,(p.198 / GA pp.291-92 / pdf 111),faithful,"Cross-out 'rock'; blade of grass = 'beetle-path': given-for-the-animal yet not accessible as a being."
environmental world,qualifies,The animal is poor in world,(p.198 / GA pp.292 / pdf 111),faithful,"Uexkull-derived Umwelt: animal immured in a fixed sphere; the thesis appears to run counter to this familiar talk."
The animal is poor in world,instances-in-text,both has and does not have world,(p.199 / GA pp.292-94 / pdf 111),faithful,"With man (access) yet with the stone (deprivation = not-having): contradictory by common logic, legitimate in metaphysics."
both has and does not have world,grounds-question,What is world?,(p.199 / GA pp.294 / pdf 111),faithful,"The intertwining of worldlessness and world-formation in the animal identifies the knot where world's elucidation must begin."
Jakob von Uexkull,extends,environmental world,(p.192 / GA pp.284 / pdf 108),faithful,"Source of the Umwelt talk Heidegger appropriates critically; the thesis seems to contradict accustomed Uexkull usage."
Max Scheler,contests,hierarchical assessment,(p.192 / GA pp.283-84 / pdf 108),faithful,"Scheler's material/life/spirit hierarchy judged a fundamental error denying access to metaphysics, though the question is essential."
accessibility of beings,bridges-to-pipeline,boredom-as-restricted-disclosure,(p.196 / GA pp.289 / pdf 110),faithful,"World = accessibility of beings as beings (disclosedness); the graded-openness model transfers to boredom as constrained disclosure."
