source,relation,target,locus,note,unit
bor-sec-06,treats-construct,mind-wandering / task-unrelated thought,p.7,"bored-student vignette: boredom motivates the subject to mind wander, doodle, talk to classmates, look outside the window (FAITHFUL-Elpidorou, p.7)",bor-sec-06
bor-sec-06,treats-construct,boredom-as-regulatory-signal (functional account),pp.6-8,"Sartrean payoff: boredom as an active attempt to re-establish a proper cognitive relationship to the world, not passive deficit (FAITHFUL-Elpidorou, p.8)",bor-sec-06
bor-sec-06,treats-construct,situational vs. trait/state boredom,p.1,light touch: individuals with a high propensity to boredom show characteristic duration-estimation errors (FE),bor-sec-06
bor-sec-06,treats-construct,flow / engagement (contrast pole),"pp.2, 7",never named as such; functions throughout as boredom's implicit negative-defining contrast via 'engage'/'engross'/'absorb' (FE),bor-sec-06
bor-sec-06,construct-measured-by,behavioral (RT / errors / performance-monitoring),pp.1-2,"Danckert and Allman (2005) duration-estimation-error finding cited as evidence for the temporality construct; literature-cited, not first-party data (FE)",bor-sec-06
bor-sec-06,construct-measured-by,self-report / survey scale,"p.2, p.7","Martin, Sadlo, and Stew (2006) first-person qualitative reports of time 'stalling,' treated as the nearest self-report analogue; literature-cited, not administered (FE)",bor-sec-06
bor-sec-06,bridges-to-fcm,fcm-04-first-form,"FCM §§19-23, book pp.78-105 / this unit p.4","paraphrases Heidegger's diagnosis of the first form as boredom's most familiar register, tied to a determinate boring thing and a bounded dragging interval (P/anticipatory-application)",bor-sec-06
bor-sec-06,bridges-to-fcm,fcm-05-second-form,"FCM §§24-28, book pp.106-131 / this unit pp.4-5","stays close to the dinner-party example and the retrospective, 'arises from Dasein itself' character of the second form (P/anticipatory-application)",bor-sec-06
bor-sec-06,bridges-to-fcm,fcm-06-third-form,"FCM §§29-36, book pp.132-159 / this unit pp.5-6","keystone reading: es ist einem langweilig, undifferentiated no one, unarticulated unity of the three temporal dimensions, telling refusal (Versagen/Sagen) (P/anticipatory-application)",bor-sec-06
bor-sec-06,qualifies,fcm-06-third-form / fcm-07-particular-profound boundary,p.6,"Elpidorou's own citation 'ibid., 148-52, §38' straddles fcm-06's book-page range and fcm-07's section range; flagged as an apparent internal inconsistency in the source's own citation, not a citation of fcm-07's distinct 'contemporary Dasein' material (P/anticipatory-application)",bor-sec-06
bor-sec-06,cites,"Husserl, Edmund (interlocutor)",pp.1-3,"On the Phenomenology of the Consciousness of Internal Time (1991); topic (boredom) constructed by Elpidorou, not Husserl's own (FE)",bor-sec-06
bor-sec-06,cites,"Heidegger, Martin -- Being and Time",p.4,"Befindlichkeit as ontological structure, moods as its ontic manifestation, fundamental moods (Grundstimmungen) as revelatory -- background architecture for the FCM reading (FE)",bor-sec-06
bor-sec-06,cites,"Sartre, Jean-Paul -- Nausea and Sketch for a Theory of Emotions",pp.6-8,Roquentin's profound boredom in Nausea; STE's functional/magical account of emotion extended to boredom by Elpidorou (FE),bor-sec-06
bor-sec-06,cites,Danckert and Allman (2005),pp.1-2,"duration-estimation errors in boredom-prone individuals, cited as corroborating evidence for boredom's link to distorted time-perception (FE)",bor-sec-06
bor-sec-06,cites,"Martin, Sadlo, and Stew (2006)","p.2, p.7",first-person reports of boredom's perceived time-stalling; also cited for the apathetic/agitated boredom distinction (FE),bor-sec-06
bor-sec-06,cites,Wangh (1975),p.2,quoted for the 'endless present' characterization of boredom's temporal phenomenology (FE),bor-sec-06
bor-sec-06,cites,Greenson (1953),p.7,source of the apathetic vs. agitated boredom distinction taken up in the Sartre section (FE),bor-sec-06
bor-sec-06,cites,O'Brien (2014),p.7,cited alongside Martin et al. on the apathetic/agitated boredom distinction (FE),bor-sec-06
bor-sec-06,cites,London and Monello (1974),p.1,cognitive manipulation of time-perception shown to produce negative appraisals and feelings of boredom (FE),bor-sec-06
bor-sec-06,cites,"Elpidorou, Andreas (2015) -- The Significance of Boredom: A Sartrean Reading","p.6, p.8","author's own earlier Sartrean piece on boredom; NOT itself a unit in this cluster, hence plain cites rather than cites-cluster-author (FE)",bor-sec-06
bor-sec-06,cites-cluster-author,bor-sec-25 (Elpidorou -- The Bored Mind Is a Guiding Mind 2018),"p.3, p.8",cited for the aversive/escape features of ordinary boredom (p.3) and as the source's own fuller regulatory-theory account underlying the Sartrean functional reading (p.8) (FE),bor-sec-06
bor-sec-06,defines,Lange-weile ('long while'),p.3,"the temporal cash-out of a blurred living present; Elpidorou's own gloss connecting the German etymology to the Husserlian construction (FAITHFUL-Elpidorou, p.3)",bor-sec-06
bor-sec-06,instances-in-text,bored-student lecture vignette,p.7,"illustrates the Sartrean functional account: a student reappraises difficult material as meaningless, licensing mind-wandering and other escape behaviors (FAITHFUL-Elpidorou, p.7)",bor-sec-06
bor-sec-06,bridges-to-part-iii,Part III student-boredom framing (deficit vs. adaptive-signal),P/anticipatory-application,"the entry's Sartrean/regulatory reading offers philosophical warrant, independent of Strand D/E's physiological literature, for framing student boredom as potentially adaptive signal rather than mere deficit -- pair with bor-sec-25/26's fuller argument, do not substitute",bor-sec-06
bor-sec-06,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study),P/anticipatory-application,"dataset entry not yet built as of 2026-07-14; this source reports no first-party measurement of its own (only secondhand citations of Danckert and Allman 2005 and Martin, Sadlo, and Stew 2006), so no grounds-measure bridge is currently warranted",bor-sec-06
bor-sec-25,treats-construct,boredom-as-regulatory-signal (functional account),pp.468-476,the paper's entire argumentative object; every other construct is treated in service of this one (FE),bor-sec-25
bor-sec-25,treats-construct,situational vs. trait/state boredom,pp.457-460,"four formal features (duration/continuity/concreteness/situational-susceptibility) individuate state from trait boredom as different kinds, not degrees (FE)",bor-sec-25
bor-sec-25,treats-construct,boredom proneness,"pp.457, 475",BPS/ZBS reviewed as standard trait measures; Struk et al. 2016 locomotion correlation cited as initial confirmation of the malfunction-to-trait prediction (FE),bor-sec-25
bor-sec-25,treats-construct,mind-wandering / task-unrelated thought,p.461,causal direction (precursor vs. consequence of boredom) flagged as open; possibly adaptive as a means of surfacing alternatives (FE),bor-sec-25
bor-sec-25,treats-construct,attentional disengagement / meta-awareness,"pp.460-461, 467, 469-470",via Eastwood et al. 2012's 'unengaged mind' account; later reinterpreted functionally rather than as mere deficit (FE),bor-sec-25
bor-sec-25,treats-construct,flow / engagement (contrast pole),pp.463-464,Csikszentmihalyi's flow addressed directly; explicitly NOT treated as boredom's simple negation (FE),bor-sec-25
bor-sec-25,treats-construct,monotony / meaninglessness,"pp.463-464, 471-472",one of two ways a situation is 'non-optimal'; recurs in the meaning-restoration discussion of sec.3.3 (FE),bor-sec-25
bor-sec-25,treats-construct,temporality of boredom (time-drag),pp.461-463,longest single-construct treatment in the paper; internal-clock model; prospective vs. retrospective estimation (FE),bor-sec-25
bor-sec-25,operationalizes-measure,self-report / survey scale,"pp.457, 466","BPS, ZBS, Fahlman et al. 2013 state-boredom scale, Goetz et al. 2014 arousal Likert item -- all literature-reviewed, none administered (FE)",bor-sec-25
bor-sec-25,operationalizes-measure,heart rate / HRV,pp.464-466,"reviews Pattyn 2008, London et al. 1972, Chanel et al. 2008, Merrifield and Danckert 2014 -- literature-cited only (FE)",bor-sec-25
bor-sec-25,operationalizes-measure,EEG alpha/theta power,pp.466-467,"reviews Oswald 1962 alpha waves, mental-fatigue alpha-increase literature, Tabatabaie et al. 2014 lower left-DLPFC beta -- literature-cited only (FE)",bor-sec-25
bor-sec-25,operationalizes-measure,EEG functional connectivity,p.467,reviews Danckert and Merrifield 2016's fMRI default-mode-network / anterior-insula finding -- literature-cited only (FE),bor-sec-25
bor-sec-25,operationalizes-measure,behavioral (RT / errors / performance-monitoring),"pp.461-463, 467",time-estimation paradigms (Watt 1991; London and Monello 1974); Jiang et al. 2009 delayed ERP/LPC responses -- literature-cited only (FE),bor-sec-25
bor-sec-25,construct-measured-by,boredom proneness,p.457,"measured via BPS (Farmer and Sundberg 1986) / ZBS (Zuckerman 1979); surveyed from the literature, not administered by this paper (FE)",bor-sec-25
bor-sec-25,construct-measured-by,temporality of boredom (time-drag),pp.461-463,internal-clock prospective/retrospective paradigms; Watt 1991 number-circling task; London and Monello 1974 clock-manipulation study (FE),bor-sec-25
bor-sec-25,construct-measured-by,boredom-as-regulatory-signal (functional account),pp.471-472,behavioral proxy: self-administered-shock studies (Wilson et al. 2014; Havermans et al. 2015; Nederkoorn et al. 2016) as evidence of escape-motivation function (FE),bor-sec-25
bor-sec-25,defines,state boredom (four formal features),pp.458-460,"duration, continuity, concreteness, susceptibility to situation, distinguishing state from trait boredom as a matter of kind (FE)",bor-sec-25
bor-sec-25,defines,boredom as a functional/self-regulatory emotion,pp.468-469,"transitory, multicomponent, appraisal-triggered response serving a twofold informative/regulatory function (FE)",bor-sec-25
bor-sec-25,qualifies,arousal-boredom relationship (low vs. high vs. both),pp.464-466,"adopts the 'both, depending on escape-availability' reading (Eastwood et al. 2012; Merrifield and Danckert 2014) over a single-direction account (FE)",bor-sec-25
bor-sec-25,contests,boredom is exclusively a low-arousal / apathetic state,pp.464-466,contests Bench and Lench's (2013) move to reclassify low-arousal boredom findings as evidence about apathy rather than boredom (FE),bor-sec-25
bor-sec-25,contests,Goetz et al. (2014) five-fold arousal/valence typology of boredom,pp.464-465,"declines the five-way split on methodological grounds: self-report-only arousal measure, unexamined temporal ordering, risk of conflating boredom with co-occurring emotions (FE)",bor-sec-25
bor-sec-25,concedes,"boredom's phenomenology is aversive, disengaging, and attention-impairing",pp.460-464,concession made prior to functional reinterpretation; the same features a deficit account would cite as failure-evidence (FE),bor-sec-25
bor-sec-25,cites,Fahlman et al. (2013) state boredom scale and 'gets us unstuck' formulation,p.469,"source of the paper's central functional formulation, quoted p.68 of the cited source (FE)",bor-sec-25
bor-sec-25,cites,Van Tilburg and Igou (2011-2017b) meaning-regulation account,"pp.463-464, 468-469, 472",boredom's dissociation from anger/sadness/frustration; meaning-restoration strategies following boredom onset (FE),bor-sec-25
bor-sec-25,cites,"Eastwood, Frischen, Fenske, and Smilek (2012) The Unengaged Mind","pp.460-461, 467, 473",attentional-failure account of boredom's mechanism; principal source for the disengagement/attention characteristics (FE),bor-sec-25
bor-sec-25,cites,"Csikszentmihalyi (1975, 1990, 1993) flow / optimal experience",pp.463-464,contrast-pole account; its skills-exceed-challenge model of boredom criticized as too narrow (FE),bor-sec-25
bor-sec-25,cites,Deci and Ryan (1985) self-determination theory,pp.472-473,intrinsic/extrinsic motivation distinction used to explain boredom's motivational character (FE),bor-sec-25
bor-sec-25,cites,"Baumeister, Bratslavsky, Finkenauer, and Vohs (2001) negativity bias ('bad is stronger than good')","pp.469-470, 474",explains why an aversive signal is functionally well-suited to produce behavioral change (FE),bor-sec-25
bor-sec-25,cites,"Fredrickson (1998, 2013) broaden-and-build hypothesis",p.475,boredom's indirect promotion of the positive emotion of interest as a route to durable psychological resources (FE),bor-sec-25
bor-sec-25,cites,Wilson et al. (2014); Havermans et al. (2015); Nederkoorn et al. (2016) self-administered-shock studies,pp.471-472,behavioral evidence isolating boredom (not sadness/negative-affect generally) as the driver of escape-motivated self-shocking (FE),bor-sec-25
bor-sec-25,cites,Struk et al. (2016) locomotion / boredom-proneness correlation,p.475,cited as initial empirical confirmation of the regulatory account's testable prediction (FE),bor-sec-25
bor-sec-25,cites,Danckert and Merrifield (2016) fMRI default-mode-network study,p.467,resting-state vs. boredom-induction vs. sustained-attention-task comparison; anterior-insula anticorrelation unique to boredom (FE),bor-sec-25
bor-sec-25,cites,Heidegger (1983/2001) The Fundamental Concepts of Metaphysics,"pp.461, 463, 471",three bare string-citations for the altered-perception-of-time phenomenon only; no engagement with Dasein/moods/tripartite forms -- not a bridges-to-fcm-worthy reading (FE),bor-sec-25
bor-sec-25,cites-cluster-author,bor-sec-26 (Elpidorou -- The Good of Boredom 2018b),p.471,cited as 'Elpidorou (in press). The good of boredom. Philosophical Psychology' for the claim that boredom facilitates goal-directed (not merely any) movement -- forward citation to the companion piece (FE),bor-sec-25
bor-sec-25,shifts-debate-axis,boredom-as-deficit <-> boredom-as-functional/adaptive,"pp.455-456, 460-476","PRIMARY GROUNDING for this cluster axis (together with bor-sec-26): concedes deficit-reading's descriptive premises (aversiveness, disengagement, attentional failure) then reinterprets them as functional components of a regulatory mechanism, arguing the functional/adaptive side via a three-part adaptive-value case (p.474-475) while normatively limiting its reach (p.473) (FE)",bor-sec-25
bor-sec-25,instances-in-text,self-administered electric-shock paradigm,pp.471-472,used as behavioral proof that boredom's aversiveness is strong enough to motivate escape behavior that is itself costly (FE),bor-sec-25
bor-sec-25,bridges-to-part-iii,Part III student/VLE-boredom framing (deficit vs. adaptive-signal),P/anticipatory-application,"licenses reframing self-reported classroom boredom as a potentially adaptive misalignment-signal rather than simple evidence of attentional/motivational failure, while the source's own normative caveat (p.473) cautions against over-applying this to boring-but-important material -- see .md Analytical role section",bor-sec-25
bor-sec-25,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study),P/anticipatory-application,"dataset entry not yet built as of 2026-07-14; this source's arousal-ambiguity resolution (pp.465-466) flagged as the most directly relevant future mapping candidate for interpreting divergent physiological signatures in a VR-immersion sample, not a claim of this source",bor-sec-25
bor-sec-26,treats-construct,boredom-as-regulatory-signal (functional account),pp.325-334,central thesis: boredom is an informative-and-motivational state promoting goal-directed locomotion out of unsatisfactory situations,bor-sec-26
bor-sec-26,treats-construct,situational vs. trait/state boredom,pp.323-327,foundational distinction organizing the whole paper; thesis explicitly scoped to state boredom only via §2 Caution!,bor-sec-26
bor-sec-26,treats-construct,boredom proneness,"pp.323-325, 333",catalogs harmful correlates (§1) then reframes as dysfunction/failure-mode of the normally-adaptive state-boredom mechanism (§4.1),bor-sec-26
bor-sec-26,treats-construct,monotony / meaninglessness,"pp.326, 328, 339-340",boring situations characterized as meaningless/trite/non-optimal; boredom held to motivate reconstruction of a meaningful life,bor-sec-26
bor-sec-26,treats-construct,temporality of boredom (time-drag),p.328,cognitive-character discussion of altered/slowed time-perception (Watt 1991; Danckert & Allman 2005),bor-sec-26
bor-sec-26,treats-construct,mind-wandering / task-unrelated thought,"pp.328, 331",cognitive marker of boredom; later a legitimate route of mental (non-physical) locomotion that can alleviate it,bor-sec-26
bor-sec-26,treats-construct,attentional disengagement / meta-awareness,pp.328-329,central to cognitive character; fMRI DMN/anterior-insula findings tied to attentional engagement-failure,bor-sec-26
bor-sec-26,treats-construct,flow / engagement (contrast pole),"p.328 n.3, p.340",engagement/interest invoked as contrast pole to boredom's disengagement; Csikszentmihalyi cited in passing but not developed,bor-sec-26
bor-sec-26,operationalizes-measure,self-report / survey scale,p.324,surveys BPS (Farmer & Sundberg 1986) and ZBS (Zuckerman 1979) as the two full-scope trait-boredom measures,bor-sec-26
bor-sec-26,operationalizes-measure,EEG alpha/theta power,p.329,cites Oswald (1962) alpha-wave presence during boredom and Tabatabaie et al. (2014) lower DLPFC beta activity as tentative neural correlates (secondhand review),bor-sec-26
bor-sec-26,operationalizes-measure,heart rate / HRV,p.329,cites London et al. (1972) heart-rate/GSR increase and Pattyn et al. (2008) heart-rate decrease during vigilance as explicitly conflicting arousal evidence,bor-sec-26
bor-sec-26,operationalizes-measure,behavioral (RT / errors / performance-monitoring),"pp.324-325, 328",boredom proneness correlated with sustained-attention errors (Carriere et al. 2008; Malkovsky et al. 2012) and duration-judgment errors (Watt 1991; Danckert & Allman 2005),bor-sec-26
bor-sec-26,construct-measured-by,boredom proneness,p.324,BPS is the paper's cited full-scale measure of trait boredom / boredom proneness,bor-sec-26
bor-sec-26,cites,Bench and Lench (2013) On the Function of Boredom,"pp.325, 330, 336",prior functional-account literature the paper builds on and claims to go beyond,bor-sec-26
bor-sec-26,cites,Van Tilburg and Igou (2011, 2012, 2016) meaning-regulation account,bor-sec-26
bor-sec-26,cites,Eastwood Frischen Fenske and Smilek (2012) The Unengaged Mind,"pp.325, 328-329",attention-based definitional review of state boredom used as the field's authoritative description,bor-sec-26
bor-sec-26,cites,Danckert and Merrifield (2016) fMRI DMN study,p.329,comparative fMRI study of resting/boredom/sustained-attention conditions; anterior-insula anti-correlation read as evidence of failed engagement,bor-sec-26
bor-sec-26,extends,Higgins Kruglanski and Pierro (2003) Regulatory Mode Theory,pp.330-332,imports locomotion/assessment distinction; novel application of RMT specifically to boredom research,bor-sec-26
bor-sec-26,cites,Struk Scholer and Danckert (2016),p.332,empirical support cited for the predicted negative correlation between locomotion and boredom proneness,bor-sec-26
bor-sec-26,extends,Ryff and Singer (1998) eudaimonic psychological well-being,pp.338-340,personal-growth and purpose-in-life dimensions used as the vehicle for arguing boredom contributes to eudaimonic well-being,bor-sec-26
bor-sec-26,cites,Ryan and Deci (2000, 2001) hedonic/eudaimonic debate,p.338,bor-sec-26
bor-sec-26,contests,Kierkegaard (1843/1987) boredom is the root of all evil,p.340,named as representative of the dominant negative philosophical/literary tradition this paper offers a complementary corrective to,bor-sec-26
bor-sec-26,cites,Keltner and Gross (1999); Tooby and Cosmides (2008) functional accounts of emotion,p.332,general functional-emotion framework invoked to argue boredom's function cannot be mere movement,bor-sec-26
bor-sec-26,qualifies,Csikszentmihalyi (1975) Beyond Boredom and Anxiety,"p.328 n.3, p.340",cited in passing on challenge/optimal experience but not developed as a rival account,bor-sec-26
bor-sec-26,cites,Wilson et al. (2014) Just Think (self-shock study),p.336,used as vivid evidence of the disengaged mind's strong motivational/aversive power,bor-sec-26
bor-sec-26,defines,locomotion vs. assessment (Regulatory Mode Theory),pp.330-331,"locomotion defined as commitment of psychological resources to initiate/maintain goal-directed movement, distinct from evaluative assessment",bor-sec-26
bor-sec-26,defines,component-process account of boredom,pp.328-330,structures the entire descriptive section: affective / cognitive / physiological / volitional components (Kleinginna & Kleinginna 1981; Scherer 1984),bor-sec-26
bor-sec-26,concedes,physiological arousal indeterminacy of boredom,p.329,"explicitly concedes no consensus exists on whether boredom is low- or high-arousal or both, citing conflicting studies on all three positions",bor-sec-26
bor-sec-26,instances-in-text,pain-capacity analogy (congenital insensitivity to pain),p.327,"central illustrative analogy: capacity to feel pain protects even though painful, as capacity to be bored protects even though aversive",bor-sec-26
bor-sec-26,instances-in-text,truck-driver monotonous-road example,p.332,"used to show mere physical movement/change does not suffice to relieve boredom, refuting a pure-motion account of function",bor-sec-26
bor-sec-26,instances-in-text,academic/classroom boredom example,p.336,used to test the limits of boredom's value: sometimes boring situations should not be escaped; boredom can prompt creativity instead of only disengagement,bor-sec-26
bor-sec-26,shifts-debate-axis,boredom-as-deficit <-> boredom-as-functional/adaptive,"pp.326-327, 333-334, 338-341","PRIMARY GROUNDING (co-anchor w/ bor-sec-25): argues state boredom is functional/adaptive (pain analogy) while boredom proneness/trait boredom remains a genuine dysfunction -- deficit and functional poles reconciled, not simply opposed, with deficit explained as malfunction of the same mechanism",bor-sec-26
bor-sec-26,qualifies,deficit accounts of boredom proneness,"p.333, pp.341-342 n.5","reframes trait-boredom harms not as counter-evidence to the functional account but as evidence of the function's failure-mode, preserving both literatures",bor-sec-26
bor-sec-26,extends-reading-of,Elpidorou (2014) The Bright Side of Boredom,"pp.325-326, 339","extends the earlier, shorter functional-account paper into a full argument connecting locomotion specifically to eudaimonic well-being",bor-sec-26
bor-sec-26,cites-cluster-author,bor-sec-25 (Elpidorou -- The Bored Mind Is a Guiding Mind, forthcoming/2018-19),"pp.325, 328, 330, 338-339, 340, 341 n.2, 351 (reference list)",bor-sec-26
bor-sec-26,bridges-to-part-iii,Part III VLE/student situational-boredom reframing,P/anticipatory-application,licenses reading single episodic (not trait-level) student/player disengagement as a regulatory signal rather than raw evidence of design failure -- see .md Analytical role section,bor-sec-26
bor-sec-26,bridges-to-part-iii,Part III deficit-vs-functional debate axis anchor,P/anticipatory-application,co-anchor unit (with bor-sec-25) for the cluster's construct-axis row boredom-as-regulatory-signal; supplies the eudaimonic value-theoretic warrant for the functional pole,bor-sec-26
bor-sec-26,bridges-to-part-iii,Part III VLE proximity-voice as boredom-guidance mechanism,P/anticipatory-application,"maps this source's own point that boredom 'needs our guidance' (p.335) onto Part III's VLE proximity-voice/co-watching correction (project-vle-proximity-voice-and-groups) as a candidate guidance mechanism -- our extension, not a claim of this source",bor-sec-26
bor-sec-26,grounds-measure,****** UNVERIFIED: Boredom Experiment (VR Attention Study),P/anticipatory-application,dataset entry not yet built as of 2026-07-14; locomotion-based behavioral predictions (pp.332-333) are candidate operationalization targets for a future task-switching/disengagement behavioral channel,bor-sec-26
bor-sec-16,bridges-to-fcm,fcm-06-third-form,p.3,"Single verbatim citation of Heidegger's profound-boredom passage ('removes all things and men and oneself... reveals being as a whole', Heidegger 1993 p.105) to establish mood-not-object-directedness; no engagement with FCM's tripartite structure or Augenblick. Citation-pointer only, not a sustained reading of FCM (P/anticipatory-application).",bor-sec-16
bor-sec-16,treats-construct,profound/deep boredom (FCM 3rd form),p.3,"Invoked as one exemplar among several (alongside Bollnow, Schopenhauer) of boredom-as-non-intentional-mood; not developed further (FE).",bor-sec-16
bor-sec-16,cites,"Heidegger, Martin — Being and Time",p.3,"Anxiety (Angst vs. Furcht) as inner-worldly, non-object-directed mode of being, used to reinforce the mood/emotion distinction (FAITHFUL-Feldges, p.3).",bor-sec-16
bor-sec-16,treats-construct,situational vs. trait/state boredom,p.4,"Explicitly brackets trait-boredom to focus on state-boredom 'as a token of experienced boredom' (FAITHFUL-Feldges, p.4).",bor-sec-16
bor-sec-16,treats-construct,boredom proneness,p.4,Trait/predisposition sense noted only to be set aside in favour of state-boredom (FE).,bor-sec-16
bor-sec-16,treats-construct,mind-wandering / task-unrelated thought,p.9,"Type-2 'calibrating boredom' glossed as free-roaming thought/mind-wandering coincident with the ECN-to-DMN switch (FAITHFUL-Feldges, p.9).",bor-sec-16
bor-sec-16,treats-construct,attentional disengagement / meta-awareness,p.8,"Husserl's pre-reflective vs. reflective self-given-ness distinction mapped onto non-explicit ('lingering in indifferent boredom') vs. explicit ('I am bored') awareness (FAITHFUL-Feldges, p.8).",bor-sec-16
bor-sec-16,treats-construct,boredom-as-regulatory-signal (functional account),p.5,"Cognitive-psychological premise that boredom has a functional purpose, informing the individual and motivating search for a more interesting environment/goal (FAITHFUL-Feldges, p.5, citing Bench & Lench 2013).",bor-sec-16
bor-sec-16,treats-construct,flow / engagement (contrast pole),p.11,Invokes Kuh et al. (2008) student-engagement literature as counterweight; warns that both over-stimulation ('edutrainers') and over-boredom are undesirable (FE).,bor-sec-16
bor-sec-16,treats-construct,monotony / meaninglessness,p.3,"Lipps's (1903) definition: boredom as conflict between need for mental activity and lack of incitement, or inability to be incited (FAITHFUL-Feldges, p.3).",bor-sec-16
bor-sec-16,treats-construct,temporality of boredom (time-drag),p.9,"Husserl's retention/protention account explains why subjective and 'cosmic' (objective) time diverge during boredom, making time feel sluggish (FAITHFUL-Feldges, p.9).",bor-sec-16
bor-sec-16,operationalizes-measure,self-report / survey scale,p.6,"Götz & Frenzel's (2006) taxonomy built from 'phenomenological' student interviews (qualitative self-report, not philosophical phenomenology) (FAITHFUL-Feldges, p.6).",bor-sec-16
bor-sec-16,operationalizes-measure,heart rate / HRV,p.5,"Cites London et al. (1972) on increased autonomic arousal (skin-conductivity, heart frequency) as a boredom-behaviour measure, while noting the unclear boundary between 'pure' boredom and resultant states (FAITHFUL-Feldges, p.5).",bor-sec-16
bor-sec-16,cites,"Husserl, Edmund — Logical Investigations / Ideen I / Zeitbewusstsein",p.8,Three concepts of consciousness (empirical ego/stream of consciousness; inner awareness; pure ego) adopted as the paper's main phenomenological apparatus (FE).,bor-sec-16
bor-sec-16,extends,"Buck, Günther — Lernen und Erfahrung (2019)",p.7,"Buck does not treat the negative case explicitly; the authors extend his experiential-process account of learning to frustration/boredom as failure-to-learn (FAITHFUL-Feldges, p.6-7).",bor-sec-16
bor-sec-16,cites,"Marion, Jean-Luc — Reduction and Givenness (1998)",p.7,"Uses Marion's 'I no longer am' passage as an intensified contrast-foil for existential self-loss in boredom, beyond Schopenhauer's formulation (FE).",bor-sec-16
bor-sec-16,cites,"Fenichel, Otto (1953)",p.3,"Distinguishes quiet boredom from motor-restless 'fidgetiness'; boredom as covering 'very different states of mind' (FAITHFUL-Feldges, p.3).",bor-sec-16
bor-sec-16,cites,"Lipps, Theodor (1903)",p.3,Source of the incitement-conflict definition of boredom taken up via Fenichel (FE).,bor-sec-16
bor-sec-16,cites,"Schopenhauer, Arthur",p.4,"Boredom as will (Wille) lacking an object, a 'fearful emptiness' making existence an intolerable burden (FAITHFUL-Feldges, p.4).",bor-sec-16
bor-sec-16,cites,"Bollnow, Otto Friedrich — Das Wesen der Stimmungen (1956)",p.4,"Affirms boredom lacks a directed object, supporting the mood (non-intentional) reading (FE).",bor-sec-16
bor-sec-16,cites,"Prinz, Jesse — Gut Reactions (2004)",p.4,Contemporary philosophical warrant for the intentionality-based mood/emotion distinction (FE).,bor-sec-16
bor-sec-16,cites,"Pekrun, Reinhard (2006; Pekrun et al. 2010)",p.4,"Source of the achievement-emotion/control-value framing and the five-component (affective, cognitive, motivational, physiological, expressive) account of boredom, later critiqued for eliding the mood/emotion distinction (FAITHFUL-Feldges, p.4; p.11).",bor-sec-16
bor-sec-16,contests-reading-of,"Pekrun, Reinhard, & Linnenbrink-Garcia, L. — International Handbook of Emotions in Education (2015)",p.11,"Critiques the Handbook for treating moods merely as 'low-intensity emotions,' neglecting the intentionality-based distinction the paper's whole framework is built on (FAITHFUL-Feldges, p.11).",bor-sec-16
bor-sec-16,cites,"Götz, Thomas, & Frenzel, Anne C. — Phänomenologie schulischer Langweile (2006)",p.6,"Source of the four-type taxonomy of academic boredom (indifferent, calibrating, goal-seeking, reactant) plotted on excitation-by-negative-valence axes (FAITHFUL-Feldges, p.6).",bor-sec-16
bor-sec-16,contests-reading-of,"Götz, Thomas, & Frenzel, Anne C. (2006)",p.9-10,"Argues the taxonomy conflates an antecedent state (Type 1, indifferent boredom, an 'in-between stage') and resultant/directed-emotion states (Types 3-4, goal-seeking and reactant boredom) with 'actual' boredom, located most cleanly in Type 2 (calibrating boredom) (FAITHFUL-Feldges, p.9-10).",bor-sec-16
bor-sec-16,concedes,"Götz, Thomas, & Frenzel, Anne C. (2006)",p.6,"Concedes the taxonomy retains practical/heuristic value for classroom recognition even though it is not conceptually rigorous (FAITHFUL-Feldges, p.6).",bor-sec-16
bor-sec-16,cites,"Danckert, James, & Merrifield, Colleen (2018)",p.5,"Executive Control Network deactivation / Default Mode Network activation as the neural signature of boredom (FAITHFUL-Feldges, p.5).",bor-sec-16
bor-sec-16,cites,"Andrews-Hanna, Jessica R. (2012)",p.5,"Default Mode Network turns toward internal mentation absent sufficient external stimuli; DMN activation necessary but not sufficient for boredom, since it also occurs in meditative depersonalisation (FAITHFUL-Feldges, p.5).",bor-sec-16
bor-sec-16,qualifies,Danckert & Merrifield (2018) / Andrews-Hanna (2012) — neuroscience-phenomenology fit,p.11,"Notes the fit between neuroscience and phenomenology is 'remarkable' precisely because neuroscience is usually read as supporting cognitive psychology instead; does not resolve which framework should be favoured (FAITHFUL-Feldges, p.11).",bor-sec-16
bor-sec-16,cites-cluster-author,"Raffaelli, Quentin, Mills, Caitlin, & Christoff, Kalina (2018)",p.5,"Cites 'The knowns and unknowns of boredom' on the difficulty of defining where the 'inherently internal experience' of boredom empirically begins/ends; likely Strand-C cluster author (bor-sec-20/26 range), not yet built at time of writing — note only, do not block (P/anticipatory-application).",bor-sec-16
bor-sec-16,cites,"Elpidorou, Andreas (2017)",p.4,"Regulatory theory of boredom ('the bored mind is a guiding mind') and boredom's constructed, multidimensional, contested character (FE).",bor-sec-16
