unit,source,relation,target,locus,note
dfd-04-post-phenomenology-object-studies,Wendt,contests,Heidegger:object as a static gathering apart from the maker,(p.121 / pdf 123),(1) design at systems level; (2) object "things on its own" with multistable tendencies (note 156)
dfd-04-post-phenomenology-object-studies,Boradkar,glosses,PHENOM-LINEAGE:phenomenology -> post-phenomenology -> object studies,(p.117 / pdf 119),capsule history of philosophies of things framing the progression (note 148)
dfd-04-post-phenomenology-object-studies,DESIGN-CONCEPT:multistability,designs-for,DESIGN-PRINCIPLE:design for what the solution can be,(p.111 / pdf 113),"design metaphysics" question: what a solution is/should be/can be
dfd-05-embodiment-meaning-formation,Wendt,contests,Cartesian assumption (users are rational subjects),(p.123 / pdf 125),"Clears the three disembodied designer-assumptions that lead to a dualist design path."
dfd-05-embodiment-meaning-formation,Wendt,defines,embodied cognition,(p.124 / pdf 126),"Thinking is embodied in the world; we interact and learn rather than model-then-act."
dfd-05-embodiment-meaning-formation,Wendt,cites,Andy Clark,(p.124 / pdf 126),"Intelligence rooted in tuning basic responses to a real world; the earthy site of cognition."
dfd-05-embodiment-meaning-formation,Wendt,cites,Hubert Dreyfus,(p.125 / pdf 127),"Heideggerian critique of symbolic AI as a theory of embodied contextual cognition."
dfd-05-embodiment-meaning-formation,Wendt,cites,Merleau-Ponty,(p.125 / pdf 127),"Body as ambiguous third party; a theory of the body is already a theory of perception."
dfd-05-embodiment-meaning-formation,Merleau-Ponty,glosses,solicitations of situations,(p.126 / pdf 128),"Skills stored not as representations but as solicitations of situations in the world."
dfd-05-embodiment-meaning-formation,solicitations of situations,extends,extended mind,(p.126 / pdf 128),"Memory stores external to the mind, accessed through the body, adapted to context."
dfd-05-embodiment-meaning-formation,body as system of possible actions,applies-to-design,multistability,(p.126 / pdf 128),"Raises the design question of guiding conscious and non-conscious goals within multistability."
dfd-05-embodiment-meaning-formation,what things do (not what they are),applies-to-design,information architecture,(p.126 / pdf 128),"Organize content by what it lets users do, not by taxonomy (the IRS tax-form example)."
dfd-05-embodiment-meaning-formation,Gibson,defines,affordance,(p.130 / pdf 132),"Objects perceived by possible actions before naming; framed by what they do."
dfd-05-embodiment-meaning-formation,affordance,discloses,subject-object dualism is false,(p.130 / pdf 132),"Affordance is both physical and psychical yet neither; cuts across the dichotomy."
dfd-05-embodiment-meaning-formation,Wendt,cites,Don Norman,(p.129 / pdf 131),"Affordances as interface elements communicating possible action; deepened past communication."
dfd-05-embodiment-meaning-formation,Latour,glosses,script,(p.128 / pdf 130),"Intended action embedded in an object; designers embed scripts via clear affordances."
dfd-05-embodiment-meaning-formation,bodily capacity,qualifies,affordance,(p.132 / pdf 134),"Perceiving an affordance is near-universal; acting on it depends on bodily capacity."
dfd-05-embodiment-meaning-formation,Tonkinwise,glosses,unsemiotic affordance,(p.132 / pdf 134),"Promised action opportunity between things and the body without the involvement of the mind."
dfd-05-embodiment-meaning-formation,affordance,mediates,creative misuse,(p.128 / pdf 130),"Embodiment enables or hinders creative misuse by limiting the possibilities objects afford."
dfd-05-embodiment-meaning-formation,Wendt,extends,phenomenology of design,(p.133 / pdf 135),"From a metaphysics of design (what objects are) to a phenomenology of design (what they do)."
dfd-05-embodiment-meaning-formation,Wendt,defines,embodied meaning,(p.133 / pdf 135),"Meaning arises from engaging and acting within the world; distributed and action-contingent."
dfd-05-embodiment-meaning-formation,Krippendorff,defines,product semantics,(p.135 / pdf 137),"Optimizes meaningfulness and human-centeredness by users' own criteria, not performance."
dfd-05-embodiment-meaning-formation,Krippendorff,defines,sense vs meaning,(p.137 / pdf 139),"Sense = role in one context; meaning = sum of all imaginable contexts of use."
dfd-05-embodiment-meaning-formation,Wendt,qualifies,Krippendorff,(p.138 / pdf 140),"Use is necessary for sensemaking, not necessarily for meaning (the military-tank case)."
dfd-05-embodiment-meaning-formation,language,co-evolves-with,reality,(p.138 / pdf 140),"Language does not merely represent; it does something and creates reality ('I do')."
dfd-05-embodiment-meaning-formation,Wendt,defines,interface,(p.140 / pdf 142),"Point of sensemaking and structural coupling between user and object and context."
dfd-05-embodiment-meaning-formation,Bonsiepe,glosses,structural coupling,(p.127 / pdf 129),"Design attaches artifacts to the body; without interface there are no tools."
dfd-05-embodiment-meaning-formation,interface,mediates,user-system third entity,(p.143 / pdf 145),"Hookway: holding-apart and drawing-together produce a united user-system condition."
dfd-05-embodiment-meaning-formation,Wendt,contests,Bonsiepe (interface as central domain),(p.142 / pdf 144),"Too limiting; forgets user behaviors and what happens after the interface is designed."
dfd-05-embodiment-meaning-formation,Wendt,contests,Herbert Simon (positivist artifact),(p.142 / pdf 144),"Rejects 'inner appropriate to outer' as the positivist statement the framework opposes."
dfd-05-embodiment-meaning-formation,Wendt,designs-for,transparency,(p.146 / pdf 148),"Transparency (perceived through; movable in and out of awareness) preferable to invisibility."
dfd-05-embodiment-meaning-formation,Wendt,contests,invisibility and intuition,(p.145 / pdf 147),"Inaccurate and harmful; almost all interaction calls upon cultural/learned information."
dfd-05-embodiment-meaning-formation,Ihde,glosses,double desire (paradox of invisibility),(p.148 / pdf 150),"Wanting the transformation yet being unaware of the technology; complete incorporation (the Borg)."
dfd-05-embodiment-meaning-formation,invisibility ideal,discloses,Heidegger's fear of passivity,(p.148 / pdf 150),"Decreasing interaction-labor yields a docile state in which technology embeds into Dasein."
dfd-05-embodiment-meaning-formation,Krippendorff,defines,semantic turn,(p.149 / pdf 151),"Humans influence technological development; designers make 'homes'; meaning matters."
dfd-05-embodiment-meaning-formation,Dourish,defines,embodied interaction,(p.152 / pdf 154),"Takes embodiment as central to and constitutive of the whole phenomenon of interaction."
dfd-05-embodiment-meaning-formation,embodied interaction,applies-to-design,situated design,(p.151 / pdf 153),"Context is actively produced and enacted; ethnography blends designer and user categories."
dfd-05-embodiment-meaning-formation,affordance,discloses,perception-phantasma chain,(p.130 / pdf 132),"RO-hook: action-potential perceived before naming parallels perception->phantasma->desire."
dfd-05-embodiment-meaning-formation,embodied meaning,discloses,meaning-formation as actualized engagement,(p.133 / pdf 135),"RO-hook: meaning as terminus of an embodied perception->action arc, not a representation read-out."
dfd-06-concluding-remarks,Wendt,defines,phenomenological-design-thinking,p.153-154 / pdf 155-156,"Applying phenomenology to design as a medium of meaning formation; an evolution of post-phenomenology whose next step is grounded in design thinking."
dfd-06-concluding-remarks,phenomenological-design-thinking,extends,post-phenomenology,p.154 / pdf 156,"Wendt-says: not terribly different from post-phenomenology; simply an evolution that pushes classical phenomenology into the realm of design."
dfd-06-concluding-remarks,Wendt,cites,Mads-Folkmann,p.153 / pdf 155,"Chapter epigraph framing: design relates to and possibly changes the constituents of experience; addresses present and future of experience."
dfd-06-concluding-remarks,Wendt,defines,praxis,p.154 / pdf 156,"Theory-informed practice; cyclical theory<->practice relation where the process matters as much as the result."
dfd-06-concluding-remarks,praxis,contests,academia-industry-dichotomy,p.154 / pdf 156,"Wendt-says: the walls between academia/industry and theory/practice are detrimental and counterintuitive; goals are wrapped up in one another."
dfd-06-concluding-remarks,Wendt,glosses,Dasein-care,p.154 / pdf 156,"Being-in as being-involved; care/concern carries over to how Dasein uses designed objects."
dfd-06-concluding-remarks,Dasein-care,applies-to-design,designing-for-care,p.154 / pdf 156,"Designers must always work around the care with which humans interact with their world."
dfd-06-concluding-remarks,Wendt,contests,user-personas,p.154-155 / pdf 156-157,"Personas decontextualize; a persona does not experience anything (humans do); they reinforce Cartesian dualism and represent detached understanding."
dfd-06-concluding-remarks,Wendt,qualifies,design-methods,p.155 / pdf 157,"Aim is not to replace old practices but to point out their limitations; how designers frame practices makes all the difference."
dfd-06-concluding-remarks,Wendt,defines,experience-design,p.155 / pdf 157,"Understanding systems of things and how humans experience them; experience design always has an object."
dfd-06-concluding-remarks,Wendt,glosses,present-at-hand-ready-to-hand-continuum,p.155-156 / pdf 157-158,"Heideggerian object-relations as a continuum, not exclusive categories; constant back-and-forth movement (keyboard example)."
dfd-06-concluding-remarks,present-at-hand-ready-to-hand-continuum,applies-to-design,invisibility-not-a-design-goal,p.156 / pdf 158,"Invisibility/intuition/readiness-to-hand cannot stand as design goals; judged good/bad only by context of use."
dfd-06-concluding-remarks,Wendt,cites,Don-Ihde,p.156 / pdf 158,"Four relations (embodied, hermeneutic, alterity, background) none qualitatively superior; later the telescope figure for concealment/unconcealment."
dfd-06-concluding-remarks,Wendt,defines,multistability,p.156 / pdf 158,"Human-technology relationship is multistable; creative misuse beats the clearest affordances."
dfd-06-concluding-remarks,multistability,applies-to-design,usability-testing-as-observing-coping,p.156 / pdf 158,"Reframes usability testing from removing un-intuitive features to observing users' coping strategies as core insights."
dfd-06-concluding-remarks,Wendt,defines,problem-solution-paradox,p.156-157 / pdf 158-159,"Named the hermeneutic circle of design; parts to whole and whole to parts; calls for fluid play."
dfd-06-concluding-remarks,problem-solution-paradox,contests,waterfall-development,p.157 / pdf 159,"Waterfall's hyper-linear positivism (gather-plan-execute) mirrors the Cartesian split and leaves no room to adapt."
dfd-06-concluding-remarks,Wendt,cites,Henk-Oosterling,p.157 / pdf 159,"Design as an 'un-throwing': humans design to take an active part in the world."
dfd-06-concluding-remarks,Wendt,applies-to-design,maintain-specialization-for-care,p.158 / pdf 160,"Care erodes when spread thinly; complex projects need maintained specialization so designers sustain concern."
dfd-06-concluding-remarks,Wendt,concedes,phenomenology-not-revolutionary,p.158 / pdf 160,"Nothing in the book is revolutionary; phenomenology explains/augments current practices rather than supplying new ones."
dfd-06-concluding-remarks,Wendt,glosses,abductive-gesture,p.158 / pdf 160,"Design pushes into the future, using knowledge of the past via abduction; analytical and creative thinking with equal importance."
dfd-06-concluding-remarks,Wendt,defines,familiarization-de-familiarization,p.158-159 / pdf 160-161,"Key design movement enacted in ethnographic research that disturbs hyper-familiar bias (terminal-patient caregiver example)."
dfd-06-concluding-remarks,Wendt,defines,concealment-unconcealment,p.158-159 / pdf 160-161,"Macro/micro foreground-background movement in diagramming; the designer decides when to conceal and unconceal."
dfd-06-concluding-remarks,Wendt,applies-to-design,humans-exist-in-context,p.160 / pdf 162,"Statement 1: use documents (personas, diagrams) as thinking aids not deliverables; real value is understanding from thinking through the object."
dfd-06-concluding-remarks,Wendt,applies-to-design,thinking-does-not-precede-action,p.160-161 / pdf 162-163,"Statement 2: new end-goals emerge in use; praxis generates theory through practical outputs (swim-lesson example)."
dfd-06-concluding-remarks,Wendt,applies-to-design,intention-not-primary,p.161-162 / pdf 163-164,"Statement 3: subordinate intent to adaptability; launch is a step toward understanding; design with multistability for serendipity."
dfd-06-concluding-remarks,Wendt,cites,Peter-Paul-Verbeek,p.162 / pdf 164,"Theory of mediation: users adopt devices as interpretive objects; objects affect users as much as users affect objects."
dfd-06-concluding-remarks,technological-objects,mediates,user-world-relationship,p.162-163 / pdf 164-165,"Wendt-says (via Verbeek): weapons/machines/devices mediate to the point the user literally changes (gun example)."
dfd-06-concluding-remarks,Wendt,cites,Bruno-Latour,p.163 / pdf 165,"Hotel-key example: the weighted keychain makes the return decision, disclosing the activity/agency of objects."
dfd-06-concluding-remarks,Latour-hotel-key,discloses,activity-of-objects,p.163 / pdf 165,"The keychain decides for the guest; objects have systemic effects long after the client's check is cashed."
dfd-06-concluding-remarks,objects-more-than-material,designs-for,preferable-worlds,p.163 / pdf 165,"Statement 4: experience designers advocate not only for users but for preferable worlds; resist persuasive design / dark patterns."
dfd-06-concluding-remarks,Wendt,cites,Klaus-Krippendorff,p.164 / pdf 166,"Product semantics: identify and optimize opportunities for creating meaning through interaction; shifts evaluation from functionality to meaning."
dfd-06-concluding-remarks,utility-does-not-trump-meaning,applies-to-design,design-with-meaning,p.163-164 / pdf 165-166,"Statement 5: products need not be functionally perfect; the meaning created in interaction is the ultimate concern; design with multistability."
dfd-06-concluding-remarks,phenomenological-design-thinking,co-evolves-with,actualization-of-desire-rhetorical-ontology,p.154-156 / pdf 156-158,"RO-hook (provenance: anticipatory-application): praxis-as-being-in-the-world + the ready-to-hand/present-at-hand continuum map onto the chain's embodied energeia and its disruption-to-deliberation hinge."
dfd-06-concluding-remarks,Wendt,defines,book-aim-base-of-knowledge,p.164-165 / pdf 166-167,"In Conclusion: establish a base of knowledge on phenomenological philosophy others can build on; not a grand narrative redefining experience design."
dfd-07-bibliography-notes,Thomas Wendt,cites,Heidegger 2008 (Being and Time),(p.148 / pdf 150),core ontological frame — Dasein/being-in-the-world for design
dfd-07-bibliography-notes,Thomas Wendt,cites,Heidegger 1982 (Question Concerning Technology),(p.142 / pdf 144),enframing/technology critique most-cited Heidegger essay in notes
dfd-07-bibliography-notes,Thomas Wendt,cites,Heidegger 1988 (Basic Problems of Phenomenology),(p.144 / pdf 146),productive comportment and equipment ontology
dfd-07-bibliography-notes,Thomas Wendt,cites,Heidegger 2001 (Poetry Language Thought),(p.146 / pdf 148),"the thing" and dwelling for object/world analysis
dfd-07-bibliography-notes,Thomas Wendt,cites,Heidegger 1976 (What Is Called Thinking?),(p.134 / pdf 136),thinking-vs-making contrast (Mitcham counterpoint)
dfd-07-bibliography-notes,Thomas Wendt,cites,Heidegger 1977 (Building Dwelling Thinking),(p.140 / pdf 142),dwelling as ground for design comportment
dfd-07-bibliography-notes,Thomas Wendt,cites,Krippendorff 2004 (The Semantic Turn),(p.193 / pdf 195),anchor for design = making sense of things; most-cited design source
dfd-07-bibliography-notes,Thomas Wendt,cites,Krippendorff 1989 (Design is making sense of things),(p.190 / pdf 192),semantic foundation of design meaning
dfd-07-bibliography-notes,Thomas Wendt,cites,Cross 2011 (Design Thinking),(p.45 / pdf 47),designerly cognition / how designers think
dfd-07-bibliography-notes,Thomas Wendt,cites,Cross 2006 (Designerly Ways of Knowing),(p.44 / pdf 46),epistemology of design practice
dfd-07-bibliography-notes,Thomas Wendt,cites,Rittel and Webber 1973 (Dilemmas / wicked problems),(p.266 / pdf 268),wicked-problems basis for design-thinking thread
dfd-07-bibliography-notes,Thomas Wendt,cites,Buchanan 1995 (Rhetoric Humanism and Design),(p.36 / pdf 38),rhetorical/humanist framing of design
dfd-07-bibliography-notes,Thomas Wendt,cites,Buchanan 1992 (Wicked Problems in Design Thinking),(p.34 / pdf 36),wicked-problems in design thinking
dfd-07-bibliography-notes,Thomas Wendt,cites,Verbeek 2005b (What Things Do),(p.312 / pdf 314),core post-phenomenology of technological mediation
dfd-07-bibliography-notes,Thomas Wendt,cites,Verbeek 2005a (Artifacts and Attachment),(p.308 / pdf 310),mediation/attachment philosophy
dfd-07-bibliography-notes,Thomas Wendt,cites,Verbeek 2008 (Cyborg Intentionality),(p.318 / pdf 320),human-technology relations / intentionality
dfd-07-bibliography-notes,Thomas Wendt,cites,Verbeek and Kockelkoren 1998 (The Things That Matter),(p.306 / pdf 308),things that matter — mediation lineage
dfd-07-bibliography-notes,Thomas Wendt,cites,Ihde 1990 (Technology and the Lifeworld),(p.153 / pdf 155),foundational post-phenomenology of technics
dfd-07-bibliography-notes,Thomas Wendt,cites,Ihde 2008 (The Designer Fallacy),(p.156 / pdf 158),designer-fallacy critique central to Wendt's anti-intentionalism
dfd-07-bibliography-notes,Thomas Wendt,cites,Ihde 2010 (Heidegger's Technologies),(p.165 / pdf 167),postphenomenological reading of Heidegger
dfd-07-bibliography-notes,Thomas Wendt,cites,Latour 1992 (Where Are the Missing Masses),(p.199 / pdf 201),agency of mundane artifacts (ANT)
dfd-07-bibliography-notes,Thomas Wendt,cites,Latour 2008 (A Cautious Prometheus),(p.208 / pdf 210),Latour's steps toward a philosophy of design
dfd-07-bibliography-notes,Thomas Wendt,cites,Latour 1994 (On Technical Mediation),(p.206 / pdf 208),technical mediation / delegation
dfd-07-bibliography-notes,Thomas Wendt,cites,Dourish 2004 (Where the Action Is),(p.56 / pdf 58),embodied interaction grounding for HCI
dfd-07-bibliography-notes,Thomas Wendt,cites,Dourish 2001 (Foundation for Context-Aware Computing),(p.54 / pdf 56),context-aware computing critique
dfd-07-bibliography-notes,Thomas Wendt,cites,Dreyfus 1991 (Being-in-the-World),(p.68 / pdf 70),authoritative BT commentary used throughout
dfd-07-bibliography-notes,Thomas Wendt,cites,Dreyfus 2007 (Why Heideggerian AI Failed),(p.72 / pdf 74),embodied-coping critique of representational AI
dfd-07-bibliography-notes,Thomas Wendt,cites,Dreyfus 1992 (What Computers Still Can't Do),(p.70 / pdf 72),critique of artificial reason
dfd-07-bibliography-notes,Thomas Wendt,cites,Harman 2011 (The Quadruple Object),(p.123 / pdf 125),object-oriented ontology pairing
dfd-07-bibliography-notes,Thomas Wendt,cites,Harman 2013 (Tool-Being),(p.126 / pdf 128),Heidegger's tool-analysis as metaphysics of objects
dfd-07-bibliography-notes,Thomas Wendt,cites,Merleau-Ponty 1962 (Phenomenology of Perception),(p.236 / pdf 238),embodied perception / the lived body
dfd-07-bibliography-notes,Thomas Wendt,cites,Mitcham 2001 (Dasein versus Design),(p.233 / pdf 235),direct interlocutor — making-into-thinking problematic
dfd-07-bibliography-notes,Thomas Wendt,cites,Flusser 2013 (The Shape of Things),(p.86 / pdf 88),philosophy of design / projection
dfd-07-bibliography-notes,Thomas Wendt,cites,Bonsiepe 1999 (Interface: An Approach to Design),(p.19 / pdf 21),interface-as-design and projection in late notes
dfd-07-bibliography-notes,Thomas Wendt,cites,Schon 1983 (The Reflective Practitioner),(p.274 / pdf 276),reflection-in-action model of design practice
dfd-07-bibliography-notes,Thomas Wendt,cites,Dorst 2006 (Design Problems and Design Paradoxes),(p.52 / pdf 54),problem-framing/paradox in design process
dfd-07-bibliography-notes,Thomas Wendt,cites,Simon 1969 (The Sciences of the Artificial),(p.279 / pdf 281),classic design-as-science reference (contrast point)
dfd-07-bibliography-notes,Thomas Wendt,cites,Barthes 1971 (From Work to Text),(p.12 / pdf 14),death-of-author basis for anti-intentionalist design
dfd-07-bibliography-notes,Thomas Wendt,cites,Foucault 1979 (What Is an Author),(p.102 / pdf 104),authorship critique paired with Barthes
dfd-07-bibliography-notes,Thomas Wendt,cites,Wimsatt and Beardsley 1946 (The Intentional Fallacy),(p.362 / pdf 364),intentional-fallacy grounding for designer-fallacy
dfd-07-bibliography-notes,Thomas Wendt,cites,Beckett 1995 (Three Novels),(p.17 / pdf 19),recurring literary touchstone in opening notes
dfd-07-bibliography-notes,Thomas Wendt,cites,Gadamer 2004 (Truth and Method),(p.115 / pdf 117),hermeneutics / interpretation in use
dfd-07-bibliography-notes,Thomas Wendt,cites,Gibson 1986 (Ecological Approach to Visual Perception),(p.119 / pdf 121),affordances / ecological perception
dfd-07-bibliography-notes,Thomas Wendt,cites,Clark 1997 (Being There),(p.39 / pdf 41),extended/embodied mind for design cognition
dfd-07-bibliography-notes,Thomas Wendt,cites,Tonkinwise 2008 (Knowing by Being-There Making),(p.297 / pdf 299),tacit post-subject in use — design-phenomenology ally
dfd-07-bibliography-notes,Thomas Wendt,cites,Oosterling 2009 (Dasein as Design),(p.260 / pdf 262),title-resonant interlocutor — design and world-saving
dfd-07-bibliography-notes,Thomas Wendt,cites,Saussure 2011 (Course in General Linguistics),(p.272 / pdf 274),sign/system reference for meaning in design
dfd-07-bibliography-notes,Thomas Wendt,cites,Wendt 2014b (Designing for Transparency),(p.357 / pdf 359),author self-citation on interface transparency myth
