source,target,relation,edge_domain,units,note
Selfhood,Kant-I-think,contrasts_with,ontological,BT-D2-U3,"Existential Selfhood contrasts with Kant's 'I think' (§64, H.318–321)."
Sight,Understanding,depends_on,existentiale-structural,BT-D1-U5,"All sight is grounded in understanding (§31, H.146–147)."
Sign,Reference,operationalizes,ontological,BT-D1-U2,"Signs make the referential structure explicitly accessible (§17, H.77–83)."
Sign,Worldhood,operationalizes,ontological,BT-D1-U2,"Signs indicate the ontological structure of worldhood (§17, H.80)."
Significance,Involvement,presupposes,existentiale-structural,BT-D1-U2,"Significance is constituted by the interconnection of involvements (§18, H.87)."
Significance,Understanding,depends_on,existential,BT-D1-U2,"Significance is disclosed in understanding (§18, H.87)."
Significance,Worldhood,is_meaning_of,existentiale-structural,BT-D1-U2,"Significance is the formal existential determination of worldhood (§18, H.87)."
Situation,Resoluteness,depends_on,existential,BT-D2-U2,"The Situation exists in and through resoluteness (§60, H.299–300)."
Solicitude,Being-with,operationalizes,existential,BT-D1-U4,"Solicitude is the existential mode of Being toward Others (§26, H.121)."
Solicitude,Concern,contrasts_with,existential,BT-D1-U4,"Solicitude (toward Others) vs. concern (toward equipment) (§26, H.121)."
Space,World,depends_on,ontological,BT-D1-U4,"Space is 'in' the world as disclosed by Being-in-the-world (§24, H.112–113)."
Spannedness,Stretching-along,refines,temporal,BT-D2-U6,Spannedness refines stretching-along for within-time-ness (§79).
Spatiality,Temporality,depends_on,existentiale-structural,BT-D2-U4,Dasein's spatiality is possible only through temporality (§70).
State-of-mind,Disclosedness,operationalizes,existentiale-structural,BT-D1-U5,"State-of-mind constitutes the 'there' (§29, H.134)."
State-of-mind,Falling,supports,existential,BT-D1-U5,"State-of-mind is the kind of Being in which Dasein surrenders to the 'world' (§29, H.139–140)."
State-of-mind,Having-been,depends_on,temporal,BT-D2-U4,State-of-mind temporalizes primarily in having-been (§68b).
State-of-mind,Thrownness,explains,existential,BT-D1-U5,"State-of-mind discloses thrownness (§29, H.134–136)."
State-of-mind,Understanding,presupposes,existentiale-structural,BT-D1-U5,"Equiprimordial: state-of-mind always has its understanding (§28, H.133–134)."
Stretching-along,Care,depends_on,existentiale-structural,BT-D2-U5,"Stretching-along is possible on the basis of care (§72, H.374)."
Substantiality,Analogy-of-Being,depends_on,ontological,BT-D1-U3,"Equivocal 'substance' raises the problem of analogy of Being (§20, H.93–94)."
Substantiality,Presence-at-hand,presupposes,ontological,BT-D1-U3,"Substance as constant remaining presupposes Being as presence-at-hand (§21, H.95–96)."
Temporalitat,Meaning-of-Being,is_meaning_of,ontological,BT-D2-U6,Temporalitat is projected as the horizon for the meaning of Being (§83).
Temporality,Anticipatory-Resoluteness,explains,existentiale-structural,BT-D2-U3,"Temporality makes itself known in anticipatory resoluteness (§65, H.326)."
Temporality,Care,is_meaning_of,ontological,BT-D2-U3,"Temporality is the ontological meaning of care (§65, H.324–326)."
Temporality,Disclosedness,explains,temporal,BT-D2-U4,Each structural moment has its temporal constitution (§68).
Temporality,Ordinary-time-concept,contrasts_with,temporal,BT-D2-U3,"Temporality is not a sequence of nows (§65, H.329)."
Temporality-Temporalitat,Being,explains,temporal,BT-Intro-U2,"Temporalität is the horizon for the question of the meaning of Being in general (§5, H.19)."
Temporality-Zeitlichkeit,Care,is_meaning_of,temporal,BT-Intro-U2,"Zeitlichkeit is announced as the ontological meaning of care (§5, H.17–18)."
Theoretical-discovery,Circumspective-concern,refines,methodological,BT-D2-U4,Theory arises from a change-over in concern (§69b).
They-self,Authentic-Self,contrasts_with,existential,BT-D1-U4,"They-self vs. authentic Self (§27, H.129–130)."
They-self,Das-Man,depends_on,existential,BT-D1-U4,"The they-self is the Self dispersed into the 'they' (§27, H.129)."
Thrownness,Facticity,refines,existential,BT-D1-U5,"Thrownness is the facticity of being delivered over (§29, H.135)."
Time-reckoning,Concern,depends_on,existential,BT-D2-U6,Time-reckoning is grounded in concernful making-present (§§79–80).
Transcendence,Temporality,depends_on,ontological,BT-D2-U4,Transcendence is grounded in ecstatico-horizonal temporality (§69c).
Truth-as-adaequatio,Presence-at-hand,presupposes,ontological,BT-D1-U9,"Correspondence presupposes presence-at-hand (§44b, H.225)."
Truth-as-adaequatio,Truth-as-uncovering,depends_on,ontological,BT-D1-U9,"Correspondence is derivative of primordial truth (§44b, H.224–225)."
Truth-as-uncovering,Aletheia,refines,genealogical,BT-D1-U9,"Being-uncovering retrieves the Greek aletheia (§44b, H.219)."
Truth-as-uncovering,Disclosedness,depends_on,existentiale-structural,BT-D1-U9,"Being-uncovering is grounded in disclosedness (§44b, H.220–221)."
Uncanniness,Anxiety,depends_on,existential,BT-D1-U8,"Uncanniness is disclosed in anxiety (§40, H.188–189)."
Uncanniness,Conscience,explains,existential,BT-D2-U2,"The caller in conscience is Dasein in uncanniness (§57, H.276–277)."
Understanding,Disclosedness,operationalizes,existentiale-structural,BT-D1-U5,"Understanding is equiprimordial in constituting the 'there' (§31, H.142–143)."
Understanding,Future,depends_on,temporal,BT-D2-U4,Understanding is primarily futural (§68a).
Understanding,Potentiality-for-Being,is_meaning_of,existentiale-structural,BT-D1-U5,"Understanding IS potentiality-for-Being (§31, H.143)."
Understanding,State-of-mind,presupposes,existentiale-structural,BT-D1-U5,"Understanding always has its mood (§31, H.144)."
Uneigentlichkeit,Jemeinigkeit,depends_on,existential,BT-D1-U1,"Inauthenticity is grounded in mineness (§9, H.43)."
Untruth,Disclosedness,contrasts_with,existential,BT-D1-U9,"Truth and untruth are equiprimordial (§44b, H.222)."
Untruth,Falling,depends_on,existential,BT-D1-U9,"Dasein is in untruth because of essential falling (§44b, H.222)."
Value-predicates,Presence-at-hand,presupposes,ontological,BT-D1-U3,"Values would themselves be present-at-hand (§21, H.99)."
Willing,Care,depends_on,existentiale-structural,BT-D1-U8,"Willing presupposes care (§41, H.194–195)."
Wishing,Care,depends_on,existentiale-structural,BT-D1-U8,"Wishing is a modification of care (§41, H.195)."
Within-time-ness,Temporality,depends_on,temporal,BT-D2-U3; BT-D2-U6,"Within-time-ness is derivative from primordial temporality (§66, H.333). | Within-time-ness is derivative of temporality (§§78–80)."
World-historical,Historicality,depends_on,ontological,BT-D2-U5,"World-historical entities are secondarily historical (§§73, 75)."
World-time,Temporality,depends_on,temporal,BT-D2-U6,World-time arises from the temporalizing of temporality (§80).
Worldhood,Being-in-the-world,depends_on,existentiale-structural,BT-D1-U2,"Worldhood is a constitutive moment of Being-in-the-world (§14, H.64–65)."
Worldhood,Presence-at-hand,contrasts_with,ontological,BT-D1-U2,"Worldhood is existential; presence-at-hand is categorial (§18, H.88)."
