source,relation,edge_domain,target,note,contributors,unit_pages
CONCEPT:Enthymeme,operationalizes,rhetorical,CONCEPT:Call of Conscience,"Hyde reads enthymeisthai dually — 'taking something to heart' (sich etwas zu Herzen nehmen, GA 18 128) AND 'giving consideration.' Dual structure operationalizes the call of conscience",HR-04-HYDE,p.89-90;p.91
HEIDEGGER-LOCUS:GA18.169,presupposes,ontological,CONCEPT:Logos,"GA 18 169: enthymematic-rhetorical practice is 'den Boden des logos selbst' (the ground and soil of the logos itself). Heidegger explicitly grounds logos in rhetoric — Hyde's strongest GA 18 anchor",HR-04-HYDE,p.89;p.95
POSITION:HR-04-HYDE-P1,supports,rhetorical,POSITION:HR-01-GROSS-B-P1,"Hyde's epideictic-conscience thesis supports Gross's broader pathos-as-substrate thesis. Hyde specifies rhetorical register; Gross frames genealogical-ontological register",HR-04-HYDE,p.83;p.85;p.88
POSITION:HR-04-HYDE-P2,supports,ontological,POSITION:HR-05-STRUEVER-P2,"Hyde's reading of pathē as restructuring existential temporality/spatiality supports Struever's broader Alltäglichkeit-as-timefulness thesis",HR-04-HYDE,p.86-88;p.93
POSITION:HR-04-HYDE-P6,contrasts_with,ontological,POSITION:HR-07-POGGELER-P1,"Hyde's continuity-with-late-critical-pivot thesis contrasts with Pöggeler's restriction thesis. Hyde acknowledges late turn from rhetoric to poetry but reads as missed opportunity; Pöggeler reads as decisive abandonment",HR-04-HYDE,p.96;p.99
POSITION:HR-04-HYDE-P1,refines,rhetorical,BCAP-LOCUS:GA18.S13-14,"Hyde's epideictic emphasis REFINES BCAP unit U-FP3a reading of GA 18 §§13-14 (which centers deliberative rhetoric). Productive cross-pipeline tension VT10",HR-04-HYDE,p.94;p.95
HEIDEGGER-LOCUS:BT.H342,presupposes,existential,HEIDEGGER-LOCUS:BT.H232,"BT 342 (anxiety of conscience) presupposes BT 232 ('Anxiety makes manifest in Dasein its Being towards its ownmost potentiality-for-Being'). Anxiety and conscience 'go hand in hand'",HR-04-HYDE,p.93
INTERLOCUTOR:Cicero,supports,political,POSITION:HR-04-HYDE-P7,"Cicero's tradition (De oratore, Orator, De officiis) supports Hyde's claim that Heidegger's later turn from rhetoric correlates with moral-rhetorical failure",HR-04-HYDE,p.97-99
CONCEPT:Showing-Forth,contrasts_with,ontological,CONCEPT:Call of Being,"Late Heidegger's call of Being is associated with poiesis (bringing-forth) rather than epideixis (showing-forth). Heidegger 'never considers' the difference",HR-04-HYDE,p.96;p.99
CONCEPT:Hermeneutic Violence,exemplifies,methodological,CONCEPT:Call of Conscience,"Per Gadamer (Heidegger's Ways 33): Heidegger's 'violent appropriation' of Aristotle is itself analogous to call of conscience — both interrupt complacent everyday interpretations",HR-04-HYDE,p.81-82;p.83;p.95
CONCEPT:Doxa,is_meaning_of,ontological,CONCEPT:Mitsein,"Per GA 18 149: 'Die doxa ist die eigentliche Entdecktheit des Miteinanderseins-in-der-Welt.' Doxa as authentic discoveredness of being-with-one-another",HR-04-HYDE,p.85
POSITION:HR-04-HYDE-P3,supports,ethical,POSITION:HR-02-GADAMER-P-1923NEseminar,"Hyde's phronesis = Gewissen identity is corroborated by Gadamer's testimony in volume's Ch 2 interview about 1923 NE seminar. Direct intra-volume cross-citation",HR-04-HYDE,p.81;p.91
ARISTOTLE-LOCUS:NE.1141b8,operationalizes,ethical,HEIDEGGER-LOCUS:BT.H289,"Aristotle NE VI 1141b8-11 (phronesis as deliberation about the human-deliberable) is operationalized by Heidegger's existentialia of conscience (BT §55, H.289)",HR-04-HYDE,p.91
INTERLOCUTOR:Plato,contrasts_with,rhetorical,INTERLOCUTOR:Aristotle,"Plato's Gorgias-Phaedrus-Sophist anti-rhetoric position is contrasted with Aristotle's pro-rhetoric clarification. Heidegger reads Aristotle in this regard, not Plato",HR-04-HYDE,p.84
CONCEPT:Alltäglichkeit as Timefulness,is_meaning_of,ontological,CONCEPT:Miteinandersein / Miteinandersprechen,"BT 178 epigraph identification: Alltäglichkeit is the primary qualification of Miteinandersein. Struever's titular reading: timefulness, not ordinariness",HR-05-STRUEVER,p.105;p.113-114
CONCEPT:Alltäglichkeit as Timefulness,presupposes,temporal,CONCEPT:Kinēsis,"If life is motion (kinesis) and motion is time, then Alltäglichkeit (life's daily mode) is intrinsically timeful — Aristotelian Physics III feeds BT temporality via SS 1924",HR-05-STRUEVER,p.108;p.117
CONCEPT:Rhetoric as Dynamis,presupposes,rhetorical,CONCEPT:Rhetoric Inside Politics (innerhalb der politikē),"Rhetoric as dynamis (not technē) requires its non-autonomous status; rhetoric exists 'innerhalb der politikē' (GA 18 134) precisely because it is a potential, not a technē with its own domain",HR-05-STRUEVER,p.106;p.108;p.118
CONCEPT:Pathē as Befindlichkeiten,operationalizes,ontological,CONCEPT:Kinēsis,"Passions are 'capacity for change, Veränderlichkeit of Being' (GA 18 287/167) — pathē are how kinesis operates at the social-disposition level. SS 1924's syllogism: 'If life, then motion, kinēsis. If motion, then time'",HR-05-STRUEVER,p.108-109
CONCEPT:Hexis as Wie des Pathos,is_meaning_of,ethical,CONCEPT:Pathē as Befindlichkeiten,"GA 18 184: hexis is 'a Wie des pathos' — habit is a mode of being-passible. Hexis brings the time-dimension (acquired & lost) to pathē as social dispositions",HR-05-STRUEVER,p.111-112
CONCEPT:Kairos / Meson / Jeweiligkeit,refines,ethical,CONCEPT:Hexis as Wie des Pathos,"Meson für die praxis ist der kairos (GA 18 144); meson defined as Jeweiligkeit, not as geometric mean. Hexis is dispositional ground that makes kairos-grasp possible",HR-05-STRUEVER,p.111
CONCEPT:Doxa / Endoxa / Topoi,operationalizes,rhetorical,CONCEPT:Alltäglichkeit as Timefulness,"GA 18 138: 'Die doxa ist die Weise, in der wir das Leben in seiner Alltäglichkeit da haben.' Doxa is the way Alltäglichkeit is operative in discourse",HR-05-STRUEVER,p.107
CONCEPT:Antifoundationalism (Mind Not Pure),supports,ontological,CONCEPT:Alltäglichkeit as Timefulness,"GA 18 199, 202: 'Das noein ist kein reines'; imagination as Boden of noein. Continuous motion implies continuous impurity — impurity supports timefulness",HR-05-STRUEVER,p.113
CONCEPT:Hearing > Speaking (Politics of Hearing),operationalizes,rhetorical,CONCEPT:Rhetoric Inside Politics,"GA 18 104, 123: hearing-as-eigentliche-aisthesis; the hearer defines the speaker's task. 'Hearer relations writ large are politics'",HR-05-STRUEVER,p.114
CONCEPT:Manifold Temporality,presupposes,temporal,CONCEPT:Alltäglichkeit as Timefulness,"Per Blattner via Struever: BT's manifold-temporality has its source in SS 1924's account of temporality within the political parameters of the Rhetoric",HR-05-STRUEVER,p.119-120
CONCEPT:Pollakis (Frequency),refines,temporal,CONCEPT:Kairos / Meson / Jeweiligkeit,"GA 18 194: 'Die Zeitcharakter der ēthikē liegt in pollakis' — frequency, not duration, characterizes ethics; coheres with kairos as moment-of-action",HR-05-STRUEVER,p.111
CONCEPT:Antistrophē / Paraphyes,exemplifies,rhetorical,CONCEPT:Rhetoric as Dynamis,"Rhetoric as offshoot (paraphyes) of dialectic and ethics shows its derivative-yet-investigative character — capacity-as-secondary, not technē-as-primary",HR-05-STRUEVER,p.117
CONCEPT:Politics First / Political Manifold,is_meaning_of,political,CONCEPT:Manifold Temporality,"Politics is itself a manifold: 'no pure present, no unmotivated future, no isolated past.' The political manifold IS the temporal manifold's social form",HR-05-STRUEVER,p.121;p.123
CONCEPT:Authenticity via Rhetoric,depends_on,rhetorical,CONCEPT:Politics First,"'Rhetoric gives us the means for and the analysis of authenticity. And there is no part of the political that does not manifest the constraints of time'",HR-05-STRUEVER,p.124
CONCEPT:Rhetoric Colonizes Being and Time,presupposes,hermeneutic,CONCEPT:Rhetoric as Dynamis,"Rhetoric can colonize BT only because it is a *potentiality* (not a complete Wissen) — its time-fraughtness is what equips it to be the genetic source of BT's existential-temporal program",HR-05-STRUEVER,p.117;p.126
POSITION:HR-05-STRUEVER-P8,supports,rhetorical,POSITION:HR-01-GROSS-A-P1,"Struever's continuity thesis (rhetoric colonizes BT) directly supports Gross's titular framing. Both essays share GA 18 110 + BT 178 epigraphs",HR-05-STRUEVER,p.117;p.126
POSITION:HR-05-STRUEVER-P8,contrasts_with,hermeneutic,POSITION:HR-07-POGGELER-P1,"VT1: Struever's continuity thesis opposes Pöggeler's restricted-conception thesis. Both cite GA 18 but read trajectory diametrically",HR-05-STRUEVER,p.117;p.126
POSITION:HR-05-STRUEVER-P9,supports,political,POSITION:HR-06-KISIEL-P1,"Struever's politics-of-time reading aligns with Kisiel's rhetorical-protopolitics. Both treat SS 1924 as politically pivotal; both name Arendt as Heidegger's political-philosophical heir",HR-05-STRUEVER,p.124
POSITION:HR-05-STRUEVER-P3,refines,rhetorical,POSITION:HR-02-GADAMER-P2,"Both Struever and Gadamer agree rhetoric is dynamis, not technē. Struever specifies dynamis tou theoresai (Rhet. 1355b26 / GA 18 122) — narrowing Gadamer's broader claim",HR-05-STRUEVER,p.108
HEIDEGGER-LOCUS:GA18.110,is_meaning_of,hermeneutic,HEIDEGGER-LOCUS:BT.178,"GA 18 110 (Struever epigraph 1) is SS 1924 source of BT 178 (Struever epigraph 2). Continuity is identification, not analogy",HR-05-STRUEVER,p.105
HEIDEGGER-LOCUS:BT.178,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.1355b26,"BT 178's claim operationalizes Aristotle's Rhet. 1355b26 (rhetoric as dynamis tou theoresai) — through GA 18 122",HR-05-STRUEVER,p.108;p.115
HEIDEGGER-LOCUS:GA18.286,operationalizes,ontological,ARISTOTLE-LOCUS:Phys.200b12,"GA 18 286 ('If life, then motion, kinēsis...') operationalizes Physics 200b12 (archē kinēseōs kai metabolēs)",HR-05-STRUEVER,p.106;p.108
HEIDEGGER-LOCUS:GA18.207,presupposes,ontological,ARISTOTLE-LOCUS:DeMA,"GA 18 207–219 intricates Aristotle's biological texts (De motu animalium, De partibus animalium) with the Rhetoric. UNIQUE to this volume",HR-05-STRUEVER,p.106;p.122
HEIDEGGER-LOCUS:GA18.232,presupposes,existential,HEIDEGGER-LOCUS:BT.§29,"GA 18 232 ('passions are not Wissen but Befindlichkeiten, dispositions') is the genetic source of BT §29 (Befindlichkeit)",HR-05-STRUEVER,p.109
HEIDEGGER-LOCUS:GA18.123,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.1358b1,"GA 18 123 ('Sprechen sein telos hat beim Hörer') operationalizes Rhet. 1358b1 (primacy of hearer in determining rhetorical telos)",HR-05-STRUEVER,p.114
HEIDEGGER-LOCUS:GA18.246,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.1382a20,"GA 18 246–263 operationalizes Aristotle's Rhet. 1382a20-22 (fear) and 1383a6-8 (one does not deliberate about hopeless things). Phobos's tense, voice, and mode reading",HR-05-STRUEVER,p.109
HEIDEGGER-LOCUS:GA18.144,refines,ethical,ARISTOTLE-LOCUS:NE.1106a26,"GA 18 144 ('meson für die praxis ist der kairos') refines Aristotle's NE 1106a26f. Heidegger shifts meson from medical/geometric to kairos-as-Jeweiligkeit",HR-05-STRUEVER,p.111
HEIDEGGER-LOCUS:GA18.184,refines,ethical,ARISTOTLE-LOCUS:NE.II,"GA 18 184-185 (hexis as Grundbestimmung of aretē; hexis as Wie des pathos) refines NE II's account of hexis. Heidegger reads Aristotelian hexis as dynamis (Gefasstsein), timebound and lossable",HR-05-STRUEVER,p.111
HEIDEGGER-LOCUS:GA18.134,contrasts_with,rhetorical,HEIDEGGER-LOCUS:GA18.127,"GA 18 134 ('Rhetorik steht innerhalb der politikē') vs. GA 18 127 ('Die Ethik gehört in die Politik'): rhetoric is intrinsic to politics; ethics merely belongs. Section II.4 'Politics First'",HR-05-STRUEVER,p.106;p.123
HEIDEGGER-LOCUS:GA20.264,presupposes,hermeneutic,HEIDEGGER-LOCUS:GA18.110,"GA 20 (SS 1925) defines rhetoric as 'first part of logic, rightly understood' — diffuse echo of GA 18 110's identification. Continuity into 1925",HR-05-STRUEVER,p.122
INTERLOCUTOR:Blattner,explains,temporal,CONCEPT:Manifold Temporality,"Blattner's Heidegger's Temporal Idealism is Struever's main interlocutor for manifold-temporality reading of BT (13 citations in notes)",HR-05-STRUEVER,p.119-120
INTERLOCUTOR:Aubenque,explains,rhetorical,CONCEPT:Rhetoric as Dynamis,"Aubenque's reading of Rhetoric as 'fully rhetorized psychology' / 'practical anthropology' supplies Struever's framework for rhetoric-as-life-science",HR-05-STRUEVER,p.106;p.116
INTERLOCUTOR:Hobbes,exemplifies,ontological,CONCEPT:Pathē as Befindlichkeiten,"Hobbes (per Heidegger and Dumouchel) defines passions as intrinsically social, interpersonal — anticipates Heidegger's Sichverhalten reading",HR-05-STRUEVER,p.113
INTERLOCUTOR:Dilthey,historicizes,philological,CONCEPT:Alltäglichkeit as Timefulness,"Dilthey's realist temporality (Innewerden, not Vorstellen) historicizes Heidegger's anti-Kantian timefulness",HR-05-STRUEVER,p.116;p.121-122
INTERLOCUTOR:Arendt,supports,political,POSITION:HR-05-STRUEVER-P9,"'A Heideggerian politics of time appears, even if briefly, in SS 1924 — a politics perhaps hypothesized by Arendt in her early fascination with Heidegger'",HR-05-STRUEVER,p.124
POSITION:HR-05-STRUEVER-P4,supports,ontological,POSITION:HR-01-GROSS-B-P5,"Struever's reading of pathē as 'Befindlichkeiten oriented to others' supports Gross's pathos-as-substrate genealogy. Both reject the cabinet-of-consciousness model",HR-05-STRUEVER,p.109;p.113-114
CONCEPT:Rhetorical Protopolitics,presupposes,rhetorical,CONCEPT:Rhetoric as Dynamis,"Kisiel's protopolitical reading PRESUPPOSES rhetoric is dynamis (capacity for situational insight), not technē (sophist's art of persuasion)",HR-06-KISIEL,p.146
CONCEPT:Rhetorical Protopolitics,is_meaning_of,rhetorical,CONCEPT:Verständigung,"Rhetorical protopolitics IS the rudimentary speech-community whose telos is Verständigung (= hermeneia, coming-to-an-understanding-agreement); GA 18 45f, 122f, 241",HR-06-KISIEL,p.132
CONCEPT:Equiprimordial Modes of Persuasion (Pisteis),operationalizes,ontological,CONCEPT:Pistis Equiprimordial with Aletheia,"Three pisteis (pathos/ethos/logos) operationalize the equiprimordiality of pistis with aletheia at speech-situation level; GA 18 165 ('ethos and pathos are constitutive for legein itself')",HR-06-KISIEL,p.144-145
CONCEPT:Das Man,contrasts_with,rhetorical,CONCEPT:Authentic Doxa,"Leveling das Man (= inauthentic doxa of cliché/catchphrase) contrasts with authentic doxa (= 'authentic discoveredness of being-with-one-another')",HR-06-KISIEL,p.147-148
CONCEPT:Communication and Struggle (Mitteilung und Kampf),undermines,existential,CONCEPT:Das Man,"SZ 384's pair 'communication and struggle' is the path OUT of leveling Anyone; two rhetorical dimensions lifting Dasein into authentic historical happening",HR-06-KISIEL,p.142
CONCEPT:Phronesis as Rhetorical-Political Virtue,operationalizes,ethical,CONCEPT:Ethos Translated into Entschlossenheit,"Phronesis as receptive response to call of conscience operationalizes the translation of Aristotelian ethos into Heideggerian Entschlossenheit; speaker's resoluteness brings others to same resolution = kairos (GA 18 171)",HR-06-KISIEL,p.146
CONCEPT:Phronesis as Rhetorical-Political Virtue,exemplifies,political,CONCEPT:Metontological Polis,"Heidegger's 1933-34 'will of leader' conditioned 'wholly in terms of Aristotle's political virtue, phronesis' — phronesis as 'will deliberatively grasps the situation in the fullness of its time, in it the kairos is at work.' Phronetic miscalculation",HR-06-KISIEL,p.150
CONCEPT:Metontological Polis,is_meaning_of,political,CONCEPT:Führerstaat,"Metontological polis = Führerstaat: two basic existentials (people + state), Führer principle, guardians (Hüter), three-level service. Plato's Republic as basic text",HR-06-KISIEL,p.149-151
CONCEPT:Metontological Polis,historicizes,political,CONCEPT:Archaic-Poietic Polis (Polemos),"Heidegger's growing disenchantment with Führer-state historicizes the metontological polis into the archaic-poietic polemos-polis; 1935+ poets/thinkers/statesmen polis succeeds 1933-35 Führer-state",HR-06-KISIEL,p.151
CONCEPT:Archaic-Poietic Polis,operationalizes,political,CONCEPT:Polemos as Fundamental Conversation,"Polemos as combative-conversation operationalizes the archaic-poietic polis: 'Conversation here is not communication, but the fundamental happening of radical exposure' (GA 53 102)",HR-06-KISIEL,p.152
CONCEPT:Antigone as Hypsipolis Apolis,exemplifies,political,CONCEPT:Archaic-Poietic Polis,"Sophocles' Antigone glossed as hypsipolis apolis (lofty-city/no-city) exemplifies the archaic-poietic polis-vocation. Schlageter/Hölderlin/Nietzsche/van Gogh share this fate",HR-06-KISIEL,p.151-152
CONCEPT:Mitwelt as Space of Plurality and Natality,operationalizes,political,CONCEPT:Doxa as Space of Appearance,"Arendt's radicalized Mitwelt operationalizes as the public space of doxa (dokein in twofold sense: opinion AND splendor/fame). The 'space of appearance' is where 'I go public'",HR-06-KISIEL,p.154-155
CONCEPT:Doxa as Space of Appearance,refines,rhetorical,CONCEPT:Equiprimordial Modes of Persuasion,"Arendt's twofold doxa (Ansicht / Ansehen) refines the Aristotelian rhetorical speech-situation: doxic content of speech + ethos of speaker before judgment",HR-06-KISIEL,p.155
CONCEPT:Enlarged Mentality / Sensus Communis,refines,ethical,CONCEPT:Phronesis as Rhetorical-Political Virtue,"Kant's 'enlarged mentality' (Critique of Judgment §40) refines Aristotelian phronesis as cosmopolitan-judgmental ability. Converges with Aristotle's phronesis kai arete kai eunoia (Rhet. 2.1, 1378a10)",HR-06-KISIEL,p.157
CONCEPT:Bodenständigkeit (Autochthony),supports,political,CONCEPT:Metontological Polis,"Heidegger's Folk-and-Earth autochthony-myth supplies metontological polis with mythological ground; Arendt diagnoses as 'mechanical reconciliation of atomized selves'",HR-06-KISIEL,p.158
CONCEPT:Annus Terribilis 1923,historicizes,political,CONCEPT:Modern Dasein as Newspaper-Reader,"1923 historicizes figure of modern Dasein as newspaper-reader: postwar pulp media transmitting party-political speech 'from far and wide.' Context-dependent textuality replaces oral polis",HR-06-KISIEL,p.131-132
CONCEPT:Schlageter Epideictic,exemplifies,rhetorical,CONCEPT:Metontological Polis,"Heidegger's May 26, 1933 Schlageter speech (GA 16 759f) exemplifies rhetorical entry into metontological polis: epideictic celebration of 'hardest death' of native son",HR-06-KISIEL,p.135
HEIDEGGER-LOCUS:GA18.114,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.1355b25,"Heidegger's GA 18 114 ('rhetoric is first not art but power, dynamis') operationalizes Aristotle's Rhetoric I.2 — central rhetorical-ontological bridge",HR-06-KISIEL,p.146
HEIDEGGER-LOCUS:GA18.165,refines,ontological,ARISTOTLE-LOCUS:Rhet.1377b16,"GA 18 165 ('ethos and pathos are constitutive for legein itself') refines Aristotle's Rhetoric II three-pisteis-doctrine by reading three modes as equiprimordial-disclosive-of-being-in",HR-06-KISIEL,p.145
HEIDEGGER-LOCUS:SZ.298,supports,existential,HEIDEGGER-LOCUS:SZ.384,"SZ 298 ('authentic with-one-another arises from authentic self-being of resolute openness') supports SZ 384's path of 'communication and struggle'",HR-06-KISIEL,p.142
HEIDEGGER-LOCUS:SZ.122,operationalizes,ethical,CONCEPT:Leaping Ahead vs. Leaping In (Fürsorge),"SZ 122 (with SZ 298) operationalizes leaping-ahead-liberating vs. leaping-in-dominating distinction in Fürsorge",HR-06-KISIEL,p.146
HEIDEGGER-LOCUS:GA39.51,undermines,political,CONCEPT:Metontological Polis,"GA 39 51 ('These [Nazi] enthusiasts are now suddenly discovering the political everywhere... But the polis cannot be defined politically') undermines metontological polis from within Heidegger's WS 1934-35 lectures — Heidegger's self-critique",HR-06-KISIEL,p.152
HEIDEGGER-LOCUS:GA53.102,is_meaning_of,political,CONCEPT:Polemos as Fundamental Conversation,"GA 53 102 IS the definitional locus for polemos-as-conversation: 'Conversation here is not communication, but the fundamental happening of radical exposure in the thick of beings'",HR-06-KISIEL,p.152
INTERLOCUTOR:Hannah Arendt,refines,political,INTERLOCUTOR:Heidegger,"Arendt's Human Condition refines Heidegger's Mitwelt as space of plurality-and-natality; Aristotelian-Kantian convergence recovers protopolitical strand Heidegger abandoned in 1933",HR-06-KISIEL,p.153-158
INTERLOCUTOR:Hannah Arendt,undermines,political,CONCEPT:Bodenständigkeit (Autochthony),"Arendt's diagnosis of Heidegger's Folk-and-Earth mythologizing undermines metontological-polis ground; autochthony-myth is 'mechanical reconciliation of atomized selves'",HR-06-KISIEL,p.157-158
POSITION:HR-06-KISIEL-P2,contrasts_with,rhetorical,POSITION:HR-07-POGGELER-P1,"Kisiel's three-phase model (Phenomenological/Metontological/Archaic-Poietic) contrasts with Pöggeler's monolithic 'restricted conception' thesis: both contributors agree rhetoric is restricted to Phase 1, but Kisiel reads restriction as politically diagnostic, Pöggeler as architectural",HR-06-KISIEL,p.148-149
POSITION:HR-06-KISIEL-P3,refines,rhetorical,POSITION:HR-01-GROSS-B-P9,"Kisiel's phronesis-miscalculation thesis refines Gross's pathos-as-substrate genealogy by explaining HOW Heidegger came to mistake propaganda-pathos for civic-pathos: through Aristotelian phronesis applied to misread kairos",HR-06-KISIEL,p.149-151
POSITION:HR-06-KISIEL-P1,presupposes,rhetorical,POSITION:HR-02-GADAMER-P1,"Kisiel's protopolitical thesis presupposes Gadamer's dynamis-reading (Ch 2 p.49). Kisiel cites GA 18 114 to operationalize the same Aristotelian point",HR-06-KISIEL,p.146
POSITION:HR-06-KISIEL-P1,contrasts_with,rhetorical,POSITION:HR-04-HYDE-P1,"Kisiel's ethos = Entschlossenheit (deliberative-political register, SZ §60) contrasts with Hyde's ethos = Ruf des Gewissens (epideictic-existential register, SZ §§54-60). Both translate Aristotelian ethos into BT vocabulary",HR-06-KISIEL,p.146
POSITION:HR-06-KISIEL-P1,supports,rhetorical,POSITION:HR-05-STRUEVER-P1,"Kisiel's protopolitical reading supports Struever's rhetoric-as-life-science thesis: both treat rhetoric as politically and temporally indispensable, both anchor in GA 18 SS 1924, both share dynamis-not-techne reading",HR-06-KISIEL,p.132;p.146
POSITION:HR-06-KISIEL-P2,contrasts_with,political,POSITION:HR-07-POGGELER-P6,"Kisiel's archaic-poietic phase (1935-43, Sophocles Antigone, polemos) is same textual territory as Pöggeler's 'topology of being'; Kisiel reads it as Heidegger's exit from Führer-state misapplication, Pöggeler reads it as positive resolution",HR-06-KISIEL,p.151-153
CONCEPT:Topology of Being,supersedes,ontological,CONCEPT:Rhetoric,"Pöggeler's titular thesis: topology of being (post-1947) displaces rhetoric as Heidegger's organizing philosophical category",HR-07-POGGELER,p.161;p.162;p.163;p.172
CONCEPT:Topology of Being,contrasts_with,rhetorical,CONCEPT:Topoi as Guiding-Words (Leitworte),"Heidegger's Topologie is structurally distinct from Auerbach-Curtius rhetorical-literary topology; Dec 1958 letter disavows 'historical connotations.' Geviert is poetic-cosmic not rhetorical-argumentative",HR-07-POGGELER,p.162
CONCEPT:Discussion (Erörterung),is_meaning_of,methodological,CONCEPT:Topology of Being,"Heidegger's Erörterung is the practice of the Topologie: 'discussion (Erörterung) points to place (Ort); and place gathers in and permeates everything'",HR-07-POGGELER,p.161;p.171;p.172
CONCEPT:Discussion (Erörterung),presupposes,rhetorical,CONCEPT:Topoi as Guiding-Words (Leitworte),"Ebbinghaus's draft-letter: erörtern = 'to carry contemplation through prescribed places (Örter/loci)' — the German verb has Aristotelian topics-tradition as its hidden genealogy",HR-07-POGGELER,p.172
CONCEPT:Movement as Poiētikon and Pathētikon,operationalizes,ontological,CONCEPT:Restricted Conception of Rhetoric,"At close of GA 18 Heidegger asserts kinesis possesses both poietikon and pathetikon — conceptual track for BT's poiesis-emphasis. Pathos sidelined into Befindlichkeit/Stimmung. The restriction in conceptual form",HR-07-POGGELER,p.169;p.170
CONCEPT:Phronesis as Conscience,explains,ethical,CONCEPT:Restricted Conception of Rhetoric,"1922 Natorp-Bericht: Heidegger characterizes phronēsis (NE VI) as Gewissen. The conceptual hinge: rhetorical-pathic register is channeled into ethical-existential register, restricting rhetoric's distinctive contribution",HR-07-POGGELER,p.165;p.166
CONCEPT:Authenticity vs. Public-Spirited Rhetorical Tradition,explains,political,CONCEPT:Restricted Conception of Rhetoric,"Heidegger's Eigentlichkeit and public-spirited rhetorical tradition 'inhabit contradictory worlds' (cabin dweller vs. Naples). 1962 Greece trip (imagined Heraclitus, never alighted on Patmos) is biographical confirmation",HR-07-POGGELER,p.168;p.171
CONCEPT:Holzwege (Woodpaths),complexifies,methodological,CONCEPT:Topology of Being,"Closing image: Heidegger's 'paths' are paths driven through wood to carry out timber — end blind where timber has been already-made; 'deceive the traveler.' Topology-of-being appears to discover but ends where Heidegger's pre-decisions have foreclosed",HR-07-POGGELER,p.172
POSITION:HR-07-POGGELER-P1,contrasts_with,rhetorical,POSITION:HR-01-GROSS-A-P2,"VOLUME-FRAMING DISAGREEMENT (= VT1): Pöggeler's restriction-thesis vs. Gross's centrality-thesis. Volume opens with Gross, closes with Pöggeler",HR-07-POGGELER,p.161;p.172
POSITION:HR-07-POGGELER-P2,undermines,rhetorical,POSITION:HR-04-HYDE-P1,"Pöggeler's premise that Heidegger 'restricted crucial dimensions of Aristotle's Rhetoric' directly undermines Hyde's reading of BT §§54-60 as 'primordial and emotional form of epideictic rhetoric'. Pöggeler reads BT conscience-block as where rhetoric is LOST",HR-07-POGGELER,p.168
POSITION:HR-07-POGGELER-P3,contrasts_with,political,POSITION:HR-06-KISIEL-P1,"Pöggeler's reading of GA 18 as bounded philological episode contrasts with Kisiel's reading as genesis of 'rhetorical protopolitics' with continuous afterlife",HR-07-POGGELER,p.166;p.167;p.171
POSITION:HR-07-POGGELER-P3,refines,philological,POSITION:HR-03-MICHALSKI-P1,"Pöggeler agrees with Michalski's philological framing of GA 18 but RESTRICTS the import: for Michalski philological orientation is methodologically sustaining; for Pöggeler it's part of what makes Marburg engagement bounded",HR-07-POGGELER,p.168
POSITION:HR-07-POGGELER-P5,supports,hermeneutic,POSITION:HR-02-GADAMER-P-hermeneutics-rhetorical-origin,"Pöggeler agrees with Gadamer's late acknowledgment that hermeneutics had older roots in rhetoric tradition; grounds broader claim that 'even when hidden, Heidegger touches rhetorical tradition again and again'",HR-07-POGGELER,p.164
POSITION:HR-07-POGGELER-P7,contrasts_with,rhetorical,POSITION:HR-04-HYDE-P-BT178,"VT9: Pöggeler reads BT §29 (= BT 178 / GA 18 110) as RESTRICTIVE rather than constitutive. Hyde, Struever, Gross, Kisiel read this passage as load-bearing positive evidence",HR-07-POGGELER,p.168
HEIDEGGER-LOCUS:GA13.75ff,is_meaning_of,ontological,CONCEPT:Topology of Being,"Aus der Erfahrung des Denkens (1947) is where 'topology of being' is introduced; dwelling-place (Ortschaft) of essence; thoughtful poetics. 1947 publication is temporal pivot of essay",HR-07-POGGELER,p.161
HEIDEGGER-LOCUS:Heidegger.Letter1958-12-12,is_meaning_of,ontological,CONCEPT:Topology of Being,"Heidegger's own self-interpretation: 'I use the term topology quite literally: the speaking of place; that is, thinking the truth (Entbergen des Sichverbergens) of being. In using this term I was not aware of the historical connotations you have suggested.' Heidegger explicitly disavows rhetorical-historical genealogy",HR-07-POGGELER,p.162
HEIDEGGER-LOCUS:BT.SZ29,operationalizes,rhetorical,ARISTOTLE-LOCUS:Rhet.II.5,"BT §29 reads Aristotle's Rhetoric as 'first systematic hermeneutic of everydayness'; Pöggeler reads as moment of restriction. The Aristotelian pathē of fear (Rhet. II.5) are absorbed into Befindlichkeit as mood-structure",HR-07-POGGELER,p.167;p.168
HEIDEGGER-LOCUS:LetterOnHumanism.Wegmarken145ff,explains,political,CONCEPT:Authenticity vs. Public-Spirited Rhetorical Tradition,"Letter on Humanism (1947) is the post-rhetorical document: polemic against 'dictatorship of publicness' (Öffentlichkeit), against humanism's Aristotle, against Vico/Renaissance",HR-07-POGGELER,p.170;p.171
