rcode,term,item,codes,disputed,agree_jaccard,evidence
W25-R045,W25,Q5,X-OFFTOPIC,,,
W25-R045,W25,Q6,X-OFFTOPIC,,,
W25-R045,W25,Q9,B1-FALLBACK;D3-A3A4,,,only used the YouTube videos
W25-R048,W25,Q10,F1-PRESENCE;G6-USECASE,,,immerse into the environment
W25-R048,W25,Q5,D2-A3;F3-CARRY,,,
W25-R048,W25,Q6,A1.lag;A1.nav,,,confusing to learn how to play the videos
W25-R048,W25,Q9,G3-CONTENT;G5-GUIDE,,,
W25-R049,W25,Q10,F3-CARRY;G6-USECASE,,,
W25-R049,W25,Q5,D2-A3,,,short and condensed
W25-R049,W25,Q6,X-OFFTOPIC,,,
W25-R049,W25,Q9,A1.lag;D3-A3A4,,,irritating that I had to click and then wait
W25-R050,W25,Q10,X-EMPTY,,,
W25-R050,W25,Q5,X-OFFTOPIC,,,
W25-R050,W25,Q6,G3-CONTENT,,,
W25-R050,W25,Q9,X-EMPTY,,,
W25-R051,W25,Q10,D3-A3A4;G6-USECASE,,,interactive
W25-R051,W25,Q5,D2-A3,,,short but perfect for my attention span
W25-R051,W25,Q6,G5-GUIDE,,,
W25-R051,W25,Q9,D4-LOOP;G4-INTERACT,,,ensure their on track
W25-R052,W25,Q10,G6-USECASE,,,
W25-R052,W25,Q5,D2-A3;F3-CARRY,,,great resource to see how these procedures
W25-R052,W25,Q6,X-OFFTOPIC,,,
W25-R052,W25,Q9,A1.nav;G5-GUIDE,,,mostly lost in the VR space
W25-R053,W25,Q10,D3-A3A4;E-SHA,,,
W25-R053,W25,Q5,D2-A3;E-AFF,,,
W25-R053,W25,Q6,A1.hw;B1-FALLBACK;E-AFF,,,nauseating to watch
W25-R053,W25,Q9,B1-FALLBACK;X-EMPTY,,,
W25-R054,W25,Q10,A1.hw;G6-USECASE,,,just makes me dizzy
W25-R054,W25,Q5,D2-A3,,,
W25-R054,W25,Q6,A2-DIFFUSE,,,a lot of students unable to download
W25-R054,W25,Q9,A1.hw;B1-FALLBACK;E-AFF,,,get motion sickness
W25-R055,W25,Q10,G6-USECASE,,,
W25-R055,W25,Q5,B1-FALLBACK;F3-CARRY,,,
W25-R055,W25,Q6,X-OFFTOPIC,,,
W25-R055,W25,Q9,B1-FALLBACK;X-EMPTY,,,
W25-R056,W25,Q10,E-SHA;G6-USECASE,,,
W25-R056,W25,Q5,X-OFFTOPIC,,,
W25-R056,W25,Q6,A1.nav;D1-A2,,,interface to watch the videos is not straightforward
W25-R056,W25,Q9,A4-DIV;D3-A3A4,,,not super straightforward
W25-R057,W25,Q10,D0-A0A1;G6-USECASE,,,
W25-R057,W25,Q5,D2-A3;F3-CARRY,,,immersion surgical videos
W25-R057,W25,Q6,X-OFFTOPIC,,,
W25-R057,W25,Q9,A1.lag;D3-A3A4,,,tends to run slow on laptop
W25-R058,W25,Q10,G6-USECASE,,,
W25-R058,W25,Q5,D2-A3,,,
W25-R058,W25,Q6,A1.nav;B1-FALLBACK;D3-A3A4,,,resorted to the youtube video
W25-R058,W25,Q9,G4-INTERACT;G5-GUIDE,,,
W25-R059,W25,Q10,D2-A3;G6-USECASE,,,
W25-R059,W25,Q5,D2-A3;F3-CARRY,,,helpful since I could base ideas
W25-R059,W25,Q6,A4-DIV;B1-FALLBACK,,,videos were easier to interact with
W25-R059,W25,Q9,A1.lag;G2-OPTIMIZE,,,trouble going to certain parts
W25-R060,W25,Q10,D3-A3A4;E-SHA;G6-USECASE,,,
W25-R060,W25,Q5,D2-A3;G5-GUIDE,,,
W25-R060,W25,Q6,G5-GUIDE,,,
W25-R060,W25,Q9,A1.install;A1.lag,,,file being too large
W25-R061,W25,Q10,G6-USECASE,,,
W25-R061,W25,Q5,D2-A3;D4-LOOP,,,discord being very active
W25-R061,W25,Q6,X-OFFTOPIC,,,
W25-R062,W25,Q10,X-EMPTY,,,
W25-R062,W25,Q5,D2-A3,,,very helpful in gaining general knowledge
W25-R062,W25,Q6,X-OFFTOPIC,,,
W25-R062,W25,Q9,A1.dark,,,very blurry in my experience
W25-R064,W25,Q10,F3-CARRY;G6-USECASE,,,
W25-R064,W25,Q5,D2-A3;F3-CARRY,,,understand how these devices are used
W25-R064,W25,Q6,A1.crash;A1.nav,,,difficult to use and I had issues with crashes
W25-R064,W25,Q9,D3-A3A4;G4-INTERACT,,,
W25-R065,W25,Q10,D3-A3A4;G6-USECASE,,,
W25-R065,W25,Q5,D2-A3;F3-CARRY,,,encourage me to want and engage
W25-R065,W25,Q6,A4-DIV,,,didn't really serve much of a purpose
W25-R065,W25,Q9,D3-A3A4;G4-INTERACT;G6-USECASE,,,
W25-R066,W25,Q10,D3-A3A4;E-LUD;G6-USECASE,,,
W25-R066,W25,Q5,D2-A3,,,
W25-R066,W25,Q6,X-OFFTOPIC,,,
W25-R066,W25,Q9,X-EMPTY,,,
W25-R067,W25,Q10,F3-CARRY;G6-USECASE,,,demonstrations of someone performing
W25-R067,W25,Q5,D2-A3;F3-CARRY,,,insightful of other countries
W25-R067,W25,Q6,D1-A2;G3-CONTENT,,,could be a lot better
W25-R067,W25,Q9,G3-CONTENT;G5-GUIDE,,,
W25-R068,W25,Q10,E-SHA;G6-USECASE,,,
W25-R068,W25,Q5,D2-A3;F1-PRESENCE,,,immerse myself in real life surgical
W25-R068,W25,Q6,G5-GUIDE,,,
W25-R068,W25,Q9,A1.prox;D3-A3A4,,,more mobility to get better viewing angles
W25-R069,W25,Q10,D3-A3A4;E-SHA;G6-USECASE,,,
W25-R069,W25,Q5,D2-A3,,,
W25-R069,W25,Q6,A1.dark;D1-A2,,,videos were low quality and hard to understand
W25-R069,W25,Q9,A1.install;X-EMPTY,,,
W25-R070,W25,Q10,E-SHA;G6-USECASE,,,
W25-R070,W25,Q5,D2-A3;F3-CARRY,,,opened my eyes to other perspectives
W25-R070,W25,Q6,X-OFFTOPIC,,,
W25-R070,W25,Q9,B1-FALLBACK;D1-A2,,,easier to access and navigate
W25-R071,W25,Q10,D4-LOOP;G6-USECASE,,,
W25-R071,W25,Q5,D2-A3,,,vital to succeeding post-graduation
W25-R071,W25,Q6,X-OFFTOPIC,,,
W25-R071,W25,Q9,E-SHA;G4-INTERACT,,,interact with other users
W25-R072,W25,Q10,E-SHA;G6-USECASE,,,
W25-R072,W25,Q5,X-EMPTY,,,
W25-R072,W25,Q6,X-EMPTY,,,
W25-R072,W25,Q9,X-EMPTY,,,
W25-R073,W25,Q10,D3-A3A4;E-SHA;G6-USECASE,,,
W25-R073,W25,Q5,D2-A3,,,
W25-R073,W25,Q6,X-OFFTOPIC,,,
W25-R073,W25,Q9,G3-CONTENT;G5-GUIDE,,,
W25-R074,W25,Q10,G6-USECASE,,,
W25-R074,W25,Q5,D2-A3;D4-LOOP,,,especially useful in this course
W25-R074,W25,Q6,X-OFFTOPIC,,,
W25-R074,W25,Q9,X-EMPTY,,,
W25-R075,W25,Q10,F3-CARRY;G6-USECASE,,,
W25-R075,W25,Q5,D2-A3;F3-CARRY,,,curated list of videos
W25-R075,W25,Q6,A1.crash;A4-DIV,,,easier to watch the videos on youtube
W25-R075,W25,Q9,D1-A2;G2-OPTIMIZE,,,textures and models can be tailored
W25-R076,W25,Q10,D3-A3A4;G6-USECASE,,,
W25-R076,W25,Q5,D2-A3,,,at my own pace
W25-R076,W25,Q6,A1.install;A1.nav,,,trouble with the VR system
W25-R076,W25,Q9,A1.install;X-EMPTY,,,
W25-R077,W25,Q5,D2-A3,,,"helpful, as things were explained"
W25-R077,W25,Q6,G5-GUIDE,,,
W25-R077,W25,Q9,A1.nav;D3-A3A4,,,easier to move around and play
W25-R078,W25,Q10,D3-A3A4;G6-USECASE,,,
W25-R078,W25,Q5,D2-A3,,,
W25-R078,W25,Q6,A4-DIV;B1-FALLBACK,,,software was good in theory
W25-R078,W25,Q9,A1.crash;A1.lag,,,"get rid of the bugs, make it run faster"
W25-R079,W25,Q10,G6-USECASE,,,
W25-R079,W25,Q5,D2-A3;D4-LOOP,,,found both useful
W25-R079,W25,Q6,X-EMPTY,,,
W25-R079,W25,Q9,E-SHA;G4-INTERACT,,,
W25-R080,W25,Q10,G6-USECASE,,,
W25-R080,W25,Q5,D2-A3;E-NAR,,,
W25-R080,W25,Q6,A1.lag,,,the app felt a little clunky at times
W25-R080,W25,Q9,G2-OPTIMIZE,,,
W25-R081,W25,Q10,G6-USECASE,,,
W25-R081,W25,Q5,E-LUD;H-NEW-lecture,,,
W25-R081,W25,Q6,X-OFFTOPIC,,,
W25-R081,W25,Q9,D1-A2;G3-CONTENT,,,
W25-R082,W25,Q10,G6-USECASE,,,
W25-R082,W25,Q5,H-NEW-lecture,,,
W25-R082,W25,Q6,A2-DIFFUSE,,,not that useful it was burdensome
W25-R082,W25,Q9,G3-CONTENT;G4-INTERACT,,,
W25-R083,W25,Q10,G6-USECASE,,,
W25-R083,W25,Q5,H-NEW-lecture,,,
W25-R083,W25,Q6,X-OFFTOPIC,,,
W25-R083,W25,Q9,X-EMPTY,,,
W25-R084,W25,Q10,E-SHA;G6-USECASE,,,
W25-R084,W25,Q5,D2-A3;E-NAR,,,
W25-R084,W25,Q6,X-OFFTOPIC,,,
W25-R084,W25,Q9,A1.nav;E-SPA;G5-GUIDE,,,eliminate having to go up stairs and stuff
W25-R085,W25,Q10,A1.other;G6-USECASE,,,VR is too distracting
W25-R085,W25,Q5,H-NEW-lecture,,,
W25-R085,W25,Q6,X-OFFTOPIC,,,
W25-R085,W25,Q9,A1.other;B1-FALLBACK,,,"The VR was, in my opinion, to overstimulating"
W25-R086,W25,Q10,D1-A2;D3-A3A4;E-KIN;G6-USECASE,,,
W25-R086,W25,Q5,A1.hw;B1-FALLBACK;E-AFF,,,my laptop had a harder time running the software
W25-R086,W25,Q6,G3-CONTENT,,,
W25-R086,W25,Q9,G1-PROVISION,,,
W25-R087,W25,Q5,H-NEW-lecture,,,
W25-R087,W25,Q6,X-OFFTOPIC,,,
W25-R088,W25,Q10,G6-USECASE,,,
W25-R088,W25,Q5,E-LUD,,,
W25-R088,W25,Q6,A1.other;B1-FALLBACK;E-AFF,,,cool but at the same time it's doing too much
W25-R088,W25,Q9,E-LUD;G4-INTERACT,,,
W25-R089,W25,Q5,F1-PRESENCE,,,somewhat first hand observations
W25-R089,W25,Q6,E-AFF;E-SHA,,,
W25-R089,W25,Q9,A1.crash;A1.dark,,,Program often crashed when trying to pause the video
W25-R090,W25,Q10,E-SHA;G6-USECASE,,,
W25-R090,W25,Q5,D2-A3,,,
W25-R090,W25,Q6,X-OFFTOPIC,,,
W25-R090,W25,Q9,X-NONUSE,,,
W25-R091,W25,Q10,G6-USECASE,,,
W25-R091,W25,Q5,D2-A3;F3-CARRY,,,
W25-R091,W25,Q6,G5-GUIDE;X-OFFTOPIC,,,
W25-R091,W25,Q9,G5-GUIDE,,,
W25-R092,W25,Q10,G6-USECASE,,,
W25-R092,W25,Q5,D2-A3;F1-PRESENCE,,,offer an immersive experience and valuable insights
W25-R092,W25,Q6,X-EMPTY,,,
W25-R092,W25,Q9,A1.other;G1-PROVISION,,,more distracting than anything
W25-R094,W25,Q10,E-AFF;E-SHA;G6-USECASE,,,
W25-R094,W25,Q5,D2-A3;E-NAR,,,
W25-R094,W25,Q6,X-OFFTOPIC,,,
W25-R094,W25,Q9,A1.other;B1-FALLBACK;D0-A0A1;G3-CONTENT,,,I could barely hear the doctor
W25-R095,W25,Q10,G6-USECASE,,,
W25-R095,W25,Q5,X-OFFTOPIC,,,
W25-R095,W25,Q6,X-EMPTY,,,
W25-R095,W25,Q9,A1.crash;A1.lag;G2-OPTIMIZE,,,"improving the lags, I would glitch sometimes"
W25-R096,W25,Q10,E-AFF;G6-USECASE,,,
W25-R096,W25,Q5,H-NEW-lecture,,,
W25-R096,W25,Q6,X-OFFTOPIC,,,
W25-R096,W25,Q9,A1.install;G2-OPTIMIZE,,,great issue downloading it on my pc
W25-R097,W25,Q10,G6-USECASE,,,
W25-R097,W25,Q5,X-OFFTOPIC,,,
W25-R097,W25,Q6,E-SHA,,,
W25-R097,W25,Q9,E-NAR;E-SHA;G4-INTERACT,,,
W25-R098,W25,Q10,E-SHA;G6-USECASE,,,
W25-R098,W25,Q5,X-OFFTOPIC,,,
W25-R098,W25,Q6,A1.other;A5-WITHDRAWN;B1-FALLBACK;G2-OPTIMIZE,,,had quite a bit of trouble so I just watched
W25-R098,W25,Q9,D3-A3A4;G4-INTERACT,,,
W25-R099,W25,Q10,E-AFF;G6-USECASE,,,
W25-R099,W25,Q5,H-NEW-lecture,,,
W25-R099,W25,Q6,A1.install;B1-FALLBACK,,,wish that I could access the vr setting on macbook
W25-R099,W25,Q9,X-NONUSE,,,
W25-R100,W25,Q10,G6-USECASE,,,
W25-R100,W25,Q5,D2-A3;E-LUD;H-NEW-lecture,,,
W25-R100,W25,Q6,X-OFFTOPIC,,,
W25-R100,W25,Q9,E-KIN;G4-INTERACT,,,
W25-R101,W25,Q5,H-NEW-lecture,,,
W25-R101,W25,Q6,A1.crash;A1.lag,,,was a bit buggy since it would take a long time
W25-R101,W25,Q9,A1.crash;A1.lag;G4-INTERACT,,,a bit buggy and wouldn't load the videos
W25-R102,W25,Q10,E-SHA;G6-USECASE,,,
W25-R102,W25,Q5,D2-A3,,,
W25-R102,W25,Q6,X-OFFTOPIC,,,
W25-R102,W25,Q9,X-NONUSE,,,
W26-R001,W26,Q10,E-SHA;G6-USECASE,,,
W26-R001,W26,Q5,X-EMPTY,,,
W26-R001,W26,Q6,X-EMPTY,,,
W26-R001,W26,Q9,X-EMPTY,,,
W26-R002,W26,Q10,G6-USECASE,,,
W26-R002,W26,Q5,X-OFFTOPIC,,,
W26-R002,W26,Q6,X-OFFTOPIC,,,
W26-R002,W26,Q9,X-EMPTY,,,
W26-R003,W26,Q10,G6-USECASE,,,
W26-R003,W26,Q5,D2-A3,,,
W26-R003,W26,Q6,X-OFFTOPIC,,,
W26-R003,W26,Q9,D1-A0A1;G5-GUIDE,,,"""Some elements were difficult to see"""
W26-R004,W26,Q10,X-EMPTY,,,
W26-R004,W26,Q5,X-EMPTY,,,
W26-R004,W26,Q6,X-OFFTOPIC,,,
W26-R004,W26,Q9,X-EMPTY,,,
W26-R005,W26,Q10,G6-USECASE,,,
W26-R005,W26,Q5,X-OFFTOPIC,,,
W26-R005,W26,Q6,D2-A3,,,
W26-R005,W26,Q9,X-EMPTY,,,
W26-R006,W26,Q10,G6-USECASE,,,
W26-R006,W26,Q5,D2-A3,,,
W26-R006,W26,Q6,X-OFFTOPIC,,,
W26-R006,W26,Q9,G4-INTERACT,,,
W26-R007,W26,Q10,G6-USECASE,,,
W26-R007,W26,Q5,D2-A3;F1-PRESENCE,,,"""made me feel like an engineer trying to find and solve problems"""
W26-R007,W26,Q6,B1-FALLBACK,,,
W26-R007,W26,Q9,B1-FALLBACK,,,
W26-R008,W26,Q10,G6-USECASE;X-NONUSE,,,
W26-R008,W26,Q5,D2-A3,,,
W26-R008,W26,Q6,A1.install,,,
W26-R008,W26,Q9,A1.crash;X-NONUSE,,,"""bug with my account"""
W26-R009,W26,Q10,G6-USECASE,,,
W26-R009,W26,Q5,X-EMPTY,,,
W26-R009,W26,Q6,X-EMPTY,,,
W26-R009,W26,Q9,X-EMPTY,,,
W26-R010,W26,Q10,X-EMPTY,,,
W26-R010,W26,Q5,X-EMPTY,,,
W26-R010,W26,Q6,X-EMPTY,,,
W26-R010,W26,Q9,X-EMPTY,,,
W26-R011,W26,Q10,E-SHA;G6-USECASE,,,
W26-R011,W26,Q5,A1.nav;B1-FALLBACK,,,"""harder to navigate than just regular youtube videos"""
W26-R011,W26,Q6,A1.nav;A2-DIFFUSE,,,"""harder to understand and navigate"""
W26-R011,W26,Q9,G5-GUIDE,,,
W26-R012,W26,Q10,B1-FALLBACK,,,
W26-R012,W26,Q5,X-OFFTOPIC,,,
W26-R012,W26,Q6,A1.crash,,,"""glitchy at some moments"""
W26-R012,W26,Q9,A1.crash,,,"""would glitch out"""
W26-R013,W26,Q10,G6-USECASE,,,
W26-R013,W26,Q5,X-OFFTOPIC,,,
W26-R013,W26,Q6,X-OFFTOPIC,,,
W26-R013,W26,Q9,A1.nav,,,"""tricky at first to figure out"""
W26-R014,W26,Q10,F1-PRESENCE;G6-USECASE,,,"""immerse yourself in a reality where you are not"""
W26-R014,W26,Q5,B1-FALLBACK,,,
W26-R014,W26,Q6,A1.hw;D2-A3,,,"""VR does look odd on a laptop"""
W26-R014,W26,Q9,G1-PROVISION,,,
W26-R015,W26,Q10,G6-USECASE,,,
W26-R015,W26,Q5,X-OFFTOPIC,,,
W26-R015,W26,Q6,G6-USECASE,,,
W26-R015,W26,Q9,G4-INTERACT,,,
W26-R016,W26,Q10,G6-USECASE,,,
W26-R016,W26,Q5,X-OFFTOPIC,,,
W26-R016,W26,Q6,A4-DIV,,,
W26-R016,W26,Q9,G4-INTERACT,,,
W26-R017,W26,Q10,G6-USECASE,,,
W26-R017,W26,Q5,X-OFFTOPIC,,,
W26-R017,W26,Q6,X-OFFTOPIC,,,
W26-R017,W26,Q9,B1-FALLBACK;X-NONUSE,,,"""utilized the YouTube videos only"""
W26-R018,W26,Q10,G6-USECASE,,1.00,
W26-R018,W26,Q5,D2-A3;F1-PRESENCE,,,"""made everything feel more real and helped me understand what actually happens"""
W26-R018,W26,Q6,X-EMPTY,,1.00,
W26-R018,W26,Q9,A1.lag;A1.nav;B1-FALLBACK;G2-OPTIMIZE;G5-GUIDE,,1.00,"""My computer would get really hot and slow""; get really hot and slow while using it"
W26-R019,W26,Q10,X-EMPTY,,1.00,
W26-R019,W26,Q5,D2-A3;E-AFF;E-LUD;E-NAR,,0.75,
W26-R019,W26,Q6,X-OFFTOPIC,,1.00,
W26-R019,W26,Q9,B1-FALLBACK,,1.00,
W26-R020,W26,Q10,G6-USECASE,,1.00,
W26-R020,W26,Q5,D2-A3,,1.00,
W26-R020,W26,Q6,X-EMPTY,,1.00,
W26-R020,W26,Q9,D3-A3A4;G4-INTERACT,,1.00,
W26-R021,W26,Q10,E-SHA;G6-USECASE,,1.00,
W26-R021,W26,Q5,D2-A3,,1.00,
W26-R021,W26,Q6,X-OFFTOPIC,,1.00,
W26-R021,W26,Q9,H-NEW-playback,,1.00,
W26-R022,W26,Q10,D2-A3;E-SHA;G6-USECASE;H-NEW-skeptic,,0.50,
W26-R022,W26,Q5,D2-A3,,1.00,
W26-R022,W26,Q6,X-OFFTOPIC,,1.00,
W26-R022,W26,Q9,G3-CONTENT;G4-INTERACT,,0.50,
W26-R023,W26,Q10,E-NAR;E-SHA;G6-USECASE,,0.67,
W26-R023,W26,Q5,D2-A3;E-NAR,,1.00,
W26-R023,W26,Q6,X-OFFTOPIC,,1.00,
W26-R023,W26,Q9,A1.lag;A5-WITHDRAWN;B1-FALLBACK;D1-A2;E-AFF,,0.80,"""the platform was extremely slow in terms of accessing the videos""; extremely slow in terms of accessing the videos"
W26-R024,W26,Q10,A1.other;D2-A3;G6-USECASE;H-NEW-skeptic,,0.50,"""it added a level of confusion""; added a level of confusion"
W26-R024,W26,Q5,A2-DIFFUSE;B1-FALLBACK;G5-GUIDE,,1.00,"""I did not enjoy the 3d immersive experience""; did not enjoy the 3d immersive experience"
W26-R024,W26,Q6,A2-DIFFUSE,,1.00,"""I did not enjoy the 3d experience""; did not enjoy the 3d experience"
W26-R024,W26,Q9,A1.other;A5-WITHDRAWN;D0-A0A1;D1-A2;D2-A3,,0.80,"""turned me off of using it and the actual videos were disorienting""; really turned me off of using it"
W26-R025,W26,Q10,G6-USECASE,,1.00,
W26-R025,W26,Q5,X-OFFTOPIC,,1.00,
W26-R025,W26,Q6,X-EMPTY,,1.00,
W26-R025,W26,Q9,A1.install;G2-OPTIMIZE,,1.00,"""a smaller file size""; a smaller file size"
W26-R026,W26,Q5,D2-A3;E-LUD,,1.00,
W26-R026,W26,Q6,X-EMPTY,,1.00,
W26-R027,W26,Q10,G6-USECASE,,1.00,
W26-R027,W26,Q5,D2-A3,,1.00,
W26-R027,W26,Q6,X-EMPTY,,1.00,
W26-R027,W26,Q9,A1.other;E-LUD,,0.50,"""hard to figure out a ""problem"" or ""unmet need""""; hard to figure out a ""problem"" or ""unmet need"""
W26-R028,W26,Q10,G6-USECASE,,1.00,
W26-R028,W26,Q5,D2-A3;F1-PRESENCE,,1.00,"""I found the immersive VR helpful""; I found the immersive VR helpful"
W26-R028,W26,Q6,X-OFFTOPIC,,1.00,
W26-R028,W26,Q9,D3-A3A4;G4-INTERACT,,1.00,
W26-R029,W26,Q10,G6-USECASE,,1.00,
W26-R029,W26,Q5,D2-A3,,1.00,
W26-R029,W26,Q6,X-OFFTOPIC,,1.00,
W26-R029,W26,Q9,A1.crash;A1.lag,,1.00,"""a little glichy/heavy on my computer""; a little glichy/heavy on my computer"
W26-R031,W26,Q10,G6-USECASE,,1.00,
W26-R031,W26,Q5,D2-A3;E-LUD;E-NAR,,0.67,
W26-R031,W26,Q6,X-OFFTOPIC,,1.00,
W26-R031,W26,Q9,A1.other;G2-OPTIMIZE,,1.00,"""more accessable without the complication to play""; more accessable without the complication to play"
W26-R032,W26,Q10,G6-USECASE,,1.00,
W26-R032,W26,Q5,D2-A3,,1.00,
W26-R032,W26,Q6,X-EMPTY,,1.00,
W26-R032,W26,Q9,X-EMPTY,,1.00,
W26-R033,W26,Q10,D2-A3;G6-USECASE;H-NEW-skeptic,,0.33,
W26-R033,W26,Q5,D2-A3;E-LUD,,1.00,
W26-R033,W26,Q6,X-OFFTOPIC,,1.00,
W26-R033,W26,Q9,B1-FALLBACK;D2-A3;H-NEW-skeptic,,0.33,
W26-R034,W26,Q10,E-SPA;G6-USECASE,,1.00,
W26-R034,W26,Q5,D2-A3;E-NAR,,1.00,
W26-R034,W26,Q6,E-NAR;G3-CONTENT,,0.50,
W26-R034,W26,Q9,D3-A3A4;E-SPA;G3-CONTENT;G4-INTERACT,,1.00,
W26-R035,W26,Q10,G6-USECASE,,1.00,
W26-R035,W26,Q5,D2-A3,,1.00,
W26-R035,W26,Q6,X-EMPTY,,1.00,
W26-R035,W26,Q9,A1.install;G2-OPTIMIZE,,1.00,"""Accessible through Mac""; Accessible through Mac"
W26-R036,W26,Q10,E-AFF;F1-PRESENCE,,1.00,"""immersed in the VR operating room is very cool""; immersed in the VR operating room"
W26-R036,W26,Q5,C3-LENGTH;D2-A3,,1.00,
W26-R036,W26,Q6,E-SHA;X-OFFTOPIC,,0.33,very difficult to remain engaged with virtual instruction
W26-R036,W26,Q9,X-EMPTY,,1.00,
W26-R037,W26,Q10,E-AFF;E-SHA;F1-PRESENCE;F2-WORLD,,0.75,"""it does put you into a VR clinical environment""; put you into a VR clinical environment"
W26-R037,W26,Q5,D2-A3,,1.00,
W26-R037,W26,Q6,X-OFFTOPIC,,1.00,
W26-R037,W26,Q9,A1.lag;D2-A3;H-NEW-skeptic,,0.33,"""really laggy at times and is not significantly more immersive""; really laggy at times"
W26-R038,W26,Q10,E-SHA;G6-USECASE,,1.00,
W26-R038,W26,Q5,X-OFFTOPIC,,1.00,
W26-R038,W26,Q6,X-OFFTOPIC,,1.00,
W26-R038,W26,Q9,D2-A3;X-EMPTY,,0.00,
W26-R039,W26,Q10,E-NAR;G6-USECASE,,0.50,
W26-R039,W26,Q5,D2-A3;D4-LOOP,,1.00,
W26-R039,W26,Q6,X-OFFTOPIC,,1.00,
W26-R039,W26,Q9,A1.other,,1.00,"""The VR platform is not very user friendly""; not very user friendly"
W26-R040,W26,Q10,E-NAR;G6-USECASE,,0.50,
W26-R040,W26,Q5,D2-A3;E-NAR,,1.00,
W26-R040,W26,Q6,X-OFFTOPIC,,1.00,
W26-R040,W26,Q9,X-NONUSE,,1.00,
W26-R042,W26,Q10,G6-USECASE,,1.00,
W26-R042,W26,Q5,D2-A3;D4-LOOP;E-LUD,,1.00,
W26-R042,W26,Q6,X-OFFTOPIC,,1.00,
W26-R042,W26,Q9,X-OFFTOPIC,,1.00,
W26-R044,W26,Q10,G6-USECASE,,1.00,
W26-R044,W26,Q5,D2-A3;X-OFFTOPIC,,0.00,
W26-R044,W26,Q6,G3-CONTENT,,1.00,
W26-R044,W26,Q9,G1-PROVISION,,1.00,
W26-R045,W26,Q10,G6-USECASE,,1.00,
W26-R045,W26,Q5,E-SHA;X-OFFTOPIC,,0.00,
W26-R045,W26,Q6,X-EMPTY,,1.00,
W26-R045,W26,Q9,X-EMPTY,,1.00,
W26-R046,W26,Q10,E-SHA;G6-USECASE,,1.00,
W26-R046,W26,Q5,D2-A3,,1.00,
W26-R046,W26,Q6,X-OFFTOPIC,,1.00,
W26-R046,W26,Q9,X-EMPTY,,1.00,
W26-R047,W26,Q10,A2-DIFFUSE,,1.00,"""it’s strange and I was not used to this""; strange and I was not used to this type of learning"
W26-R047,W26,Q5,D2-A3,,1.00,
W26-R047,W26,Q6,X-OFFTOPIC,,1.00,
W26-R047,W26,Q9,A1.nav;E-SPA;G5-GUIDE,,1.00,"""weird having to walk around just to find the right video""; weird having to walk around just to find the right video"
W26-R049,W26,Q10,E-SHA;G6-USECASE,,1.00,
W26-R049,W26,Q5,D2-A3,,1.00,
W26-R049,W26,Q6,A1.lag;A4-DIV;B2-MINIMAL;D2-A3;D4-LOOP;H-NEW-skeptic,,0.33,"""a fun idea however it is labor intensive for my laptop""; a fun idea however it is labor intensive for my laptop"
W26-R049,W26,Q9,G4-INTERACT;G5-GUIDE,,0.50,
W26-R050,W26,Q10,E-NAR;G6-USECASE,,0.50,
W26-R050,W26,Q5,D2-A3;E-NAR,,1.00,
W26-R050,W26,Q6,G3-CONTENT,,1.00,
W26-R050,W26,Q9,G3-CONTENT,,1.00,
W26-R051,W26,Q10,D3-A3A4;E-AFF;E-SHA;G4-INTERACT,,0.50,
W26-R051,W26,Q5,E-LUD,,1.00,
W26-R051,W26,Q6,X-OFFTOPIC,,1.00,
W26-R051,W26,Q9,X-EMPTY,,1.00,
W26-R052,W26,Q10,E-SHA;G6-USECASE,,1.00,
W26-R052,W26,Q5,D2-A3;D4-LOOP;E-LUD,,1.00,
W26-R052,W26,Q6,X-OFFTOPIC,,1.00,
W26-R052,W26,Q9,D3-A3A4;E-SHA;G4-INTERACT,,0.67,
W26-R053,W26,Q10,E-NAR;E-SHA;E-SPA;G6-USECASE,,0.50,
W26-R053,W26,Q6,X-OFFTOPIC,,1.00,
W26-R053,W26,Q9,A1.other;B1-FALLBACK;G3-CONTENT,,1.00,"""easier to follow and gave more direct context""; easier to follow and gave more direct context"
W26-R054,W26,Q5,D2-A3,,1.00,
W26-R054,W26,Q6,X-OFFTOPIC,,1.00,
W26-R054,W26,Q9,D3-A3A4;G4-INTERACT,,1.00,
W26-R055,W26,Q10,D2-A3;H-NEW-optional;H-NEW-skeptic,,0.00,
W26-R055,W26,Q5,D2-A3;E-NAR,,1.00,
W26-R055,W26,Q6,X-EMPTY,,1.00,
W26-R055,W26,Q9,A1.lag;D0-A0A1,,0.67,"""just a bit laggy and feels low-quality""; a bit laggy and feels low-quality"
W26-R056,W26,Q10,E-SHA;G6-USECASE,,1.00,
W26-R056,W26,Q5,D2-A3,,1.00,
W26-R056,W26,Q6,X-OFFTOPIC,,1.00,
W26-R056,W26,Q9,D2-A3;H-NEW-optional;H-NEW-skeptic,,0.00,
W26-R059,W26,Q10,D2-A3;G6-USECASE;H-NEW-skeptic,,0.33,
W26-R059,W26,Q5,C3-LENGTH;D2-A3,,1.00,
W26-R059,W26,Q6,X-OFFTOPIC,,1.00,
W26-R059,W26,Q9,A1.install;G2-OPTIMIZE,,1.00,"""Make sure the sign-in is actually possible""; Make sure the sign-in is actually possible"
W26-R060,W26,Q10,E-NAR;G6-USECASE,,0.50,
