rcode,term,item,words,text
W25-R051,W25,Q10,51,"It's like what you explained: interactive. That aspect is good for active learning,r rather than just doing reading or things on your own although it may be good for some people, I personally would benefit more from meeting even if it is virtually in a vr setting that allows that immersion."
W25-R052,W25,Q5,41,"I found the VR videos the most useful. Alongside the innovation notebook, they were a great resource to see how these procedures are actually performed. The interviews with doctors and faculty were very useful to hear about different unmet needs firsthand."
W25-R052,W25,Q6,28,"I think there can be better group assignments, since the final project being a group assignment when most of the class was individual work does not mesh well."
W25-R052,W25,Q9,50,"There can be more guidance in the VR lobby. During the first couple weeks, I was mostly lost in the VR space and leaned on the YouTube videos. I am still not sure if the interviews were in the VR space, since I just watched them through the YouTube videos."
W25-R052,W25,Q10,66,"Use cases such as this class are the places I feel are the best applications of VR spaces. When there are very specific processes or places that a professor wants to offer a close view into that is not very accessible for anyone in the class, a VR space makes incredible sense. I can see this being extended to trips to certain centers around the world."
W25-R053,W25,Q5,48,"I think the lecture videos each week is concise and informative, it taught me more about where to look for information in regards to address some of the unmet needs, as well as if we have an idea, how do we effectively bring our ideas to the market."
W25-R053,W25,Q6,60,"I think the VR videos are a nauseating to watch because the screen is curved; I get a bit motion sickness when I watch the youtube videos. I am not sure how the VR is for window user since I own a Mac, but I was wondering if there is any way to increase the quality of the VR videos."
W25-R053,W25,Q9,6,I utilized the Youtube videos only.
W25-R053,W25,Q10,42,"I think the idea that everyone in a VR environment could increase the learning of student because students can talk among themselves to come up with ideas. Sometimes, some details could be missed if we are just watching the VR by ourselves."
W25-R054,W25,Q5,36,I personally found the lecture videos and some interviews in the vr website helpful because the lecture videos give up the basic concepts and the interviews kind of expand on it and give real life examples.
W25-R054,W25,Q6,46,"To be honest, I don't think the VR application is needed at all because I saw a lot of students that were unable to download the app and even if they succeeded in downloading, they just used the youtube videos instead of using the VR app."
W25-R054,W25,Q9,30,"Again, I didn't find the VR platform that helpful in learning. This might just apply to me but I get motion sickness when watching the VR videos through the platform."
W25-R054,W25,Q10,34,I think VR programs would be helpful for interactive museum exhibits but I honestly won't do it unless we have an actual VR machine because VR platform on a laptop just makes me dizzy.
W25-R055,W25,Q5,20,I liked that the YouTube videos were a resource for those of us who could not use the VR program.
W25-R055,W25,Q6,17,I think it would be nice to have just one dropped quiz such as our lowest score.
W25-R055,W25,Q9,9,I was only able to access the YouTube videos.
W25-R055,W25,Q10,17,VR can make learning more interactive like exploring history or doing science experiments in a virtual world.
W25-R056,W25,Q5,22,The most useful aspect was the midterm/final project because it requires us to do our own thinking to solve an important problem.
W25-R056,W25,Q6,21,"I think the VR/video game platform could be improved, the interface to watch the videos is not super straightforward to follow."
W25-R056,W25,Q9,30,The VR clinical immersion platform would be better if it was more interactable and had options on which route you want to take rather than just being playback of videos.
W25-R056,W25,Q10,34,"I think VR would be useful in online school sessions as a sort of replacement to zoom, this would allow online class to still be a thing while increasing community and interactability between classmates."
W25-R057,W25,Q5,38,The immersion surgical videos and interviews were a great resource for learning unmet clinical needs. I also liked when in lecture we got a demonstration of applying a specific concept (e.g. gap analysis) to a particular unmet need.
W25-R057,W25,Q6,78,"We could have more reinforced check-ins early in the quarter so we can make sure we understand how the innovation notebook is supposed to look, and that we are on the right track to effectively address unmet needs. I think a lot of students, myself included, being busy with intense third year BME courses, put this course on the back burner for the first part of the quarter, so we had to catch ourselves up after midterm season."
W25-R057,W25,Q9,44,"It tends to run slow on laptop computers. I think the interactive nature of walking between rooms for different procedures is interesting, but rendering that whole building is resource intensive, so I could not use the program unless I was connected to a charger."
W25-R057,W25,Q10,65,"Interactive virtual spaces and demonstrations to teach specific concepts, or interactive museum exhibits, might work for some concepts, but having normal lectures in VR would just be distracting, and would require a lot more computational resources. Similarly, avatars for standard lectures provide marginal improvement over zoom lectures, and have increased potential for distraction, and draw more computational resources, shortening battery life and slowing the computer."
W25-R058,W25,Q5,22,I found the lecture videos and additional pdfs/documents to be very useful for students in light of preparing for senior design project.
W25-R058,W25,Q6,39,"I wish the VR platform would accommodate other open windows. It wasn't easy to take notes on a Google doc while listening to interviews or watching videos on the VR platform, so I resorted to the youtube video afterwards."
W25-R058,W25,Q9,31,"Including a possibility for notetaking that is user friendly, and having those notes saved to the laptop or share them to the student's UCI Google Drive, will be very beneficial useful."
W25-R058,W25,Q10,26,"A believe in person is better since virtual learning requires everyone in the group to attend together, which can be hard due to different people's schedules."
W25-R059,W25,Q5,43,"The lecture videos and the quizzes were helpful to my understanding of the course's materials. I also enjoyed watching the surgery videos (and interviews) to determine unmet needs, which was helpful since I could base ideas off of real observations of real procedures."
W25-R059,W25,Q6,38,"Perhaps the VR videos would suffice over the VR platform, since the videos were easier to interact with over the VR platform and were still very interactive since I could scroll around the room to get different viewpoints."
W25-R059,W25,Q9,45,"Perhaps a faster running platform would be better for educational benefits, as I had a bit of trouble going to certain parts of the video without buffering. I think the YouTube VR videos were great for my learning and just as interactive, in my opinion."
W25-R059,W25,Q10,47,"I'm not very familiar with use cases since I tend to lean towards the traditional Zoom/YouTube videos, but I think VR could be useful for anatomy concepts in biology, where a platform could allow scrolling around a part of the body and analyzing it in greater depth."
W25-R060,W25,Q5,34,The most useful part of this course were the lecture videos. They were clear and explained how we conduct research for unmet needs. They also showed how to use the provided resources for research.
W25-R060,W25,Q6,39,"I think more explanations regarding the innovation notebook and the final report was needed. Directions were too vague, we were only provided the rubric for each, but not how to conduct research in order to fill out the rubric."
W25-R060,W25,Q9,26,"I wasn't able to use the VR platform mainly due to the file being too large, my computer could not handle it. I experienced lagging issues."
W25-R060,W25,Q10,76,"I do think a virtual space where a group can watch the video all at once, and then communicate all without physically meeting up, will help improve group participation. / / I also think by setting up a class google sheet where times are set by each group to enter the VR program/watch the videos, would help improve group participation. Since this is a one-unit, online class, group participation can be hard to do. / /"
W25-R061,W25,Q5,28,"The discord being very active was the most useful in my opinion, it really felt like if I ever had questions I could get answers quickly and easily."
W25-R061,W25,Q6,8,I think the lectures could be more informative.
W25-R061,W25,Q10,24,"If procedures could be translated into VR, so they could be watched from multiple angles it could be useful to more accurately observe them."
W25-R062,W25,Q5,19,I think the lecture videos were very helpful in gaining general knowledge on all aspects of entrepreneurship in BME.
W25-R062,W25,Q6,39,"I think more things on how to conduct customer discovery, specifically how to get a hold of physicians. I guess that would be how to determine, after doing customer discovery, whether a problem is actually a problem or not."
W25-R062,W25,Q9,9,I feel like it's very blurry in my experience.
W25-R062,W25,Q10,1,na
W25-R064,W25,Q5,20,I enjoyed having access to real medical videos as it allowed me to understand how these devices are actually used.
W25-R064,W25,Q6,14,The VR experience was somewhat difficult to use and I had issues with crashes.
W25-R064,W25,Q9,19,Maybe an interactive portion? Something that allows for the viewer to interact with questions or clicking through the video.
W25-R064,W25,Q10,30,I think this VR experience would be good for courses that speak on history. It would allow students to be present in environments no longer possible or accessible for students.
W25-R065,W25,Q5,77,The additional resources that [instructor] provided for this course have been among the most interesting supplementary materials that I have seen so far for my upper division BME courses. Not only are they related to the course material that is discussed for that week but they're also interesting on their own merit. I'm confident when I say that this course did encourage me to want and engage with my major more and learn more about its intricacies.
W25-R065,W25,Q6,66,"If there's anything I wanted to have done more, it's use the 3D space. Even though this aspect of the course was the most heavily advertised, it didn't really serve much of a purpose in the learning of this class. Maybe it'd be annoying for some students if it was a mandatory thing to use, but I personally wished it was more than just a gimmick."
W25-R065,W25,Q9,74,"This is going to be an extremely radical and lengthy idea, but I think it would be cool if the 3D space was used for operation simulations. What I mean by this is if rooms/worlds are specifically created in order to recreate certain observed operations in a 3D space, including the room in which it takes place. That'd be an insane amount of work to put in but I think that would be fun."
W25-R065,W25,Q10,48,"VR programs can be effectively used to improve learning when the class needs to demonstrate practical elements for the course material. In those scenarios where there are demonstrative 3D elements that students can interact with, I feel like the 3D space is where students can best understand that."
W25-R066,W25,Q5,29,"The aspects of the course that I found useful were the elevator pitch information, as well as the videos of the interviews that [instructor] had with different medical professionals."
W25-R066,W25,Q6,34,The aspects of the course that could be improved would be to consider having students do parts of the final report week by week so that they have less to do in the end.
W25-R066,W25,Q9,23,"I am not sure, I think it is fine as is. I mainly used the videos to understand the information and answer questions."
W25-R066,W25,Q10,33,"I think using VR to work on an activity like a puzzle building exercise, with pieces of different unmet needs ideas combining together could be decent for a group to work on virtually."
W25-R067,W25,Q5,27,The videos were very insightful of other countries that are less developed and the type of conditions they are in medically. The interviews are especially very helpful.
W25-R067,W25,Q6,34,The VR videos for the surgeries could be a lot better. Maybe video in text descriptions to provide more context to the videos since it is hard to tell what is happening in them.
W25-R067,W25,Q9,12,In text descriptions of what’s happening to better follow along when watching.
W25-R067,W25,Q10,40,Maybe teaching or demonstrations of someone performing certain tasks so we can see from their point of view as well as thought/action process. In engineering it is easier to reference materials and projects when watching someone performing a similar project.
W25-R068,W25,Q5,38,Using the VR space to immerse myself in real life surgical procedures was helpful for the task of identifying areas of improvement and unmet needs. I think this was the most novel and useful part of the class.
W25-R068,W25,Q6,47,"I think it would be helpful if the innovation notebook assignment had smaller progress checkpoints, rather than just having us work on it alone for the whole quarter and turning everything in at the end. There were times when the requirements/expectations for the assignment weren't very clear."
W25-R068,W25,Q9,15,It would be nice if we were provided more mobility to get better viewing angles.
W25-R068,W25,Q10,17,"I think it could work well for online meeting spaces, in place of the traditional video call."
W25-R069,W25,Q5,26,"I found the lectures to be the most useful, I feel like I learned about the BME design and creation process the most through the lectures."
W25-R069,W25,Q6,21,I think the videos were low quality and hard to really understand what was going on. I would improve the videos.
W25-R069,W25,Q9,9,I was not able to use the VR software.
W25-R069,W25,Q10,34,Meeting with our groups would have been a great use of the VR platform along with maybe a VR program that goes more in detail or visually demonstrates the innovation process of medical devices.
W25-R070,W25,Q5,109,"Giving us the links to the different online resources and databases, as well as teaching us how to use them and when we might want to use them is extremely helpful! When designing a medical device and defining an unmet clinical need, there were a lot of questions that I didn't even know that I should ask, and this taught us how to ask and answer them. / / In addition, no other classes I have taken have asked me to consider healthcare conditions or needs in other countries. I have only ever considered the US market and population's needs, so this really opened my eyes to other perspectives."
W25-R070,W25,Q6,57,"Although I do appreciate that the class is online and asynchronous, I think I would like if we had maybe one in-person session a week to help our groups meet and work in person, because it was really hard to find times we were all available. / / Otherwise, all of the lectures, links, videos were awesome!"
W25-R070,W25,Q9,28,"I used the VR platform a little bit, but the YouTube videos were a lot easier to access and navigate between related topics so I just used those."
W25-R070,W25,Q10,112,"I think any time that breakout rooms would be used in zoom would be a good time to apply the VR platform. In my experience, zoom breakout rooms end up mostly silent and videos off except for myself and that is super awkward. I can see avatars being more interactive and people could participate without having to show their face or necessarily speak, especially if they live in a loud environment. / / I like the museum idea, like maybe if we had different virtual work stations where you would watch a video about something, then answer a question or do a task at that station before moving on to the next?"
W25-R071,W25,Q5,47,I found the lecture videos to be the most useful since it provided important information that typically isn't covered in any other BME course. The information is vital to succeeding post-graduation and things that could give you an edge in the industry if you already understand it.
W25-R071,W25,Q6,49,I think everything boiling down to a long report is a bit excessive for the scope of this course. I would personally prefer regular smaller assignments instead of a large report towards the end of quarter since this is prone to procrastination which can make it a cumbersome task.
W25-R071,W25,Q9,40,I think if there was a way to interact with other users who are online at the same time that would add to it. Watching the videos with other people in the course would make it more engaging and interactive.
W25-R071,W25,Q10,68,"I think it could work for a course like this, but only if there's a way to enforce usage of the VR software. If there's the option to merely watch videos most students would opt for that method instead since that avoids installing something on their device. Otherwise I could see it working as a dive into how the industry operates if footage like that can be obtained."
W25-R072,W25,Q5,6,to find unmet needs / /
W25-R072,W25,Q6,4,so far so good
W25-R072,W25,Q9,4,so far so good
W25-R072,W25,Q10,16,a virtual learning environment where everyone meets more effective remote teamwork and easy to work everywhere.
W25-R073,W25,Q5,11,I found the lectures and quizzes to be the most useful.
W25-R073,W25,Q6,18,"I think the course was well organized, but I think it would benefit from one meeting a week."
W25-R073,W25,Q9,8,Captions inclusion on the VR and Youtube videos.
W25-R073,W25,Q10,22,I think the virtual learning environment where everyone can meet with the instructor or their peers would help keep things on track.
W25-R074,W25,Q5,38,"The Discord and the VR program were especially useful in this course. The VR for the purposes of being able to expand and watch different topics, procedures, and interviews. The Discord was useful for getting any questions asked."
W25-R074,W25,Q6,36,Some of the assignment descriptions felt vague that it made some assignments more confusing to do without asking questions. It would be helpful to see more examples of some assignments than just going of some descriptions.
W25-R074,W25,Q9,8,I don't have any suggestions for the platform.
W25-R074,W25,Q10,30,I think the best way to utilize VR is the same way we did in this course. It should be a supplemental resource to research and discovering new topics globally.
W25-R075,W25,Q5,28,I found the clinical videos most useful in this course. I enjoyed having a curated list of videos of actual procedures and clinical experiences from which to learn.
W25-R075,W25,Q6,74,"I believe the VR platform could be improved to be a more enjoyable experience for the user. It still has great potential to be a thorough and useful immersive experience for viewing clinical procedures; however, the current state does not fully capture the immersive feelings. As a result, It was much easier to watch the videos on youtube than walkthrough the experience and deal with potential errors that lengthen the objective of the experience."
W25-R075,W25,Q9,42,I believe the textures and models used in the VR clinical immersion platform can be tailored to further capture the user's attention and elicit a stronger feeling of immersion. I hope it achieves the feeling of a game rather than an experience.
W25-R075,W25,Q10,48,"My initial thought would be that this program would be incredible for teaching and introducing high school students to the medical pathway. For example, an anatomy and physiology class in high school can greatly benefit from having experiences that discuss the different anatomical structures using footage of cadavers."
W25-R076,W25,Q5,37,I found the quizzes and lecture videos to be most useful. I really appreciated that things were at my own pace and I think that helped to facilitate both my learning and willingness to learn a lot.
W25-R076,W25,Q6,16,"I had trouble with the VR system, so that was fairly hard to download and navigate."
W25-R076,W25,Q9,29,"I was just unable to download the platform, so I do not think I got as many of the benefits of the VR system as my peers may have."
W25-R076,W25,Q10,17,Virtual spaces where engineers can build and interact with 3D models of their devices or test simulations.
W25-R077,W25,Q5,10,"I found the lecture videos helpful, as things were explained."
W25-R077,W25,Q6,23,"I think that a more organized structure on what to expect for innovation notebook would be helpful, especially when considering the gap analysis."
W25-R077,W25,Q9,13,"Easier to move around and play the videos, get out of the videos."
W25-R078,W25,Q5,19,I liked the recorded lecture videos and the convenience of the pdf slides to go back to for information.
W25-R078,W25,Q6,46,I thought the software was good in theory but honestly posted videos under modules would've been much more efficient and beneficial for our learning. I also think given the amount of units this course is I don't think the amount of work and papers is justified.
W25-R078,W25,Q9,9,"Get rid of the bugs, make it run faster"
W25-R078,W25,Q10,28,"I think the virtual surgery rooms are the most effective way of teaching because it is engaging, but a regular interviewing video can easily be watched on YouTube."
W25-R079,W25,Q5,35,I found both the lecture videos and the VR aspect of the course useful. Especially the website with the VR videos for times when I could not access my computer for the actual VR application.
W25-R079,W25,Q6,13,"I think this is a pretty well rounded and fair course, no improvements."
W25-R079,W25,Q9,20,"Potentially including a sort of ""notes"" aspect where teams could share notes within the VR space while watching the videos."
W25-R079,W25,Q10,90,"I think VR programs could potentially be useful as a virtual classroom for classes that do not necessarily need an in-person meeting. Another way it could be used to improve learning is as a way to simulate and practice hands-on work, whether that be in an engineering aspect (such as building circuits and assembling machinery) or even in a medical aspect (such as interacting with a virtual patient or performing a virtual operation). I think this would be a good way for students to practice while reducing stress and risks."
W25-R080,W25,Q5,21,I think the interviews were very helpful because they allowed us to see the perspective of those working in the field.
W25-R080,W25,Q6,31,"I feel like there wasn't necessarily that much advantage to having the app rather than just watching the youtube videos itself, especially because the app felt a little clunky at times."
W25-R080,W25,Q9,9,Making the playback feature smoother would be super helpful!
W25-R080,W25,Q10,26,Educational classes such as anatomy would greatly benefit from VR since being able to visualize and apply the concepts that are being taught would be helpful.
W25-R081,W25,Q5,24,The quizzes and lectures are the aspect of this course that was extremely helpful to retain the information being given and testing our understanding.
W25-R081,W25,Q6,58,Expectations regarding the projects and reports are a bit unclear. Actually providing a full example of previous Final reports and innovation notebook will be extremely helpful. By providing an anonymous good and bad example of the assignments from the previous years will be a great improvement as it will clarify the expectations the class have for the students.
W25-R081,W25,Q9,22,"By providing a closer perspective and angle, the VR clinical immersion experience will be improved due to enhanced observation of clinical practices."
W25-R081,W25,Q10,43,* Exploring manufacturing process when building engineered medical devices. / / * Comparison study of international medical care. / / * Shadowing on research labs to observe how studies are conducted. / / * First person point of view when studying surgical procedures.
W25-R082,W25,Q5,7,I found the lecture the most useful
W25-R082,W25,Q6,16,The VR platform was not that useful it was burdensome than just watching the YouTube videos.
W25-R082,W25,Q9,20,More unique there was no content or actions I couldn't preform or access that others was easier to access elsewhere.
W25-R082,W25,Q10,20,I think a VR program could be useful for more immersive aspect of learning like being in an operating room.
W25-R083,W25,Q5,9,Lecture videos are the most useful in this course.
W25-R083,W25,Q6,51,"Nothing I want to change about the course. Maybe, I just want to change a bit about the project. The project seemly has many things to consider to put in a 1 unit class, so maybe reduce or simple the project, and focus on the quiz (the understanding about the concepts)."
W25-R083,W25,Q9,5,I have nothing to say.
W25-R083,W25,Q10,11,Virtual room for online lab so we have more online classes/labs
W25-R084,W25,Q5,20,I found it useful how we can use the VR tech to visualize real world surgical suites settings and procedures.
W25-R084,W25,Q6,30,"Nothing, but I did feel like the class was a lot of work for 1 credit to be honest, although it was a great class and got to learn alot."
W25-R084,W25,Q9,13,maybe keeping it simple? like eliminate having to go up stairs and stuff?
W25-R084,W25,Q10,28,"maybe arranging private rooms where we can meet virtually and utilize this tech for more than just this class, so students can meet virtually with in any course."
W25-R085,W25,Q5,36,"I found the lecture videos to be the most helpful. They gave concise yet direct information necessary for our learning, and also provided more resources for further independent research to be done on our own time."
W25-R085,W25,Q6,67,"I do enjoy that we had to do gap analysis on our own, and do a final report, however I wish there was more guidance for the final report. Although we understand it is a mock report, and is not meant to be extremely professional, my team wished there were more examples given for a better understanding as none of us have written something similar to this."
W25-R085,W25,Q9,39,"Although I see the intention with the VR immersion, watching the YouTube videos felt more helpful. The VR was, in my opinion, to overstimulating. I could not focus as well at the studies as I could watching the videos."
W25-R085,W25,Q10,35,"What I would find more helpful is the interactive virtual spaces designed to teach concepts. However, in my personal opinion, VR is too distracting and I find it harder to concentrate on topics being shown/taught."
W25-R086,W25,Q5,40,"In this class, I felt like the YouTube videos were very helpful because my laptop had a harder time running the software for VR but the ideos still have a very nice and cool experience with some of the surgeries"
W25-R086,W25,Q6,39,"I think providing more variety in the videos would be nice, I feel like while there was some option to what we could watch and learn about, there is still a chance for more to be explored than shown"
W25-R086,W25,Q9,35,I think something that would have been equally effective is providing students with the cardboard VR that can hook up to phones and allow then to use the VR YouTube videos in a 3D format
W25-R086,W25,Q10,55,I think the surgeries were very helpful to see on VR because you could move around and see it at different angles which really help make the experience very hands on and helpful to making it more memorable. VR is very good to help with learning physiology and any other sort of hands on techniques
W25-R087,W25,Q5,25,I found the lecture videos and the external links very helpful because they gave a better understanding of what to write on the innovation notebook.
W25-R087,W25,Q6,51,I think it could have been more clear that we should have used the observations made in the innovation notebook (and done gap analysis) to figure out what should be our final project idea. I think my group and I didn't realize that till after we had chosen our final idea.
W25-R088,W25,Q5,9,I thought the weekly quizzes encouraged engagement and learning.
W25-R088,W25,Q6,29,To be honest I found the VR videos to be cool but at the same time it's doing too much. I found it easier to focus and navigate YouTube.
W25-R088,W25,Q9,44,"I think it's something not necessary however if you want to keep it, I think that the innovation notebook didn't provide the right incentive to watch the videos. There should've been either a quiz or a different writing to show you've watched the videos."
W25-R088,W25,Q10,24,I think VR would be very beneficial for med school students to learn surgeries but hands on is still the best way to learn.
W25-R089,W25,Q5,8,Being able to get somewhat first hand observations.
W25-R089,W25,Q6,10,Having more of a community since it just seemed isolating.
W25-R089,W25,Q9,20,Program often crashed when trying to pause the video or change place in video. Was also hard to see anything
W25-R090,W25,Q5,11,I found the clinical videos and interviews to be most helpful.
W25-R090,W25,Q6,19,I think it would be helpful to have more check-ins to help students stay on top of their work.
W25-R090,W25,Q9,8,I didn't use the VR clinical immersion platform.
W25-R090,W25,Q10,20,I think a virtual space where you could meet up in groups for more effective remote teamwork would be useful.
W25-R091,W25,Q5,47,"I think that the course expanded my mind in the sense that there are things that may seem trivial here in the USA, but are lacking or needed in other countries. Finding solutions with the resources that are available to us will allow equal treatment for all."
W25-R091,W25,Q6,53,"I think that the workload should be decreased, or more explicit of what is wanted for things like the Innovation Notebook or have required videos or certain videos that are required to watch. It would help with structure and would have helped knowing what content was available, especially when interacting with the VR."
W25-R091,W25,Q9,26,"I think that the VR could be more streamlined, having more videos that will allow for a tutorial or a variation of it as a tutorial."
W25-R091,W25,Q10,87,"I think that maybe visualizaiton of things in CAD, may be beneficial in visualization in the real world. Something in AR like projecting the CAD into the real world, could help with rendering the sizes of certain parts. / / I think that visualization of chemical structures, specifically for classes like Organic Chemistry. Having taken the entire course series, I think that many times, model kits are cumbersome to use during lecture, so having this as an option would be beneficial to students learning it. / /"
W25-R092,W25,Q5,22,I found watching the videos and filling out my innovation notebook most helpful because they offer an immersive experience and valuable insights.
W25-R092,W25,Q6,9,I think the course was well formatted and paced.
W25-R092,W25,Q9,33,I do not think that VR immersion is very helpful on a screen and may be more helpful using an actual headset. I often find the VR to be more distracting than anything.
W25-R092,W25,Q10,35,I think that the VR could be more helpful in training procedures because they are far more immersive than watching videos or reading a textbook. VR does a good job at engaging students to learn.
W25-R094,W25,Q5,39,This course helped me understand how to find and solve real medical problems. I enjoyed the case studies on healthcare in different countries; they were helpful. The step-by-step way of looking at unmet medical needs also made things clear.
W25-R094,W25,Q6,35,The instructions for the innovation notebook could be clearer. I would've appreciated an example of a past notebook that a student turned in. A submission example of the final project would be helpful as well.
W25-R094,W25,Q9,32,"I mostly watched the YouTube videos, and I would've liked to be able to hear the doctor explaining the surgery. For example, in the TAVR video, I could barely hear the doctor."
W25-R094,W25,Q10,30,"I think VR could help medical students practice surgeries safely. It could also allow students to meet in virtual classrooms and work on projects together, which would be really cool."
W25-R095,W25,Q5,5,This course is very organized
W25-R095,W25,Q6,4,I would say nothing
W25-R095,W25,Q9,17,"I would say maybe improving the lags, I would glitch sometimes while trying to watch a procedure."
W25-R095,W25,Q10,22,This could be an extra credit option for any BME class to promote learning about the surgical problems we discuss in class.
W25-R096,W25,Q5,15,The weekly lecture videos were extremely helpful since I could go back and rewatch them!
W25-R096,W25,Q6,13,"Having more check points for the final report, not just the innovation notebook."
W25-R096,W25,Q9,14,"Make it more easily accessible, was having great issue downloading it on my pc."
W25-R096,W25,Q10,11,Virtual presentations could be a cool idea for certain final projects.
W25-R097,W25,Q5,33,"I found the innovation notebook the most useful, it was nice to have something to keep track of for the entire quarter. I was able to brainstorm and research a lot on it."
W25-R097,W25,Q6,27,"I wish there was an opportunity to interact more with the class, and learn more about actually getting a chance to go to a clinical place, etc."
W25-R097,W25,Q9,9,more multiuser and collaborative features and cased based simulations.
W25-R097,W25,Q10,11,"Time-traveling history lessons, and seeing how clinics have improved over time,"
W25-R098,W25,Q5,25,I found the introduction to gap analysis and industry mindset to be useful because these are skillsets that I can use for internships and jobs.
W25-R098,W25,Q6,23,I think the VR software could be improved I had quite a bit of trouble so I just watched the youtube videos instead.
W25-R098,W25,Q9,21,I think the avatar should be able to affect the surroundings a bit more. Have it participate in the clinical immersion.
W25-R098,W25,Q10,58,"I think a virtual space to meet up for groups is helpful, especially for commuters who aren't at school on certain days or can't make the meeting time. I think VR programs could also be useful for teaching hands-on concepts as it allows students a more immersive experience while also allowing teachers to have a bigger class size."
W25-R099,W25,Q5,26,I found the recorded video lectures the most helpful for me to understand the material especially since the class is all online and not in person.
W25-R099,W25,Q6,29,I wish that I could access the vr setting on macbook because it feels like a great opportunity that I missed but the videos helped to accomadate for me.
W25-R099,W25,Q9,7,I was not able to access it.
W25-R099,W25,Q10,36,This provides a more engaging and fun way of instruction in class that is likely to make students want to try and learn and put them inside the place they plan to study like through surgeries.
W25-R100,W25,Q5,19,"Aspects of the course that I found the most useful are the lecture videos, the quizzes and the interviews/procedures."
W25-R100,W25,Q6,30,Aspects of the course that could be improved are having an example of what a gap analysis is and maybe explaining more about the codes that revolve around medical devices.
W25-R100,W25,Q9,29,For the VR maybe adding a feature where it feels like we are the ones doing the produce and making it feel like we are the ones walking around.
W25-R100,W25,Q10,70,"VR programs that can be useful are seeing and feeling like we are in the operating room or what it looks like to work in making devices. For example, in one of my classes, we talk about bone bending; maybe, using VR we can get a better visual of what it looks like. We can use VR to get more real life examples of the problems we do it class."
W25-R101,W25,Q5,10,I found the lecture videos to be the most useful.
W25-R101,W25,Q6,25,The VR platform was a bit buggy since it would take a long time for the videos to load or they wouldn't load at all.
W25-R101,W25,Q9,51,"The program was a bit buggy and wouldn't load the videos. When learning that this course was trying out a VR platform, I was expecting it to be like ""Labster"" which is a virtual lab simulator. If the platform was built somewhat like that, I believe it would be educationally beneficial."
W25-R102,W25,Q5,13,I found the virtual reality videos very useful as well as the interviews.
W25-R102,W25,Q6,12,I think having discussion could be more beneficial than 2 final projects
W25-R102,W25,Q9,6,I did not use the platform
W25-R102,W25,Q10,65,"Virtual labs can reduce safety risks, eliminate the need for expensive equipment, and allows students to repeat experiments without resource or time constraints. / / Virtual equipment training can offer a realistic, hands-on learning experience without the cost of materials or physical lab space. / / Virtual lectures/discussions can enhances social presence and engagement, making online learning less isolating than Zoom lectures or discussion boards."
S25-R001,S25,Q5,27,The global case studies and real-world healthcare challenges helped me understand the scope of unmet medical needs. The VR platform was especially helpful in visualizing surgical procedures.
S25-R001,S25,Q6,23,It would be great to have more interactive VR modules with guided scenarios. A clearer navigation for VR access would improve the experience.
S25-R001,S25,Q9,14,Quizzes during procedures and having voiceovers explaining each step would enhance the learning experience.
S25-R001,S25,Q10,30,"VR can be used to simulate emergency response situations, collaborative surgeries, and provide immersive practice environments. These are more engaging and practical than reading case studies or attending Zoom lectures."
S25-R002,S25,Q5,22,The guidance to know what resources and regulation standards are available and to look into as a complete beginner in this field.
S25-R002,S25,Q6,7,"Perhaps more collaboration, such as class discussions."
S25-R002,S25,Q10,19,VR can provide a more interactive place for group communications that do not wish to do video camera meetings.
S25-R003,S25,Q5,48,One of the most useful parts of this course was learning through virtual reality examples. It helped me better understand real-life clinical needs in a hands-on way. I also found the class discussions and group projects helpful for learning how to work as a team and think creatively.
S25-R003,S25,Q6,34,"I think the course could improve by giving more time to explore the VR tools. Sometimes it felt a little rushed, and it would help to have more practice or guidance using the platform."
S25-R003,S25,Q9,36,"It would be helpful to add step-by-step voice instructions or guided tutorials inside the VR experience. Also, more interactive tasks like quizzes or case questions in VR could make it more engaging and help with learning."
S25-R003,S25,Q10,47,"VR could be used to simulate patient interactions so students can practice communication skills in a safe space. It could also be helpful in anatomy classes, where students can walk through the human body in 3D to better understand structures. This makes learning more hands-on and memorable."
S25-R004,S25,Q6,18,too much work for a 1 unit class. and the instruction on the final reports are very unclear
S25-R005,S25,Q5,1,N/A
S25-R005,S25,Q6,1,N/A
S25-R005,S25,Q9,1,N/A
S25-R005,S25,Q10,1,N/A
S25-R006,S25,Q5,23,The lecture videos were the most useful as it provided loads of resources to use regarding the manufacturing and processing of biomedical technology.
S25-R006,S25,Q6,17,"I think instructions can be given a little more clearly, with more laid out expectations and rules."
S25-R006,S25,Q9,30,"I was able to access the VR, but my computer ran it very slowly. I think it can be made more suitable (with less advanced graphics) for slower, cheaper devices."
S25-R006,S25,Q10,28,I think more hands on things that people may not have access to in person/the resources needed like certain labs or training courses can use VR programs effectively.
S25-R007,S25,Q5,21,One of the most useful aspects of this course was how it connected engineering principles directly to real world medical challenges.
S25-R007,S25,Q6,11,One area that could be improved is providing more detailed guidance.
S25-R007,S25,Q9,1,Interaction
S25-R007,S25,Q10,2,Anatomy Labs
S25-R008,S25,Q5,4,Detailed resources and introduction
S25-R008,S25,Q6,18,"It is difficult to contact team members during online classes, so the final group assignment is more troublesome."
S25-R008,S25,Q9,3,none / /
S25-R008,S25,Q10,1,none
S25-R009,S25,Q5,3,The lecture videos.
