source_claim,relation,edge_domain,target,note,location
DISS-04-C274,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.2 1378a30,Anger having-been anchor,line 156
DISS-04-C274,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.2 1378b1-5,Anger Homer-honeycomb,line 156
DISS-04-C275,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.8 1385b13-15,Pity primary-present,line 156
DISS-04-C275,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.6 1383b13-15,Shame all-three-ecstases,line 156
DISS-04-C276,grounds,architectural,DISS-04-C277,Heidegger-recovers-Aristotle grounds GA 18 fear analysis,line 158
DISS-04-C277,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.168-169,Fear futural disclosure,line 158
DISS-04-C278,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.175,Fear-courage hexis correlate,line 158
DISS-04-C279,refines,architectural,DISS-04-C273,Three-greek-terms-as-ecstasis-triad refines fear three-ecstases reading,line 158
DISS-04-C280,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §68 H.337-348,Three ecstases general,line 160
DISS-04-C281,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §68b H.342,Fear bewildered-making-present,line 160
DISS-04-C282,refines,architectural,DISS-04-C280,Per-pathos ecstatic unity refines SZ §68 framework,line 160
DISS-04-C283,cites-as-support,citation,HEIDEGGER-LOCUS:GA 18 p.131,Care and care-full-speech timely,line 164
DISS-04-C284,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. I.3 1358b13-17,Three genres,line 164
DISS-04-C285,cites-as-support,citation,SECONDARY-LOCUS:Struever in Heidegger and Rhetoric pp.110-113,Alltäglichkeit-timefulness gloss,line 164
DISS-04-C286,cites-as-support,citation,HEIDEGGER-LOCUS:BCAP 176,Pathē-ground-of-logos canonical,line 166
DISS-04-C286,grounds,architectural,DISS-04-C287,Pathē-as-ground-of-logos grounds speaking-arises-from-pathē,line 166
DISS-04-C287,inconsistent-with,numbering,DISS-04-C200,Line 172 cross-reference '§1.7' refers to internal S7 — stale numbering,line 172
DISS-04-C288,grounds,architectural,DISS-04-C289,Rhetoric-as-phenomenology grounds pathē-prior-not-added,line 172
DISS-04-C290,cites-as-support,citation,HEIDEGGER-LOCUS:SZ §29 H.138,Rhetoric as first hermeneutic of everydayness,line 172
DISS-04-C291,needs-citation,citation,HEIDEGGER-LOCUS:BCAP ****** (manual fill),Placeholder marker at line 174,line 174
DISS-04-C292,needs-citation,citation,ARISTOTLE-LOCUS:NE II-IV,Per-pathos hexis correlates need NE II-IV anchor,line 174
DISS-04-C293,refines,architectural,DISS-04-C214,Hexis-consolidation-temporal-summary refines hexis-as-sedimentation,line 174
DISS-04-C294,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 427b21-24,Emotion-keyed-to-appearance ground,line 176
DISS-04-C295,instantiates,architectural,DISS-04-C294,Rattlesnake instantiates appearance-not-correction,line 176
DISS-04-C296,instantiates,architectural,DISS-04-C294,Art-produces-emotion instantiates appearance-not-correction,line 176
DISS-04-C296,depends_on,citation,ARISTOTLE-LOCUS:Poetics 6 1449b24-28,Catharsis cross-reference,line 176
DISS-04-C297,instantiates,architectural,DISS-04-C294,Rope-not-snake instantiates appearance-not-correction,line 176
DISS-04-C298,cites-as-support,citation,ARISTOTLE-LOCUS:De Memoria 450a20-25,Movement preserved internally,line 178
DISS-04-C299,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. I.11 1370a,Remembers/hopes attended by imagination,line 178
DISS-04-C300,cites-as-support,citation,ARISTOTLE-LOCUS:Rhet. II.5 1382a22-23,Fear-phantasma substitution,line 178
DISS-04-C302,needs-citation,citation,SECONDARY-LOCUS:Hawhee 2011 Bodily Arts,Imagistic seeing in rhetoric,line 180
DISS-04-C302,needs-citation,citation,SECONDARY-LOCUS:Rickert 2018/2019 Ambient Rhetoric,Affective rhetoric secondary anchor,line 180
DISS-04-C303,cites-as-support,citation,SECONDARY-LOCUS:Heidegger and Rhetoric ed. Gross p.1,Self-elaboration of Dasein,line 180
DISS-04-C304,grounds,architectural,DISS-04-C305,Final canonical summary grounds final five-fold thesis,line 182
DISS-04-C306,inconsistent-with,numbering,DISS-04-C287,Line 184 '§1.7' stale cross-reference,line 184
CONCEPT:synchronic_chain,instantiates,architectural,DISS-04-C200,Synchronic chain concept node defined at canonical distinction,line 102
CONCEPT:diachronic_saturation,instantiates,architectural,DISS-04-C203,Diachronic saturation concept node defined at register specification,line 102
CONCEPT:Stimmung_saturation_mechanism,instantiates,architectural,DISS-04-C206,Mechanism 1 concept node,line 104
CONCEPT:corrective_faculty_impairment_mechanism,instantiates,architectural,DISS-04-C207,Mechanism 2 concept node,line 104
CONCEPT:character_consolidation_via_hexis,instantiates,architectural,DISS-04-C213,Hexis consolidation concept node,line 106
CONCEPT:thrownness_as_diachronic_character_of_chain,instantiates,architectural,DISS-04-C224,Thrownness-as-chain-character concept node,line 112
CONCEPT:temporality_Gewesenheit,instantiates,architectural,DISS-04-C218,Gewesenheit concept node,line 110
DISS-04-C002,inconsistent-with,terminological,DISS-04-C033,'basic affective valence is when' (C002) vs. 'basic affective valence refers to two phenomena' (C033) — minor scope drift at coined-term introduction
DISS-04-C033,depends_on,terminological,DISS-04-C029,Bivalent decomposition presupposes pathos simpliciter canonical definition
DISS-04-C033,depends_on,terminological,DISS-04-C030,Bivalent decomposition presupposes resonant orexis canonical definition
DISS-04-C055,grounds,architectural,DISS-04-C094,Paschein dual-sense (line 23) grounds the DA II.5 footnote (line 46)
DISS-04-C056,contrasts_with,terminological,DISS-04-C057,Destruction sense contrasts with preservation sense (the canonical paschein dual)
DISS-04-C108,grounds,architectural,DISS-04-C109,Heidegger threefold grounds kriseis-internal-not-external
DISS-04-C108,grounds,architectural,DISS-04-C111,Heidegger threefold grounds hedonic-co-givenness-via-Heidegger
DISS-04-C173,refines,architectural,DISS-04-C172,Desire-in-formal-structure refines emotion-includes-desire-not-reducible
DISS-04-C189,refines,architectural,DISS-04-C188,Mechanism extraction refines On Dreams quotation
DISS-04-C195,grounds,architectural,DISS-04-C204,Asymmetry-in-time grounds De-Insomniis-diachronic-localization
DISS-04-C246,depends_on,architectural,DISS-04-C037,Conclusion's five-fold depends on §3's articulational concretion canonical thesis
DISS-04-C246,depends_on,architectural,DISS-04-C187,Conclusion's five-fold depends on §7's feedback-loop introduction
DISS-04-C260,depends_on,architectural,DISS-04-C218,Element 4 temporal range depends on Stimmung-as-Gewesenheit
DISS-04-C291,awaits-corpus-resolution,citation,HEIDEGGER-LOCUS:BCAP 117-125 cluster,Placeholder route candidate,line 174
DISS-04-C291,awaits-corpus-resolution,citation,HEIDEGGER-LOCUS:BCAP 176,Alternate placeholder route candidate,line 174
